,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
4518,2025-01-23,1271.0,1304.949951171875,1261.9000244140625,1295.199951171875,93382,0.0,0.0,1369.0150024414063,1367.3682879719752,30.402673139876853,1321.6102284088367,1359.9591862239383,-38.348957815101585,-24.702461328716772,1387.3649963378907,111.47077440835378,1610.3065451545983,1164.423447521183,346869.5,1245.5,1559.800048828125,-7.6875
4517,2025-01-22,1290.0,1290.0,1236.949951171875,1271.3499755859375,196268,0.0,0.0,1369.9220043945313,1370.3139343719793,25.411304304936152,1326.412096997375,1365.1399250281033,-38.72782803072823,-21.290837207120568,1395.0524963378907,110.07301294170118,1615.1985222212932,1174.9064704544883,353295.05,1245.5,1559.800048828125,-9.922503662109193
4516,2025-01-21,1330.0,1343.9000244140625,1276.0,1284.550048828125,169513,0.0,0.0,1371.846005859375,1374.3532796285524,26.888950214419665,1336.4233917994547,1372.6431209834766,-36.219729184021844,-16.93158950121865,1404.975,107.24322006974226,1619.4614401394845,1190.4885598605154,350772.35,1245.5,1559.800048828125,-10.41499633789067
4515,2025-01-20,1297.9000244140625,1335.0,1291.0,1321.3499755859375,184833,0.0,0.0,1372.566005859375,1378.0187176204065,34.204942089423554,1345.8549087033327,1379.6905667559047,-33.835658052571944,-12.109554580517852,1415.3899963378906,105.02417171969002,1625.4383397772706,1205.3416528985106,361695.45,1245.5,1559.800048828125,-8.50250244140625
4514,2025-01-17,1300.0,1307.0,1281.6500244140625,1291.699951171875,108393,0.0,0.0,1372.6250073242188,1380.3317274993644,29.998252180511386,1350.3103510883138,1384.3578140495022,-34.04746296118833,-6.678028712504329,1423.8924987792968,103.88749080578582,1631.6674803908684,1216.1175171677253,384700.6,1245.5,1559.800048828125,-11.3175048828125
4513,2025-01-16,1255.3499755859375,1313.0,1255.3499755859375,1302.25,283391,0.0,0.0,1372.8580078125,1383.9493510229354,38.69169500338201,1360.9667874367574,1391.7704430797123,-30.803655642954936,0.16432984966667252,1435.2100036621093,101.01814855844108,1637.2463007789916,1233.173706545227,409660.35,1245.5,1559.800048828125,-10.027502441406341
4512,2025-01-15,1273.0,1283.3499755859375,1235.75,1249.3499755859375,226137,0.0,0.0,1372.8060083007813,1387.2840184116267,32.9838078395141,1371.6425669707132,1398.9320785260893,-27.289511555376066,7.9063262228220745,1445.2375061035157,96.99910361842967,1639.235713340375,1251.2392988666563,515629.95,1245.5,1559.800048828125,-10.179998779296739
4511,2025-01-14,1254.949951171875,1275.5,1228.0999755859375,1265.8499755859375,292894,0.0,0.0,1374.770009765625,1392.9139793432873,32.74096662462334,1393.877583586127,1410.8986467613013,-17.021063175174277,16.70528566737161,1455.4175048828124,85.34222304362423,1626.101950970061,1284.733058795564,590734.0,1245.5,1559.800048828125,-7.115002441406432
4510,2025-01-13,1325.050048828125,1362.949951171875,1221.0999755859375,1245.5,701886,0.0,0.0,1376.3970092773438,1398.1002652109344,29.163515763837466,1417.1553304952524,1422.5025404553303,-5.347209960077862,25.13687287800808,1462.5325073242188,73.86634694103175,1610.2652012062824,1314.7998134421553,608550.65,1245.5,1559.800048828125,-4.745001220702989
4509,2025-01-10,1386.0,1412.0,1332.050048828125,1342.199951171875,225138,0.0,0.0,1377.5830102539062,1404.3288474644419,35.0290967216428,1448.3653905852984,1436.6627436917565,11.702646893541896,32.757893587529566,1467.2775085449218,61.14324871820869,1589.5640059813393,1344.9910111085044,586681.6,1340.4000244140625,1559.800048828125,-1.0175048828125455
