,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
1924,2025-01-13,283.5,285.0,267.04998779296875,272.54998779296875,11568,0.0,0.0,305.4979998779297,305.65831543335594,20.813383738457944,296.4388381608614,302.3540438697342,-5.915205708872804,-2.3423994134000843,306.24499969482423,13.99299651852127,334.23099273186676,278.2590066577817,33400.0,272.54998779296875,338.45001220703125,-1.5225006103515284
1923,2025-01-10,298.20001220703125,298.20001220703125,282.45001220703125,283.5,4733,0.0,0.0,305.8120001220703,307.0096757452085,23.66273156576584,300.7822655004783,304.7383683558754,-3.9561028553971482,-1.4491978395319043,307.76750030517576,11.582861916965674,330.9332241391071,284.6017764712444,32910.05,283.5,338.45001220703125,-1.402499389648483
1922,2025-01-09,303.0,304.95001220703125,295.29998779296875,296.6000061035156,2626,0.0,0.0,305.8379998779297,307.9692543470537,25.072043237082198,303.9244955914743,306.43743782434547,-2.5129422328711826,-0.8224715855655931,309.16999969482424,10.092067399008974,329.3541344928422,288.9858648968063,33258.2,296.6000061035156,338.45001220703125,-0.6024993896484148
1921,2025-01-08,300.20001220703125,304.25,295.8999938964844,301.3999938964844,4668,0.0,0.0,305.6339996337891,308.43330529576957,25.120293344815863,305.25622095292135,307.22443236201184,-1.968211409090486,-0.3998539237391956,309.77249908447266,9.65224877040761,329.07699662528785,290.46800154365746,33402.7,298.6000061035156,338.45001220703125,-0.3550003051757926
1920,2025-01-07,298.8500061035156,301.8500061035156,297.0,298.6000061035156,5500,0.0,0.0,305.29899963378904,308.7203792304343,16.98425677442127,305.95735314500075,307.69038743925404,-1.7330342942532866,-0.007764552401372915,310.12749938964845,9.45669388833131,329.04088716631105,291.21411161298585,33613.0,298.6000061035156,338.45001220703125,-0.6624999999999659
1919,2025-01-06,308.20001220703125,311.3500061035156,298.1499938964844,299.45001220703125,6642,0.0,0.0,305.0509997558594,309.1334556845942,45.99781424568388,307.29505260708896,308.4176179461131,-1.1225653390241632,0.4235528830616055,310.7899993896484,9.062525294547383,328.9150499787432,292.66494880055365,33604.35,299.45001220703125,338.45001220703125,-0.5500000000000114
1918,2025-01-03,308.1000061035156,309.3999938964844,303.1000061035156,306.6000061035156,6932,0.0,0.0,304.9329992675781,309.5286982755151,52.05011694347402,308.7214235889176,309.13502640523967,-0.4136028163220544,0.8100824385830476,311.3399993896484,8.663074121794226,328.6661476332369,294.01385114605995,33514.45,302.75,338.45001220703125,-0.2925003051757926
1917,2025-01-02,308.0,309.3500061035156,303.6000061035156,306.45001220703125,4304,0.0,0.0,304.7529992675781,309.64823673151506,47.34928537484908,309.1071358589907,309.3378280293776,-0.23069217038687384,1.1160037523093231,311.6324996948242,8.593086802424123,328.81867329967247,294.44632608997597,33382.95,302.75,338.45001220703125,-0.469999694824196
1916,2025-01-01,304.29998779296875,309.45001220703125,302.54998779296875,306.3500061035156,4972,0.0,0.0,304.6489990234375,309.7787765080246,48.83839000355113,309.5902492502561,309.5688532951653,0.021395955090781626,1.4526777329833722,312.1024993896484,8.55167839657169,329.2058561827918,294.999142596505,33701.7,302.75,338.45001220703125,-0.13249969482421875
1915,2024-12-31,309.3999938964844,310.25,300.70001220703125,302.75,10085,0.0,0.0,304.6389990234375,309.9187263204535,46.99110374955844,310.1793843678452,309.8263610704973,0.3530232973479315,1.8104981774565199,312.23499908447263,8.478070984178503,329.19114105282966,295.2788571161156,33593.15,302.75,338.45001220703125,-0.1699996948242415
