,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
965,2025-02-18,644.9500122070312,663.0,601.2999877929688,636.7999877929688,204128,0.0,0.0,708.2619995117187,703.1244909372911,45.97983719388417,682.1867165659498,692.5832503241019,-10.396533758152032,-3.7485689659873875,690.6875,30.84102912262288,752.3695582452458,629.0054417547542,147279.6,636.7999877929688,748.0,-3.032501220703125
964,2025-02-17,664.7000122070312,668.0,624.75,644.9500122070312,164241,0.0,0.0,710.2140002441406,705.8316135146102,47.75842704116339,690.4388490701283,697.0459113265924,-6.607062256464133,-2.0865777679462267,693.7200012207031,28.12580646415473,749.9716141490126,637.4683882923937,139291.05,644.9500122070312,748.0,-2.5799987792968295
963,2025-02-14,691.9500122070312,734.0,658.1500244140625,674.0999755859375,1120406,0.0,0.0,712.0009997558594,708.3165768332868,51.27181513490147,698.7095466816004,701.2135832561573,-2.504036574556949,-0.9564566458167502,696.3,25.676661446273577,747.6533228925471,644.9466771074528,133829.6,654.5999755859375,748.0,-0.8225006103516534
962,2025-02-13,688.0999755859375,696.5,660.0,668.4000244140625,100141,0.0,0.0,713.2940002441406,709.7131728025664,45.72640200555252,703.184014153539,703.382671869775,-0.19865771623597084,-0.5695616636317005,697.1225006103516,25.186900656387436,747.4963019231265,646.7486992975768,82445.35,654.5999755859375,748.0,-0.972497558593659
961,2025-02-12,710.0,714.9000244140625,683.25,691.75,68733,0.0,0.0,714.6759997558594,711.3994237571992,46.942222405821134,709.508375924353,706.1812836662319,3.32709225812107,-0.6622876504806329,698.0949981689453,24.382158468709896,746.8593151063651,649.3306812315254,81961.4,654.5999755859375,748.0,0.8624999999999545
960,2025-02-11,748.0,749.75,710.0,718.8499755859375,86624,0.0,0.0,715.57,712.2014410534114,57.26472906895204,712.7371715469627,707.3357863595305,5.401385187432197,-1.6596326276310585,697.2324981689453,24.917643497710664,747.0677851643667,647.3972111735239,83964.05,654.5999755859375,748.0,1.7899993896484148
959,2025-02-10,741.0999755859375,759.0,722.0,748.0,209065,0.0,0.0,715.8980004882812,711.9300722969817,64.7850202349648,711.6257526307854,706.414651221418,5.211101409367416,-3.4248870813968724,695.4424987792969,24.56638322082145,744.5752652209399,646.3097323376539,81471.3,654.5999755859375,748.0,3.125
958,2025-02-07,733.7000122070312,735.4000244140625,719.1500244140625,730.1500244140625,59814,0.0,0.0,715.595,710.4578303499197,60.90909847542959,705.01225310911,703.0878233191314,1.9244297899786034,-5.583884204087944,692.3174987792969,21.284892534507698,734.8872838483123,649.7477137102815,77033.1,654.5999755859375,733.8499755859375,1.9624999999999773
957,2025-02-06,714.0499877929688,754.0,714.0499877929688,733.8499755859375,164966,0.0,0.0,715.705,709.6540673268934,63.85155385714191,700.4417492354823,700.9228472315369,-0.4810979960545865,-7.46096270260458,690.3549987792969,19.333047063698398,729.0210929066938,651.6889046519001,79468.45,654.5999755859375,733.8499755859375,0.80999755859375
956,2025-02-05,710.0,725.0,710.0,715.75,64309,0.0,0.0,715.5180004882812,708.6664792346875,59.900637121465465,694.3675262626723,698.2886769631848,-3.9211507005124986,-9.205928879242078,689.5450012207032,17.683847763410647,724.9126967475245,654.1773056938819,75434.35,654.5999755859375,717.6500244140625,0.685000610351608
955,2025-02-04,709.9000244140625,713.9500122070312,696.1500244140625,710.6500244140625,57404,0.0,0.0,715.8560009765625,708.377355938144,62.11866875968827,690.4798037649764,696.8917711202396,-6.411967355263187,-10.527123423924474,688.8600006103516,16.861571341672956,722.5831432936975,655.1368579270056,74177.5,654.5999755859375,717.6500244140625,0.06500244140625
954,2025-02-03,684.25,720.0,684.0,709.6500244140625,86417,0.0,0.0,716.2160009765626,708.2845939595351,58.48756025122937,686.8124909196881,695.7911108567338,-8.978619937045664,-11.555912441089795,688.7949981689453,16.77543411452135,722.3458663979881,655.2441299399026,73419.1,654.5999755859375,717.6500244140625,-0.05499877929685226
953,2025-01-31,675.0,696.9500122070312,672.5499877929688,692.25,74057,0.0,0.0,716.6870007324219,708.2288621042483,52.38095033055836,682.6602121025292,694.6823977721474,-12.022185669618239,-12.200235567100826,688.8499969482422,16.84904822126052,722.5480933907633,655.1519005057211,72669.75,654.5999755859375,717.6500244140625,-1.8000000000000682
952,2025-01-30,655.0,687.25,655.0,678.5499877929688,70594,0.0,0.0,717.3480004882813,708.8810605574829,45.37278973604209,680.916614302989,694.8769895939192,-13.960375290930187,-12.244748041471471,690.6499969482422,19.015116303962625,728.6802295561674,652.619764340317,71941.65,654.5999755859375,728.25,-2.537499999999909
951,2025-01-29,658.75,663.0,630.0999755859375,654.75,115016,0.0,0.0,718.4080004882812,710.119063527463,26.94283106167049,681.3469100320837,696.1831497379952,-14.836239705911566,-11.815841229106791,693.1874969482421,20.632819740902306,734.4531364300467,651.9218574664376,72169.85,654.5999755859375,729.2999877929688,-3.4825012207031705
950,2025-01-28,672.3499755859375,672.3499755859375,651.0,654.5999755859375,48648,0.0,0.0,719.615,712.3790253040942,34.37604128440182,686.1827118560989,699.4978017170348,-13.315089860935927,-11.060741609905598,696.6699981689453,19.658634319521823,735.9872668079889,657.3527295299017,68219.0,654.5999755859375,729.2999877929688,-3.37750244140625
949,2025-01-27,675.0,686.25,659.5999755859375,669.0,74809,0.0,0.0,721.22,714.7373538640189,36.0621963529891,691.9250275415827,703.0896278075226,-11.16460026593984,-10.497154547148014,700.0475006103516,17.761535384893403,735.5705713801384,664.5244298405647,72028.0,669.0,729.2999877929688,-3.0499999999999545
948,2025-01-24,704.4000244140625,706.0,682.0999755859375,686.5499877929688,42942,0.0,0.0,722.3059997558594,716.6041846339789,40.59098664679625,696.093214367325,705.8167980321243,-9.723583664799321,-10.330293117450058,703.0975006103515,17.3828796156091,737.8632598415697,668.3317413791333,88905.85,674.5,730.0,-1.3975006103515852
947,2025-01-23,687.0,705.5999755859375,683.6500244140625,704.4000244140625,81040,0.0,0.0,723.1619995117187,717.8308865458569,40.70177275431291,697.8283464717534,707.3581428512568,-9.52979637950341,-10.481970480612741,704.4950012207031,17.10380416850237,738.7026095577079,670.2873928836983,97340.6,674.5,730.0,-0.5699981689452898
946,2025-01-22,696.0999755859375,704.4500122070312,683.0,690.75,52238,0.0,0.0,723.8269995117188,718.3790850002157,33.3333509252374,696.6334959367882,707.5947923262324,-10.961296389444215,-10.720014005890071,705.0649993896484,17.28942172210075,739.6438428338499,670.4861559454469,95859.8,674.5,730.0,-1.6399993896484375
945,2025-01-21,697.0499877929688,706.4000244140625,694.0499877929688,697.4500122070312,44357,0.0,0.0,724.7359997558593,719.5068027553265,38.16424965381257,697.7032224707498,708.9423757123311,-11.239153241581334,-10.659693410001536,706.7049987792968,17.41527096815727,741.5355407156113,671.8744568429823,98534.2,674.5,730.0,-1.0649993896485057
944,2025-01-20,690.5499877929688,705.8499755859375,687.5499877929688,696.5499877929688,55012,0.0,0.0,725.5209997558594,720.407079920563,38.88887417169421,697.7492607005169,709.8617647927551,-12.112504092238282,-10.514828452106585,707.7699981689453,17.470703897709328,742.711405964364,672.8285903735267,99999.2,674.5,730.0,-1.1075012207030568
943,2025-01-17,694.75,701.0,686.0,690.5499877929688,92721,0.0,0.0,726.3109997558594,721.3808387829138,33.14822028140313,697.967310320071,710.9267069527381,-12.959396632667108,-10.115409542073658,708.8774993896484,17.4240151785519,743.7255297467522,674.0294690325446,100834.8,674.5,730.0,-2.2725006103515852
942,2025-01-16,675.0,694.0,674.5,687.8499755859375,90462,0.0,0.0,727.17,722.639240864136,39.73814808443112,699.3159144159076,712.5568444855196,-13.240930069611977,-9.404412769425296,711.15,17.86613522761436,746.8822704552286,675.4177295447713,98593.4,674.5,736.0,-2.75250244140625
