,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5092,2025-02-18,6410.0,6499.9501953125,6037.10009765625,6160.60009765625,197749,0.0,0.0,9150.714052734374,8539.746006130425,25.456343561838366,6913.221432777059,7774.644462986871,-861.4230302098122,-817.8595596207354,7462.802514648438,1102.268827736424,9667.340170121286,5258.26485917559,244602.9,6160.60009765625,9897.900390625,-200.4949951171875
5091,2025-02-17,6050.0,6537.0,6050.0,6472.5,193495,0.0,0.0,9231.6810546875,8636.854002394677,33.15151944630338,7050.061675526296,7903.768012213321,-853.7063366870243,-806.9686919734661,7663.297509765625,1212.1504266430431,10087.598363051711,5238.9966564795395,238319.65,6367.35009765625,10170.5,-181.52499999999964
5090,2025-02-14,6779.35009765625,6800.0498046875,6305.0,6367.35009765625,105848,0.0,0.0,9302.32705078125,8725.194982084256,15.526379971321731,7155.07288925835,8018.269453190386,-863.196563932036,-795.2842807950765,7844.822509765625,1293.5464815463765,10431.915472858378,5257.729546672872,230367.35,6367.35009765625,10170.5,-185.57497558593786
5089,2025-02-13,6650.0,6960.0,6622.5498046875,6746.39990234375,134045,0.0,0.0,9376.017041015624,8821.433548795603,15.655878338016294,7298.295215004187,8150.343001633117,-852.0477866289293,-778.3062100108365,8030.397485351563,1335.9636463000193,10702.324777951602,5358.470192751524,227114.85,6678.5498046875,10170.5,-164.80500488281177
5088,2025-02-12,6730.0,6855.0,6242.60009765625,6774.0,289589,0.0,0.0,9443.84904296875,8906.128799671189,14.275952033346712,7398.639817306086,8262.658449576265,-864.0186322701793,-759.8708158563132,8195.202490234375,1372.0493961505726,10939.30128253552,5451.103697933229,223168.75,6678.5498046875,10170.5,-176.45249023437464
5087,2025-02-11,6740.7998046875,6780.0,6474.60009765625,6678.5498046875,298478,0.0,0.0,9512.2800390625,8993.154464963889,11.654774032190488,7512.210693179921,8381.751125542367,-869.5404323624462,-733.8338617528467,8371.65498046875,1406.158737776271,11183.97245602129,5559.337504916208,212960.3,6678.5498046875,10303.0498046875,-183.43251953125036
5086,2025-02-10,7121.5498046875,7125.5,6660.85009765625,6728.2001953125,206821,0.0,0.0,9581.63603515625,9087.628124567007,11.06700193664581,7663.785400178544,8518.007231210755,-854.2218310322114,-699.9072191004468,8555.0875,1412.9400012566139,11380.967502513227,5729.207497486772,204119.2,6728.2001953125,10347.2001953125,-175.14750976562573
5085,2025-02-07,7252.0498046875,7331.9501953125,7077.0,7103.0498046875,119776,0.0,0.0,9649.0990234375,9183.931305352906,13.534866682826191,7833.891801063279,8661.191794082615,-827.2999930193364,-661.3285661175056,8730.235009765625,1391.5104644656296,11513.255938696884,5947.2140808343665,200870.9,7103.0498046875,10347.2001953125,-174.65249023437536
5084,2025-02-06,7320.85009765625,7468.14990234375,7208.0,7296.10009765625,69085,0.0,0.0,9704.9590234375,9268.865244155575,14.726656969248637,7966.7721640406935,8785.843153234224,-819.0709891935303,-619.8357093920479,8904.8875,1395.733635558898,11696.354771117796,6113.420228882205,199068.65,7133.7998046875,10596.099609375,-160.91501464843714
5083,2025-02-05,7138.89990234375,7355.0,7138.89990234375,7304.7998046875,59398,0.0,0.0,9756.205029296874,9349.386270543302,15.539247007952966,8088.712539746955,8905.022597680461,-816.310057933506,-570.0268894416772,9065.802514648438,1385.979365828418,11837.761246305274,6293.843782991602,201099.8,7133.7998046875,10596.099609375,-174.01752929687427
5082,2025-02-04,7289.0,7319.35009765625,6940.0,7133.7998046875,220887,0.0,0.0,9804.660029296874,9432.838779353742,10.986643688065485,8231.242127939584,9033.040421119898,-801.7982931803144,-508.4560973187199,9239.820043945312,1371.6532823303412,11983.126608605995,6496.513479284629,204294.55,7133.7998046875,10785.150390625,-226.61000976562536
5081,2025-02-03,7370.0498046875,7629.7001953125,7106.2001953125,7239.2001953125,182551,0.0,0.0,9853.222041015624,9526.677104850323,11.154855643044627,8430.777095803598,9184.979670434492,-754.2025746308937,-435.1205483533212,9466.430053710938,1379.7636680186808,12225.957389748299,6706.902717673576,201383.1,7173.7001953125,11666.0,-195.74750976562427
5080,2025-01-31,7430.14990234375,7619.0,7228.4501953125,7491.9501953125,121598,0.0,0.0,9894.546044921875,9620.043509321255,14.55302637588332,8647.427441347434,9340.642028444252,-693.2145870968179,-355.3500417839281,9662.177563476562,1323.7250699209235,12309.627703318409,7014.727423634715,200526.9,7173.7001953125,11666.0,-172.9375
5079,2025-01-30,7341.2001953125,7646.0,7091.0,7430.14990234375,221625,0.0,0.0,9933.782041015626,9706.904460913449,12.011175180992637,8857.514213353787,9488.537375094791,-631.0231617410045,-270.88390545570564,9835.115063476562,1249.104296330313,12333.323656137189,7336.906470815936,207903.4,7173.7001953125,11666.0,-154.4849853515625
