,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
3336,2025-01-13,348.0,358.8500061035156,328.1000061035156,336.95001220703125,208644,0.0,0.0,328.6220001220703,337.74764797141023,52.41703715186672,356.3682829043141,346.8103541975232,9.557928706790904,10.582433246267403,350.6925018310547,17.36808461743225,385.4286710659192,315.9563325961902,345745.1,327.70001220703125,391.3500061035156,0.4425003051757699
3335,2025-01-10,375.0,376.5,354.1499938964844,356.20001220703125,235453,0.0,0.0,328.1189996337891,337.7802045332216,55.70675456454431,359.89887757654736,347.5991815567626,12.29969601978479,10.838559381136527,350.25000152587893,17.842889803147894,385.9357811321747,314.56422191958313,337695.95,327.70001220703125,391.3500061035156,1.9100006103515739
3334,2025-01-09,388.0,391.2999877929688,375.1000061035156,378.2000122070313,262076,0.0,0.0,327.23899963378904,337.0283756485763,58.878780256924564,360.571398552823,346.9111151047411,13.660283448081884,10.473275221474461,348.34000091552736,19.167823282921383,386.6756474813701,310.0043543496846,327824.4,318.0,391.3500061035156,2.535000610351574
3333,2025-01-08,379.9500122070313,395.7000122070313,379.8999938964844,391.3500061035156,2926747,0.0,0.0,325.82499938964844,335.3479006870067,67.18570017340814,357.36619607023965,344.4080033365579,12.958192733681756,9.676523164822605,345.8050003051758,18.345893475167223,382.49678725551024,309.1132133548413,315675.7,318.0,391.3500061035156,3.0525009155273324
3332,2025-01-07,363.0,372.25,360.6499938964844,363.0499877929688,76457,0.0,0.0,324.0219995117188,333.0621004659247,58.74126087322368,351.18732151873496,340.6526431152013,10.53467840353369,8.856105772607815,342.75249938964845,15.173673467882308,373.09984632541307,312.40515245388383,170221.8,318.0,370.75,1.5124999999999886
3331,2025-01-06,367.7000122070313,379.0,359.0,361.6499938964844,189373,0.0,0.0,322.82899963378907,331.83810506482087,52.14779053260101,349.0304731052379,338.86085554097986,10.169617564258033,8.436462614876346,341.23999938964846,14.538294785781737,370.31658896121195,312.163409818085,167666.2,318.0,370.75,1.5224990844726562
3330,2025-01-03,347.20001220703125,378.0,347.20001220703125,364.8500061035156,392313,0.0,0.0,321.60899963378904,330.6212932757733,59.688902477290824,346.73601477955674,337.0377244725395,9.69829030701726,8.003173877530923,339.7175003051758,13.867325640362198,367.4521515859002,311.9828490244514,160793.25,318.0,370.75,1.7675003051758154
3329,2025-01-02,355.3500061035156,355.6499938964844,345.25,346.8500061035156,36415,0.0,0.0,320.3229992675781,329.22420295627364,57.936729284101986,343.4425618115642,334.8127419420614,8.629819869502796,7.579394770159337,337.95,12.698994999828681,363.34798999965733,312.55201000034265,147149.2,318.0,370.75,1.1850006103515511
3328,2025-01-01,345.54998779296875,354.95001220703125,342.95001220703125,353.25,52737,0.0,0.0,319.5249993896484,328.5047824196515,56.96510776330309,342.8230264857548,333.8497608091451,8.973265676609685,7.316788495323471,336.76499938964844,12.928488634750515,362.6219766591495,310.9080221201474,148537.65,318.0,370.75,1.9875000000000114
3327,2024-12-31,366.1000061035156,369.8500061035156,344.45001220703125,347.29998779296875,200336,0.0,0.0,318.75199951171874,327.49477353882094,54.67804198359945,340.92721311952835,332.29774167387666,8.629471445651689,6.902669200001917,334.7774993896484,13.310605932815978,361.3987112552804,308.1562875240165,148914.85,313.5,370.75,1.469999694824196
3326,2024-12-30,350.0,375.0,344.0,370.75,296454,0.0,0.0,317.96,326.6863974468149,61.804051824657606,339.76852681526645,331.09756198434934,8.670964830917114,6.470968638589473,333.30749969482423,13.477255439561084,360.2620105739464,306.3529888157021,140198.05,313.5,370.75,2.752499389648449
3325,2024-12-27,330.0,367.7000122070313,326.29998779296875,349.1000061035156,376296,0.0,0.0,316.88200012207034,324.88788305688894,56.361053301680634,334.1355316907694,327.92536694309723,6.210164747672195,5.920969590507562,330.5550003051758,10.779243207029984,352.11348671923577,308.9965138911158,126396.6,313.5,354.5,1.9375
3324,2024-12-26,332.70001220703125,332.75,325.3500061035156,328.20001220703125,41643,0.0,0.0,315.9640002441406,323.8996331366185,49.46502533085844,331.4147181611792,326.2313958102638,5.183322350915432,5.848670801216403,328.6175003051758,10.752958035713174,350.1234163766021,307.11158423374945,111515.7,310.3500061035156,354.5,1.0475006103515625
3323,2024-12-24,331.79998779296875,335.8500061035156,328.29998779296875,331.79998779296875,36139,0.0,0.0,315.4690002441406,323.72410746027515,53.480883710682974,331.9992101528425,326.0739064985224,5.925303654320146,6.015007913791646,327.5699996948242,11.768259376377397,351.106518447579,304.03348094206945,111847.15,307.25,354.5,1.1299987792968977
3322,2024-12-23,341.79998779296875,341.79998779296875,326.20001220703125,327.70001220703125,79612,0.0,0.0,314.99800048828126,323.39447969159374,55.469958991706655,332.0354324000923,325.6158199949666,6.41961240512569,6.037433978659521,326.4400009155273,12.408342572239876,351.2566860600071,301.62331577104754,112067.5,307.25,354.5,1.1499999999999773
3321,2024-12-20,350.0,350.1000061035156,330.3500061035156,335.6499938964844,236197,0.0,0.0,314.5690002441406,323.21874367055545,57.02970297029703,332.8236906170125,325.44908461800145,7.374605999011067,5.9418893720429775,325.29000091552734,13.317898172645132,351.9257972608176,298.6542045702371,109954.05,304.70001220703125,354.5,1.6050003051757926
3320,2024-12-19,328.0,349.5,324.04998779296875,347.95001220703125,423306,0.0,0.0,313.8940002441406,322.7113457021502,63.88291440729669,332.30981729347224,324.6330118757228,7.676805417749449,5.583710215300956,323.68500061035155,13.924117697481755,351.5332360053151,295.836765215388,100637.75,303.54998779296875,354.5,2.1775009155273324
3319,2024-12-18,336.75,344.8999938964844,329.54998779296875,331.75,274425,0.0,0.0,313.0520001220703,321.6811960488897,60.16144471954393,329.46614549100696,322.7676518492181,6.698493641788843,5.060436414688832,321.5074996948242,13.321985214076879,348.15147012297797,294.86352926667047,81370.55,303.54998779296875,354.5,1.3050003051757812
3318,2024-12-17,350.04998779296875,354.0,333.3500061035156,336.79998779296875,381857,0.0,0.0,312.3770001220703,321.2702244590485,64.29607874865795,329.05089921664455,322.04906399715554,7.00183521948901,4.6509221079138285,320.20249938964844,13.542373407296212,347.2872462042409,293.117752575056,70443.5,303.54998779296875,354.5,1.2699996948242074
3317,2024-12-16,329.04998779296875,359.75,328.1000061035156,354.5,188422,0.0,0.0,311.95800048828124,320.63635656786806,75.85616462217416,327.64197402094925,320.8689900934905,6.7729839274587675,4.063193830020032,318.93249969482423,13.087300332186164,345.1071003591966,292.7578990304519,53726.3,303.54998779296875,354.5,2.622500610351551
3316,2024-12-13,318.0,345.1000061035156,306.6000061035156,328.1000061035156,47661,0.0,0.0,311.28300048828123,319.25416704002595,67.80821949623221,322.75869657021275,318.1785093009697,4.5801872692430265,3.385746305660348,316.3099990844727,10.604599575168555,337.5191982348098,295.1007999341356,50737.15,302.04998779296875,332.79998779296875,1.1800003051757812
3315,2024-12-12,325.0,328.79998779296875,314.20001220703125,318.0,38022,0.0,0.0,311.25500061035154,318.8931123843733,62.73128828813326,321.7875493823395,317.38478955676607,4.402759825573412,3.0871360647646777,315.1299987792969,10.536445294174424,336.20288936764575,294.05710819094804,50947.5,302.04998779296875,332.79998779296875,0.5199996948242642
3314,2024-12-11,330.0,333.70001220703125,326.04998779296875,327.5,19102,0.0,0.0,311.45800048828124,318.9295659510824,74.01247731008837,322.476194724583,317.33557272130736,5.140622003275666,2.758230124562494,314.60999908447263,10.643438300670967,335.89687568581456,293.3231224831307,53139.1,302.04998779296875,332.79998779296875,0.7874999999999659
3313,2024-12-10,336.0,336.0,329.04998779296875,330.29998779296875,17669,0.0,0.0,311.49800048828126,318.5797523164327,76.47688958147994,321.56277558359807,316.522418539012,5.040357044586074,2.162632154884201,313.82249908447267,10.213502787214882,334.2495046589024,293.3954935100429,55058.4,302.04998779296875,332.79998779296875,1.0774993896484375
3312,2024-12-09,334.6000061035156,340.0,330.1499938964844,332.79998779296875,25345,0.0,0.0,311.5200006103516,318.1013753582067,71.48592974709027,319.9741915455307,315.42021299869543,4.553978546835253,1.443200932458733,312.74499969482423,9.495150171019331,331.7353000368629,293.75469935278556,57094.05,302.04998779296875,332.79998779296875,0.7224990844726449
3311,2024-12-06,331.29998779296875,338.0,326.8500061035156,331.20001220703125,51914,0.0,0.0,311.5260009765625,317.50143199352254,75.32580337257397,317.64222859145104,314.02983101515355,3.6123975762974965,0.6655065288646029,312.0225006103516,8.372175436708325,328.7668514837682,295.27814973693495,72428.35,302.04998779296875,331.20001220703125,1.217500305175804
3310,2024-12-05,323.95001220703125,338.0,320.3999938964844,329.5,119432,0.0,0.0,311.6630004882812,316.9423062705222,71.44080537025172,315.1771770249819,312.6562165198033,2.520960505178607,-0.07121623299362057,310.8050003051758,7.112275222006556,325.0295507491889,296.58044986116266,72754.15,302.04998779296875,329.5,0.9600006103515852
3309,2024-12-04,317.0,324.45001220703125,316.8500061035156,323.1499938964844,64184,0.0,0.0,311.8840002441406,316.42974734278835,64.12350045457569,312.5730273931605,311.3087138413876,1.2643135517728865,-0.7192604175366775,309.8449996948242,5.588638467312994,321.0222766294502,298.6677227601982,68596.75,302.04998779296875,323.1499938964844,0.7749999999999773
3308,2024-12-03,320.0,323.3500061035156,310.3999938964844,313.5,60281,0.0,0.0,312.32300048828125,316.1554515650864,51.765891297171315,310.64994257437434,310.36141143697984,0.2885311373945001,-1.2151539098640685,309.0699996948242,4.640822285332852,318.35164426548994,299.7883551241585,68760.5,302.04998779296875,318.3500061035156,0.49750061035155113
3307,2024-12-02,319.0,320.3500061035156,313.6499938964844,317.8999938964844,26000,0.0,0.0,312.6970007324219,316.2638373432532,59.50154045460048,310.13175031516965,310.11032435193823,0.02142596323142243,-1.5910751716787104,308.57249908447267,4.674133129556597,317.92076534358586,299.2242328253595,68262.7,302.04998779296875,318.3500061035156,0.3074996948242301
3306,2024-11-29,310.75,319.79998779296875,310.75,315.70001220703125,20425,0.0,0.0,313.05000061035156,316.1970554431213,47.61477037684073,308.7193423912943,309.48715078837455,-0.7678083970802732,-1.9942004554062436,308.26499938964844,4.207175081098313,316.67934955184506,299.8506492274518,70779.1,302.04998779296875,318.3500061035156,0.19500122070314774
3305,2024-11-28,309.8999938964844,317.79998779296875,307.95001220703125,310.3500061035156,78678,0.0,0.0,313.5710003662109,316.21734292214535,52.8363013332753,307.4501296975239,308.990121874882,-1.5399921773581013,-2.300798469987736,308.0699981689453,3.925371849584654,315.9207418681146,300.219254469776,72150.4,302.04998779296875,318.3500061035156,-0.09250030517580399
3304,2024-11-27,312.20001220703125,312.20001220703125,304.3500061035156,307.25,48272,0.0,0.0,314.32600036621096,316.45682605759964,47.54231636350759,306.92287944188905,308.8813311365913,-1.958451694702262,-2.491000043145145,308.1624984741211,4.002958068312235,316.1684146107456,300.1565823374966,71117.75,302.04998779296875,318.3500061035156,-0.012499999999988631
3303,2024-11-26,304.70001220703125,311.5,304.70001220703125,309.20001220703125,40546,0.0,0.0,315.27642517089845,316.83261487627715,51.235073750372656,306.863402976778,309.0118376275186,-2.148434650740626,-2.624137130255865,308.1749984741211,4.000348132216246,316.1756947385536,300.17430220968856,72242.0,302.04998779296875,318.3500061035156,0.39999999999997726
3302,2024-11-25,306.54998779296875,318.8500061035156,303.0,304.70001220703125,37343,0.0,0.0,315.5436260986328,317.1441496791035,50.92223234851592,306.43856493491376,308.99678366115756,-2.5582187262438083,-2.743062750134674,307.7749984741211,4.282477754715465,316.33995398355205,299.21004296469016,74800.9,301.20001220703125,318.3500061035156,0.06500091552737786
3301,2024-11-22,308.70001220703125,311.20001220703125,302.1499938964844,303.54998779296875,49871,0.0,0.0,315.81420043945315,317.65207365755543,44.09221230376852,306.7546654308924,309.34052537748767,-2.585859946595292,-2.7892737561073906,307.7099975585937,4.34107263487642,316.39214282834655,299.0278522888409,76138.3,301.20001220703125,318.3500061035156,0.14499969482420738
