,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5570,2025-01-22,1720.0,1746.8499755859375,1710.5,1743.300048828125,1369089,0.0,0.0,1641.846005859375,1674.208350253089,57.097700670747734,1698.2449347785291,1675.2480591621481,22.996875616380976,15.573810018814669,1667.5125061035155,59.47722091038598,1786.4669479242875,1548.5580642827435,1688994.2,1559.300048828125,1743.300048828125,8.9375
5569,2025-01-21,1745.0,1751.0,1711.0,1717.0,2008953,0.0,0.0,1641.7750048828125,1671.3882809234958,67.64559981052116,1690.0530958604209,1669.80389998887,20.24919587155091,13.718043619423089,1658.5750061035155,60.90250802379725,1780.38002215111,1536.769990055921,1661071.65,1559.300048828125,1735.199951171875,7.679998779296739
5568,2025-01-20,1686.300048828125,1738.0,1674.4000244140625,1735.199951171875,1674215,0.0,0.0,1642.02900390625,1669.5265781040466,71.50580863567366,1685.1536587441337,1666.0282119879796,19.125446756154133,12.085255556391132,1650.8950073242188,62.802255989887314,1776.4995193039933,1525.2904953444443,1611495.9,1559.300048828125,1735.199951171875,8.277496337890625
5567,2025-01-17,1686.0999755859375,1698.4000244140625,1670.949951171875,1680.6500244140625,905680,0.0,0.0,1642.29900390625,1666.8460322645433,65.17299219896749,1676.0543328481808,1660.494472853268,15.559859994912813,10.325207756450382,1642.6175109863282,62.01079217167104,1766.6390953296702,1518.5959266429861,1618102.2,1559.300048828125,1713.5,4.554998779296966
5566,2025-01-16,1680.0,1705.949951171875,1679.199951171875,1697.3499755859375,1105433,0.0,0.0,1643.39900390625,1666.2826040135424,67.97077000781593,1675.218752563475,1658.8820287284043,16.336723835070643,9.016544696834774,1638.0625122070312,62.414637180922774,1762.8917865688768,1513.2332378451856,1656896.3,1559.300048828125,1713.5,3.3299987792968295
5565,2025-01-15,1721.0999755859375,1730.449951171875,1650.0,1671.6500244140625,2098490,0.0,0.0,1643.7020043945313,1665.0145480309957,67.4051151167923,1671.194893832118,1655.8045929798018,15.390300852316159,7.186499912275807,1634.7325134277344,60.84183266451857,1756.4161787567716,1513.0488480986971,1649254.25,1559.300048828125,1713.5,1.4249999999999545
5564,2025-01-14,1689.0,1730.0,1684.0,1713.5,2084348,0.0,0.0,1645.3630029296876,1664.7437122602582,76.0265598471081,1671.1121428172191,1654.536958465061,16.575184352158203,5.135549677265719,1633.3075134277344,60.26266314243242,1753.8328397125993,1512.7821871428696,1596611.25,1559.300048828125,1713.5,1.992498779296966
5563,2025-01-13,1689.5999755859375,1700.0,1666.5999755859375,1674.1500244140625,1177882,0.0,0.0,1646.1080029296875,1662.7536596994523,72.33313607777842,1663.4052596930771,1649.819915142266,13.585344550811215,2.275641008542598,1631.3150146484375,58.09133691808377,1747.497688484605,1515.1323408122698,1532255.85,1559.300048828125,1701.25,-0.277496337890625
5562,2025-01-10,1682.0,1718.199951171875,1680.0,1701.25,1467079,0.0,0.0,1647.6740014648437,1662.2885019559988,78.9740179950258,1661.4516661074435,1647.8735064005223,13.57815970692127,-0.5517848770245561,1631.592510986328,58.31953225666211,1748.2315754996523,1514.9534464730039,1542851.85,1559.300048828125,1701.25,1.097497558593659
5561,2025-01-09,1697.0,1700.5,1675.0,1690.300048828125,1036731,0.0,0.0,1648.9830004882813,1660.698236729713,71.34081320893075,1654.215605399706,1643.603386912564,10.612218487141945,-4.084271023011013,1630.4950134277344,57.13416453424403,1744.7633424962225,1516.2266843592463,1526385.1,1559.300048828125,1701.0999755859375,0.19000244140625
5560,2025-01-08,1681.0,1709.0,1668.550048828125,1697.0,1437122,0.0,0.0,1649.7859985351563,1659.4899995012063,62.24357568718964,1647.6547975036299,1639.8676539593191,7.787143544310766,-7.758393400549252,1630.3050109863282,56.930768956994065,1744.1665489003162,1516.44347307234,1581144.2,1559.300048828125,1701.0999755859375,1.679998779296966
5559,2025-01-07,1692.0,1703.6500244140625,1674.199951171875,1682.75,1242573,0.0,0.0,1649.9939990234375,1657.958979072684,57.36880625079787,1638.68294250429,1635.2970662760647,3.385876228225243,-11.644777636764257,1628.6250122070312,55.33236754422612,1739.2897472954835,1517.960277118579,1592986.8,1559.300048828125,1701.0999755859375,2.284997558593659
5558,2025-01-06,1715.0,1732.949951171875,1675.0,1684.5999755859375,1837772,0.0,0.0,1651.1809985351563,1656.9471006674873,51.8412556878548,1630.6707502323427,1631.50083157815,-0.8300813458072298,-15.402441103011633,1626.3400146484375,53.904784342178694,1734.149583332795,1518.5304459640802,1573813.45,1559.300048828125,1701.0999755859375,2.470001220703125
5557,2025-01-03,1700.0,1720.0,1692.0,1701.0999755859375,1563600,0.0,0.0,1652.282998046875,1655.8184118953056,53.729526419136405,1620.865436531689,1627.2529000575269,-6.387463525837802,-19.04553104231273,1623.8700134277344,52.19953973920577,1728.269092906146,1519.470933949323,1534386.1,1559.300048828125,1701.0999755859375,2.8500000000001364
5556,2025-01-02,1581.300048828125,1717.9000244140625,1576.4000244140625,1700.6500244140625,8022190,0.0,0.0,1652.712998046875,1653.970184805892,53.721453268790896,1606.2773385218259,1621.345134015254,-15.067795493428093,-22.210047921431464,1621.0200134277343,49.23273480150864,1719.4854830307515,1522.554543824717,1541507.7,1559.300048828125,1700.6500244140625,3.62750244140625
5555,2025-01-01,1565.0,1584.050048828125,1565.0,1576.4000244140625,464064,0.0,0.0,1653.867998046875,1652.0648852300483,17.579498505033428,1589.118668359601,1615.0007427833493,-25.882074423748236,-23.995611028432304,1617.392510986328,45.59512501636901,1708.582761019066,1526.20226095359,1253978.6,1559.300048828125,1686.5,-1.5349975585938864
