,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
1987,2025-02-18,5209.0,5227.0,5090.0,5186.10009765625,1252565,0.0,0.0,5491.279013671875,5320.6317799070885,48.72519750278577,5344.860785888301,5410.846661308475,-65.98587542017412,-16.231308891765405,5435.260009765625,246.30595551297816,5927.871920791581,4942.648098739669,1881773.75,5120.5498046875,5909.7001953125,-28.6300048828125
1986,2025-02-17,5099.5,5234.0,4971.0,5208.7001953125,1919814,0.0,0.0,5496.884013671875,5326.122868978551,46.45398090081163,5373.726365566855,5428.826386400652,-55.100020833797316,-3.792667259663226,5463.8900146484375,249.08307628437984,5962.056167217197,4965.723862079678,1896670.9,5120.5498046875,5909.7001953125,-29.059985351562318
1985,2025-02-14,5335.0,5335.0,5066.0,5120.5498046875,2380887,0.0,0.0,5502.05201171875,5330.915631169002,49.20960305949651,5403.73112379492,5446.436481687704,-42.70535789278438,9.034171133870297,5492.95,251.6342528504268,5996.218505700854,4989.681494299146,1870225.65,5120.5498046875,5909.7001953125,-42.962500000000546
1984,2025-02-13,5364.0,5394.9501953125,5206.0,5255.4501953125,1953805,0.0,0.0,5507.57001953125,5339.501991433553,46.193898957526244,5455.218636359905,5472.50741584772,-17.28877948781519,21.969053390533965,5535.9125,257.9781147056687,6051.868729411338,5019.956270588663,1815053.9,5156.75,5979.7998046875,-37.16499023437427
1983,2025-02-12,5194.0,5435.0,5044.10009765625,5355.2998046875,4265086,0.0,0.0,5506.359013671875,5342.932676989514,41.21648615155911,5491.540171095797,5489.8719934905375,1.6681776052591886,31.783511610121256,5573.077490234375,268.7628736449503,6110.603237524275,5035.551742944474,1777321.8,5156.75,5998.75,-31.967504882813046
1982,2025-02-11,5650.0,5664.0498046875,5151.0,5187.14990234375,2408978,0.0,0.0,5490.694013671875,5342.427896267147,36.31560111525711,5516.311146806396,5500.63776859478,15.673378211616182,39.31234511133677,5605.044995117188,279.3124937101296,6163.669982537447,5046.420007696928,1701729.25,5156.75,5998.75,-29.9425048828125
1981,2025-02-10,5730.0,5794.9501953125,5600.0,5629.60009765625,1375894,0.0,0.0,5477.22701171875,5348.765773570142,47.25155329541875,5576.158645799605,5525.716797894862,50.441847904743554,45.22208683626691,5634.9875,263.82522593602823,6162.637951872057,5107.3370481279435,1762958.65,5156.75,5998.75,9.037500000000364
1980,2025-02-07,5500.0,5748.7001953125,5463.10009765625,5726.10009765625,2679040,0.0,0.0,5455.91201171875,5337.3031480972395,48.602904067405156,5566.442018189306,5517.406133913951,49.035884275354874,43.91714656914775,5625.95,267.0950774227661,6160.140154845532,5091.759845154467,1814619.75,5156.75,5998.75,28.474999999999454
1979,2025-02-06,5858.0,5858.0,5520.0,5567.5498046875,1956398,0.0,0.0,5434.805009765625,5321.433884849933,41.09476745020044,5537.413276468043,5500.7106168145665,36.702659653476076,42.63746214259596,5597.475,285.5740851020443,6168.623170204089,5026.326829795912,1784855.65,5156.60009765625,5998.75,22.294995117187682
1978,2025-02-05,5618.4501953125,5855.0,5570.0,5833.10009765625,2074466,0.0,0.0,5414.933017578125,5311.388337101461,45.995022391211904,5531.933907700868,5495.363481784732,36.57042591613572,44.121162764875926,5575.180004882813,304.79253285983015,6184.765070602473,4965.594939163152,1752461.2,5121.64990234375,5998.75,31.392504882812318
1977,2025-02-04,5468.0,5593.64990234375,5451.9501953125,5565.35009765625,1255017,0.0,0.0,5387.796015625,5290.093979527795,38.10408690560078,5477.176418618071,5468.344552515011,8.831866103059838,46.008846977060976,5543.7875,309.13179957449006,6162.051099148981,4925.52390085102,1696962.9,5121.64990234375,5998.75,8.247509765625182
1976,2025-02-03,5331.0,5440.0,5270.0,5415.39990234375,1122494,0.0,0.0,5365.111015625,5278.859035930715,40.05420862458064,5461.144840611129,5460.584108903712,0.5607317074172897,55.303092195561256,5535.539990234375,310.7225492683274,6156.98508877103,4914.09489169772,1697557.2,5121.64990234375,5998.75,1.3550048828128638
1975,2025-02-01,5323.5,5469.4501953125,5251.0,5404.0498046875,1254612,0.0,0.0,5350.539013671875,5273.285939342429,48.976648203036135,5469.462102114289,5464.198845428509,5.263256685780107,68.98868231759724,5534.184985351562,311.3325232481567,6156.8500318478755,4911.519938855249,1741796.4,5121.64990234375,5998.75,15.752490234374818
1974,2025-01-31,5255.0,5318.64990234375,5218.0498046875,5305.9501953125,1102555,0.0,0.0,5336.857021484375,5267.948638716099,53.13359097155673,5481.355247100979,5469.01076868779,12.344478413188881,84.92003872555152,5518.4324951171875,325.89331056695744,6170.219116251103,4866.645873983272,1742696.15,5089.0,5998.75,-1.689990234374818
1973,2025-01-30,5422.5498046875,5426.89990234375,5192.0498046875,5238.89990234375,1470315,0.0,0.0,5324.641015625,5266.397554773388,52.49367256341248,5513.247074698884,5482.055614557813,31.19146014107082,103.06392880364217,5520.122485351562,324.8193127331843,6169.761110817931,4870.483859885194,1740508.75,5089.0,5998.75,-11.365014648437864
1972,2025-01-29,5150.0,5384.39990234375,5136.0498046875,5362.75,1702312,0.0,0.0,5314.41001953125,5267.519907933782,53.40805787612572,5563.128378763454,5501.508071534938,61.62030722851614,121.03204596928501,5531.4875,318.37435211224914,6168.236204224499,4894.738795775502,1708275.05,5089.0,5998.75,-3.1624999999994543
