,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
689,2025-02-18,282.0,282.25,263.1499938964844,271.3500061035156,1357916,0.0,0.0,285.8809875488281,282.0137652571302,52.749978233479474,275.47746360061564,277.4718958055739,-1.9944322049582865,-3.166599095151331,273.1736358642578,7.65497212357519,288.4835801114082,257.8636916171074,1136417.6,257.7265930175781,290.0421447753906,-0.20900268554692047
688,2025-02-17,236.8500061035156,294.0,236.8500061035156,282.8999938964844,1744988,0.7,0.0,286.4682727050781,282.449020732788,61.33437138965806,276.2279104182702,277.96164698173857,-1.7337365634683692,-3.4596408176995914,273.3826385498047,7.659623571618681,288.7018856930421,258.06339140656735,1086084.8,257.7265930175781,290.0421447753906,0.43582000732425286
687,2025-02-14,289.24424912386945,289.24424912386945,266.3041879864591,267.9000244140625,954034,0.0,0.0,286.83453186035155,282.430613664882,52.001958946388044,275.0148043313221,277.5665792285589,-2.5517748972367826,-3.891116881257397,272.94681854248046,7.330504135679537,287.60782681383955,258.28581027112136,1042548.85,257.7265930175781,290.0421447753906,-0.5809814453124886
686,2025-02-13,276.2781206166398,293.7325145184131,274.4329357451286,290.0421447753906,1116803,0.0,0.0,287.3621527099609,283.0236989404257,61.667648781545644,276.30840067991477,278.3399036137186,-2.0315029338038357,-4.2259523772625505,273.52779998779295,7.369820264991119,288.2674405177752,258.7881594578107,1026599.05,257.7265930175781,290.0421447753906,0.48373565673824714
685,2025-02-12,272.2885386553482,287.249447372675,260.1702086819228,281.31494140625,8643233,0.0,0.0,287.50876953125,282.7372317634883,52.13824616171093,273.8113562989192,277.4037243207849,-3.5923680218656955,-4.774564738127229,273.0440643310547,6.494320343264927,286.03270501758453,260.05542364452486,982265.6,257.7265930175781,281.31494140625,0.25932159423831536
684,2025-02-11,273.7347855725926,274.5825460914846,257.57699118189714,261.6164245605469,1121448,0.0,0.0,287.81297485351564,282.79528443113065,39.749264400599316,272.4470680975863,277.09082695394767,-4.643758856361387,-5.070113917192613,272.7847427368164,6.245458048403299,285.27565883362297,260.2938266400098,567590.75,257.7265930175781,280.367431640625,-1.087159729003929
683,2025-02-10,274.6822805575363,280.06820165904736,271.2911473038476,275.2308654785156,488850,0.0,0.0,288.3226434326172,283.65972769115444,49.723269105270646,274.4162760134116,278.3287791454198,-3.912503132008169,-5.176702682400419,273.8719024658203,6.089540355115705,286.0509831760517,261.6928217555889,543293.9,257.7265930175781,283.359619140625,0.22441406249998863
682,2025-02-07,270.14413274076924,275.530053490624,269.0469934084917,274.383056640625,352691,0.0,0.0,288.4991815185547,284.003762883507,50.182801039974585,274.26816883793816,278.57661223877216,-4.308443400833994,-5.492752569998482,273.6474884033203,6.119451952269482,285.8863923078593,261.40858449878135,580461.7,257.7265930175781,283.359619140625,-0.4887237548828125
681,2025-02-06,276.97628966698466,276.97628966698466,271.29113243702017,272.73736572265625,379405,0.0,0.0,288.72559020996096,284.3964447709716,44.178068196464324,274.24728014654056,278.9120966866239,-4.664816540083336,-5.788829862289602,274.13621215820314,6.556030104238194,287.24827236667954,261.02415194972673,592920.1,257.7265930175781,284.15753173828125,-0.7430587768554346
680,2025-02-05,276.47759909894984,282.76116844472534,272.7872295225128,277.0261535644531,1423763,0.0,0.0,288.80039489746093,284.87232554845383,46.95176309240957,274.52181004179226,279.4060751637413,-4.884265121949056,-6.069833192841168,274.87927093505857,7.199721816253145,289.27871456756486,260.4798273025523,593381.9,257.7265930175781,287.5985412597656,-0.8253433227539517
