,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
2602,2025-01-13,2335.5,2404.949951171875,2239.050048828125,2258.89990234375,153177,0.0,0.0,2269.5499975585935,2296.722840961939,40.469473411437214,2448.941635151854,2408.4737061645387,40.46792898731519,75.41030072512898,2458.654992675781,92.38109513870712,2643.4171829531956,2273.8928023983667,220130.6,2258.89990234375,2600.14990234375,-9.38250732421875
2601,2025-01-10,2454.0,2463.64990234375,2350.0,2373.050048828125,161508,0.0,0.0,2263.9619995117187,2298.266634374926,53.73379227474924,2483.4946774806,2420.439610470202,63.055067010398034,84.14589365958243,2468.0375,79.68189146446011,2627.40128292892,2308.67371707108,217418.85,2311.449951171875,2600.14990234375,-3.269995117187591
2600,2025-01-09,2602.0,2602.0,2468.0,2477.5,160902,0.0,0.0,2253.8809985351563,2295.2142501115304,55.226756300476055,2503.575519053777,2424.230775401568,79.34474365220922,89.41860032187851,2471.3074951171875,76.8709864245982,2625.049467966384,2317.565522267991,212759.75,2311.449951171875,2600.14990234375,0.3925048828123181
2599,2025-01-08,2550.75,2601.0,2472.25,2583.25,193723,0.0,0.0,2240.4299975585936,2287.774015422205,63.34858238272474,2508.3165225181,2419.969237433693,88.3472850844073,91.93706448929584,2470.914990234375,76.85774344419583,2624.630477122767,2317.1995033459834,217669.1,2311.449951171875,2600.14990234375,9.944995117187773
2598,2025-01-07,2594.949951171875,2594.949951171875,2515.0,2550.800048828125,243741,0.0,0.0,2224.5789965820313,2275.7137711537234,58.10056155274877,2494.692253885027,2406.906776428388,87.785477456639,92.83450934051795,2460.9699951171874,74.38569806995837,2609.741391257104,2312.1985989772706,211802.4,2311.449951171875,2600.14990234375,8.245007324218477
2597,2025-01-06,2579.64990234375,2579.949951171875,2486.60009765625,2508.25,149710,0.0,0.0,2210.851994628906,2264.4857598200747,56.40176600441501,2484.490836622646,2395.3953146364097,89.09552198623624,94.09676731148768,2452.724987792969,73.03131514109475,2598.787618075158,2306.6623575107797,206601.6,2311.449951171875,2600.14990234375,7.680004882812682
2596,2025-01-03,2550.0,2607.050048828125,2521.0,2537.550048828125,182816,0.0,0.0,2197.270993652344,2254.536198996404,56.73575129533679,2480.1709887358547,2386.3669398073225,93.80404892853221,95.34707864280054,2445.0449829101562,74.93644069574832,2594.917864301653,2295.1721015186595,209209.35,2311.449951171875,2600.14990234375,7.852502441406159
2595,2025-01-02,2524.949951171875,2625.949951171875,2492.35009765625,2559.699951171875,305917,0.0,0.0,2183.9819921875,2242.984613288987,59.16546709482154,2469.738432355442,2374.2722910856583,95.46614126978375,95.73283607136761,2437.19248046875,72.93456492144898,2583.061610311648,2291.323350625852,227471.35,2311.449951171875,2600.14990234375,9.859997558593932
2594,2025-01-01,2515.0,2528.0,2466.0,2512.300048828125,157454,0.0,0.0,2170.7459936523437,2230.0574566407063,53.30493067392624,2453.3817925706358,2359.438078278761,93.94371429187458,95.79950977176357,2427.332482910156,68.70840738747023,2564.7492976850967,2289.9156681352156,231140.2,2311.449951171875,2600.14990234375,9.995007324218477
2593,2024-12-31,2533.0,2533.0,2464.0,2500.64990234375,108505,0.0,0.0,2159.0379931640623,2218.537350837138,58.08873421100355,2442.6693823420014,2347.2091206348123,95.46026170718915,96.26345864173581,2417.3374755859377,70.22072982956367,2557.778935245065,2276.8960159268104,246413.8,2311.449951171875,2600.14990234375,13.229992675781432
2592,2024-12-30,2600.14990234375,2608.949951171875,2452.0,2538.10009765625,484329,0.0,0.0,2146.4879956054688,2207.0225528164597,61.14204276145764,2432.1274696144105,2334.9338580980975,97.19361151631301,96.46425787537245,2404.1074829101562,78.17375504615362,2560.4549930024637,2247.759972817849,269765.55,2236.050048828125,2600.14990234375,17.08750000000009
2591,2024-12-27,2400.0,2641.0,2381.14990234375,2600.14990234375,840106,0.0,0.0,2133.919992675781,2193.509183639325,68.82092228448647,2412.8597190613486,2318.6805589334454,94.17916012790329,96.2819194651373,2387.019982910156,84.44276815451627,2555.9055192191886,2218.1344466011237,258611.8,2196.35009765625,2600.14990234375,24.63999023437509
