,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5604,2025-01-22,2754.0,2782.64990234375,2741.949951171875,2771.550048828125,671990,0.0,0.0,2794.86,2847.9387830250043,49.26856488440566,2735.6715459379966,2764.7507707541677,-29.079224816171063,-34.13267548828606,2743.9125,59.355825838492386,2862.6241516769846,2625.200848323015,522213.9,2652.550048828125,2890.60009765625,1.972497558593659
5603,2025-01-21,2709.0,2761.449951171875,2708.60009765625,2731.85009765625,385694,0.0,0.0,2796.8469970703127,2851.0566905432443,52.29156576874474,2729.1481817761546,2764.206828508251,-35.05864673209635,-35.39603815631481,2741.9400024414062,59.043717509704216,2860.027437460815,2623.8525674219977,499560.05,2652.550048828125,2890.60009765625,0.25750732421875
5602,2025-01-20,2683.64990234375,2715.0,2658.39990234375,2708.60009765625,235484,0.0,0.0,2800.448994140625,2855.9222657631212,52.131486209125605,2728.65692434341,2766.795366976411,-38.13844263300098,-35.48038601236942,2741.6824951171875,59.10124130570717,2859.884977728602,2623.480012505773,494308.95,2652.550048828125,2890.60009765625,-2.112500000000182
5601,2025-01-17,2653.0,2709.64990234375,2636.300048828125,2683.64990234375,360893,0.0,0.0,2805.7559912109373,2861.935415481769,44.61419466617164,2732.3036201047116,2771.4509885220236,-39.14736841731201,-34.81587185721153,2743.7949951171877,58.60955757481003,2861.0141102668076,2626.5758799675677,502426.15,2652.550048828125,2890.60009765625,-4.852502441406159
5600,2025-01-16,2684.699951171875,2694.699951171875,2610.14990234375,2652.550048828125,306605,0.0,0.0,2811.7159912109373,2869.212375201688,44.81622671365892,2741.1497506067044,2778.4750754162856,-37.32532480958116,-33.732997717186414,2748.647497558594,57.37234458525784,2863.3921867291097,2633.902808388078,493583.4,2652.550048828125,2890.60009765625,-6.194995117187318
5599,2025-01-15,2719.85009765625,2719.949951171875,2626.449951171875,2664.75,709371,0.0,0.0,2818.3569921875,2878.055735461833,46.15385146006612,2757.258787293719,2788.549077543338,-31.290290249619375,-32.834915944087726,2754.842492675781,52.97011571848165,2860.7827241127443,2648.902261238818,487504.25,2664.75,2890.60009765625,-5.480004882812409
5598,2025-01-14,2752.949951171875,2799.89990234375,2690.5,2713.300048828125,299770,0.0,0.0,2826.3819921875,2886.7620920112954,48.601603946925415,2774.0785668016674,2798.4530037468053,-24.37443694513786,-33.221072367704814,2760.3224975585936,48.6524248168276,2857.6273471922486,2663.0176479249385,469888.55,2680.64990234375,2890.60009765625,-5.92999267578125
5597,2025-01-13,2830.0,2835.60009765625,2745.199951171875,2752.050048828125,236490,0.0,0.0,2833.3659912109374,2893.8421754065266,51.984039634169655,2785.1292064332206,2805.2652401402993,-20.136033707078695,-35.43273122334655,2766.252490234375,49.83289354329912,2865.918277320973,2666.5867031477765,465593.75,2680.64990234375,2890.60009765625,-6.047497558593932
5596,2025-01-10,2879.050048828125,2880.0,2810.949951171875,2830.699951171875,498339,0.0,0.0,2840.14798828125,2899.6296091444206,56.832355616312675,2791.143598725056,2809.522455445273,-18.378856720216845,-39.25690560241352,2772.2999877929688,55.08123439348934,2882.4624565799472,2662.1375190059903,472327.95,2680.64990234375,2890.60009765625,-0.607507324218659
5595,2025-01-09,2798.949951171875,2939.5,2776.60009765625,2890.60009765625,1892039,0.0,0.0,2845.4039892578126,2902.443064571871,59.91340790119868,2783.951534643816,2807.828255787145,-23.876721143328723,-44.47641782296268,2772.9074951171874,55.821277889907755,2884.550050897003,2661.2649393373717,472198.1,2680.64990234375,2890.60009765625,-0.14749755859384095
5594,2025-01-08,2745.449951171875,2803.449951171875,2723.199951171875,2789.75,493094,0.0,0.0,2849.6889892578124,2902.9264509765903,51.45292069677891,2764.5608868233735,2801.2065084376163,-36.64562161424283,-49.62634199287117,2773.0549926757812,56.151546917280115,2885.3580865103413,2660.751898841221,399012.25,2680.64990234375,2893.550048828125,-2.972497558593659
