,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5602,2025-01-23,156.94000244140625,158.6999969482422,152.6699981689453,153.57000732421875,186619,0.0,0.0,169.4386001586914,169.32985348997013,42.920293522377314,156.13568298819018,160.42019844499367,-4.28451545680349,-5.871702085116478,156.0985008239746,7.992854138632558,172.0842091012397,140.1127925467095,289804.4,136.07000732421875,166.47000122070312,-0.4214996337890682
5601,2025-01-22,161.89999389648438,164.99000549316406,152.86000061035156,155.25999450683594,234697,0.0,0.0,170.2486001586914,169.97311251714365,43.69918028301868,156.60216947254864,160.96821373465568,-4.366044262107039,-6.268498742194725,156.52000045776367,8.074357731238788,172.66871592024125,140.3712849952861,288979.65,136.07000732421875,166.47000122070312,-0.4230003356933594
5600,2025-01-21,165.39999389648438,170.8300018310547,160.10000610351562,161.32000732421875,437095,0.0,0.0,171.13660034179688,170.5736479461358,46.05968185121053,156.84620128449637,161.42487127288126,-4.578669988384888,-6.744112362216646,156.94300079345703,8.225069550108515,173.39313989367406,140.49286169324,285797.15,136.07000732421875,166.47000122070312,-0.11399993896483807
5599,2025-01-20,166.0,170.99000549316406,162.35000610351562,164.52000427246094,668122,0.0,0.0,171.8802001953125,170.95134756335688,52.32074607821573,156.03278200454685,161.43326038877427,-5.400478384227426,-7.285472955674585,157.05700073242187,8.304346442120607,173.66569361666308,140.44830784818066,276921.75,136.07000732421875,166.47000122070312,-0.019499969482438928
5598,2025-01-17,157.39999389648438,162.9499969482422,156.00999450683594,161.61000061035156,281824,0.0,0.0,172.57240020751954,171.21385137114854,51.94181843474822,154.4896506831079,161.18632087807936,-6.69667019497146,-7.756721598536374,157.0765007019043,8.323229557225941,173.7229598163562,140.43004158745242,259621.0,136.07000732421875,166.47000122070312,-0.4260002136230412
5597,2025-01-16,155.0,163.8300018310547,148.80999755859375,159.80999755859375,857115,0.0,0.0,173.25580017089842,171.6058452797525,49.577296271776156,153.19504160542724,161.15242649949758,-7.957384894070344,-8.021734449427601,157.50250091552735,8.773340842768103,175.04918260106356,139.95581922999114,266935.8,136.07000732421875,170.1300048828125,-0.5
5596,2025-01-15,145.4499969482422,146.0,142.30999755859375,144.6999969482422,169020,0.0,0.0,173.9550003051758,172.08730845204468,33.60498970840828,151.99232234121516,161.25982081476988,-9.267498473554724,-8.037821838266915,158.00250091552735,9.18697193737904,176.37644479028543,139.62855704076927,244812.0,136.07000732421875,170.1300048828125,-1.5569999694824048
5595,2025-01-14,138.6999969482422,146.0,138.1199951171875,144.17999267578125,433309,0.0,0.0,175.04800048828125,173.2051579011795,31.893974527192114,153.31819968539205,162.58460672409208,-9.266407038700038,-7.730402679444962,159.55950088500975,9.448874249931789,178.45724938487334,140.66175238514617,252764.15,136.07000732421875,175.83999633789062,-1.8290000915527571
5594,2025-01-13,144.89999389648438,146.47999572753906,124.5199966430664,136.07000732421875,490463,0.0,0.0,176.0760006713867,174.3898585226243,20.056540869814597,154.97969186895767,164.05697584795695,-9.077283978999276,-7.346401589631193,161.3885009765625,9.847174581635205,181.0828501398329,141.6941518132921,247675.55,136.07000732421875,180.75999450683597,-2.4449996948242188
5593,2025-01-10,152.5,152.99000549316406,145.60000610351562,146.36000061035156,245428,0.0,0.0,177.29640045166016,175.95393408174291,24.925634494209362,158.41781633163748,166.295933329856,-7.87811699821853,-6.913680992289171,163.83350067138673,9.284595789092075,182.4026922495709,145.26430909320257,231797.1,146.36000061035156,184.97000122070312,-2.0940002441406023
5592,2025-01-09,155.6999969482422,156.05999755859375,151.5,152.24000549316406,131694,0.0,0.0,178.18600036621095,177.16184973363644,25.378456488056514,160.6101464627804,167.89080794741636,-7.280661484635971,-6.672571990806831,165.92750091552733,9.84225100791414,185.61200293135562,146.24299889969905,232620.9,152.24000549316406,188.2400054931641,-1.9009994506835994
5591,2025-01-08,157.52000427246094,157.92999267578125,152.88999938964844,154.94000244140625,155811,0.0,0.0,178.8936001586914,178.17906786590063,28.100142655147593,162.13199027543791,169.14287214375656,-7.0108818683186485,-6.520549617349546,167.82850036621093,10.694255537084647,189.21701144038022,146.43998929204164,237887.35,154.94000244140625,190.25999450683597,-1.700499725341814
5590,2025-01-07,156.99000549316406,158.39999389648438,155.50999450683594,157.1699981689453,127876,0.0,0.0,179.50800018310548,179.12760114853305,25.27151560863595,163.43962442708002,170.27910171994458,-6.839477292864558,-6.397966554607269,169.52900009155275,11.227656598413764,191.98431328838026,147.07368689472523,256353.3,155.52000427246094,190.25999450683597,-1.5504997253417798
5589,2025-01-06,163.5500030517578,164.0500030517578,155.0,155.52000427246094,255032,0.0,0.0,180.2468002319336,180.02382984157742,19.234523410083582,164.5795564740136,171.32783000402452,-6.74827353001092,-6.287588870042946,171.07949981689453,11.567146736917923,194.21379329073037,147.9452063430587,257862.75,155.52000427246094,190.25999450683597,-1.5720001220703068
5588,2025-01-03,164.85000610351562,165.6300048828125,162.86000061035156,163.5,148277,0.0,0.0,181.01120025634765,181.02398598725566,21.1812064151636,166.2267477833868,172.59245606254962,-6.365708279162817,-6.172417705050951,172.65149993896483,11.477317903876438,195.6061357467177,149.69686413121195,251598.1,159.02000427246094,190.25999450683597,-1.211000061035179
5587,2025-01-02,166.60000610351562,167.61000061035156,162.9499969482422,163.94000244140625,123183,0.0,0.0,181.6414001464844,181.73925072142936,19.68562632034393,166.72252010763893,173.31985254755358,-6.597332439914652,-6.1240950615229846,173.8625,11.735746238813219,197.33399247762645,150.39100752237357,250184.55,159.02000427246094,190.25999450683597,-1.1474998474120923
5586,2025-01-01,162.2899932861328,167.27999877929688,162.2899932861328,166.47000122070312,230194,0.0,0.0,182.40380004882812,182.4657506512262,19.93935044667731,167.2284324105903,174.07024055604538,-6.841808145455076,-6.005785716925066,175.0099998474121,11.836054909082138,198.68210966557638,151.33789002924783,250429.1,159.02000427246094,190.25999450683597,-1.0425003051757926
5585,2024-12-31,159.02000427246094,162.2899932861328,159.0,161.39999389648438,128671,0.0,0.0,183.235,183.11863838308426,11.533068040768029,167.3663289905698,174.67825970287277,-7.311930712302967,-5.796780109792564,176.0525001525879,11.96182588204388,199.97615191667566,152.12884838850013,248977.4,159.02000427246094,190.25999450683597,-1.2315002441406193
5584,2024-12-30,160.58999633789062,164.6199951171875,158.41000366210938,159.02000427246094,247151,0.0,0.0,184.15920013427734,184.0051136682516,7.368434202712649,168.45111718949443,175.74052096738384,-7.289403777889419,-5.417992459164964,177.28400039672852,11.637378463266845,200.5587573232622,154.00924347019483,254128.5,159.02000427246094,190.25999450683597,-1.4684997558593693
5583,2024-12-27,162.35000610351562,163.17999267578125,159.47999572753906,160.3699951171875,244507,0.0,0.0,185.2086001586914,185.02491405175323,10.977373364785521,170.16586499259142,177.07816230297766,-6.912297310386236,-4.95013962948385,178.75250015258788,11.0496077591568,200.85171567090148,156.65328463427429,254730.85,160.3699951171875,190.25999450683597,-1.1690002441406193
5582,2024-12-26,164.60000610351562,165.05999755859375,161.0,162.0,170124,0.0,0.0,186.24560028076172,186.03123727357223,11.265037039352151,171.94693224266487,178.41481567784086,-6.467883435175992,-4.4596002092582525,179.9215003967285,10.207092691192994,200.3356857791145,159.5073150143425,253320.7,162.0,190.25999450683597,-1.0654998779297102
5581,2024-12-24,164.25,165.8800048828125,163.0,163.72000122070312,171047,0.0,0.0,187.2436001586914,187.01210410106498,14.144210984161802,173.75546537769483,179.72800093206814,-5.972535554373309,-3.9575294027788175,180.98700027465821,9.3107352292484,199.608470733155,162.36552981616143,257855.5,163.60000610351562,190.25999450683597,-0.8239997863769304
5580,2024-12-23,166.0500030517578,168.5399932861328,161.89999389648438,163.60000610351562,259587,0.0,0.0,188.24100006103515,187.96280217781444,13.641930148228326,175.58009522442057,181.00864090897733,-5.428545684556752,-3.453777864880194,181.81100006103514,8.385440466796894,198.58188099462893,165.04011912744136,263757.95,163.60000610351562,190.25999450683597,-0.6494995117187727
5579,2024-12-20,171.0,172.11000061035156,164.10000610351562,164.91000366210938,322107,0.0,0.0,189.27059997558592,188.95720201758172,17.607375516856337,177.75829324640327,182.40133169341425,-4.64303844701098,-2.9600859099610535,182.46049957275392,7.3383570915664444,197.13721375588682,167.78378538962102,262994.35,164.91000366210938,190.25999450683597,-0.2504997253417969
5578,2024-12-19,167.0,173.0,166.5,170.1300048828125,428120,0.0,0.0,190.30239990234375,189.93872031780506,19.30062015114106,180.09434589809305,183.80063793591864,-3.706292037825591,-2.5393477756985714,182.71099929809571,6.771330732017692,196.2536607621311,169.16833783406034,259590.2,169.80999755859375,190.25999450683597,0.209000396728527
5577,2024-12-18,175.85000610351562,177.27999877929688,168.41000366210938,169.80999755859375,414639,0.0,0.0,191.24459991455078,190.7472393151517,29.536107691397945,181.90604426450773,184.89428858016714,-2.988244315659415,-2.247611710166816,182.5019989013672,7.229121056505927,196.96024101437905,168.04375678835532,251523.35,165.9499969482422,190.25999450683597,0.033499908447254256
5576,2024-12-17,180.47000122070312,180.47000122070312,174.10000610351562,175.83999633789062,328063,0.0,0.0,192.07980010986327,191.60182061133773,36.88092571054939,184.1053254837648,186.101031861893,-1.9957063781282045,-2.062453558793666,182.46849899291993,7.292307849737859,197.05311469239564,167.88388329344423,243616.15,165.9499969482422,190.25999450683597,0.37449951171876705
5575,2024-12-16,185.1000061035156,187.22000122070312,179.24000549316406,180.75999450683597,331537,0.0,0.0,193.0522003173828,192.24516037760088,51.05025784259301,185.60811260119647,186.9219147038132,-1.3138021026167337,-2.0791403539600317,182.09399948120117,7.823605031423186,197.74120954404754,166.4467894183548,239127.7,165.9499969482422,190.25999450683597,0.36199951171875
5574,2024-12-13,188.0,188.8300018310547,183.1000061035156,184.97000122070312,172894,0.0,0.0,193.97300048828126,192.71394265804025,66.0782917649373,186.48958861835294,187.41486831957138,-0.925279701218443,-2.2704749167958562,181.73199996948242,8.052721245525664,197.83744246053374,165.6265574784311,237121.2,165.9499969482422,190.25999450683597,0.40350036621092045
5573,2024-12-12,191.0,191.5,187.5,188.2400054931641,261904,0.0,0.0,194.84420043945312,193.03002190038055,81.09302891712291,186.76587723610743,187.61045768748085,-0.8445804513734174,-2.6067737206902097,181.3284996032715,8.08405659431152,197.49661279189453,165.16038641464846,249644.8,165.9499969482422,190.25999450683597,0.029500579834007112
5572,2024-12-11,190.0,193.2899932861328,188.6499938964844,190.25999450683597,237023,0.0,0.0,195.6440002441406,193.22553277414448,88.6978585232059,186.49785391664258,187.56009386302617,-1.0622399463835848,-3.0473220380194075,181.2989990234375,8.058543750283697,197.41608652400487,165.1819115228701,245463.25,165.9499969482422,190.25999450683597,-0.1905006408691463
5571,2024-12-10,188.8999938964844,193.97999572753903,187.6999969482422,188.9499969482422,525130,0.0,0.0,196.37940032958986,193.34657515240195,79.75366847963096,185.81382835478922,187.3441018115214,-1.530273456732175,-3.5435925609283627,181.48949966430663,8.322246101204318,198.13399186671526,164.845007461898,240379.9,165.9499969482422,194.07000732421875,-0.5355003356933707
5570,2024-12-09,187.0,189.3500061035156,186.8000030517578,188.17999267578125,158065,0.0,0.0,196.98940032958984,193.5260273240003,79.7658181111899,185.24361588325235,187.21563020058375,-1.9720143173314,-4.04692233697741,182.025,9.132673577618249,200.2903471552365,163.7596528447635,227947.65,165.9499969482422,199.66000366210935,-0.5160003662109318
