,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
603,2025-02-12,305.45001220703125,305.5,282.5,284.3999938964844,474474,0.0,0.0,378.58399780273436,375.00501093067436,27.243180176676475,339.45665910626605,355.6995933848047,-16.242934278538655,-10.573224934540615,351.70999603271486,22.618068221539883,396.9461324757946,306.4738595896351,142253.55,284.3999938964844,385.25,-4.01000061035154
602,2025-02-11,330.0,338.70001220703125,297.95001220703125,299.3500061035156,696661,0.0,0.0,381.4339978027344,378.7031748912535,29.769105029664374,349.4669618716809,361.4035613438703,-11.936599472189414,-9.155797598541104,355.7199966430664,16.277005197122552,388.2740070373115,323.1659862488213,124904.05,299.3500061035156,385.25,-3.2899993896484716
601,2025-02-10,353.1000061035156,359.0,338.5,339.6499938964844,170011,0.0,0.0,383.88399780273437,381.9420797397326,45.20355803136126,358.5791356477109,366.36784576309867,-7.788710115387744,-8.460597130129026,359.00999603271487,9.538686218289026,378.0873684692929,339.9326235961368,98488.35,339.6499938964844,385.25,-1.4975006103515511
600,2025-02-07,360.0,361.9500122070313,356.6000061035156,359.6000061035156,80078,0.0,0.0,385.497998046875,383.66828732517126,49.64029724680057,362.0207977842976,368.5052739124278,-6.484476128130211,-8.628568883814346,360.5074966430664,8.648798607391987,377.8050938578504,343.2098994282824,93697.15,344.79998779296875,385.25,-0.1774993896484034
599,2025-02-06,360.0,361.5499877929688,358.1000061035156,359.8999938964844,43587,0.0,0.0,386.8139978027344,384.65066615054496,47.60965792952834,362.46094172625794,369.2176953371408,-6.756753610882868,-9.164592072735378,360.6849960327148,8.66560582406015,378.0162076808351,343.3537843845945,95375.75,344.79998779296875,385.25,-0.8175003051758267
598,2025-02-05,360.0,361.0499877929688,357.25,359.29998779296875,101849,0.0,0.0,388.1599981689453,385.66089767111885,47.32407180007087,362.9265686043986,369.9631114523933,-7.036542847994724,-9.766551688198506,361.50249633789065,9.333157492538916,380.1688113229685,342.8361813528128,97583.4,344.79998779296875,385.25,-1.1225006103515511
597,2025-02-04,365.0,366.0,360.20001220703125,364.8500061035156,55146,0.0,0.0,389.4439984130859,386.7368531763494,50.1309586003288,363.5859469337495,370.8161613451473,-7.23021441139781,-10.449053898249451,362.6249969482422,10.349062899560257,383.32312274736273,341.92687114912167,97153.65,344.79998779296875,385.25,-1.1949996948242188
596,2025-02-03,365.0,374.2000122070313,360.25,364.0,125317,0.0,0.0,390.507998046875,387.6301938731998,49.39569418273664,363.35611799379205,371.2934537644778,-7.937335770685763,-11.253763769962362,363.8199966430664,11.885337247795174,387.5906711386568,340.04932214747606,96765.75,344.79998779296875,388.75,-1.2100006103515284
595,2025-02-01,368.8999938964844,390.0,360.5499877929688,385.25,201615,0.0,0.0,391.5369982910156,388.59469158231,59.98723208509243,363.2390485381179,371.87693006563603,-8.637881527518118,-12.08287076978151,365.02999725341795,13.076765889671682,391.1835290327613,338.87646547407456,92687.65,344.79998779296875,388.75,-0.08500061035158524
594,2025-01-31,350.1499938964844,365.0,350.1499938964844,363.7999877929688,53868,0.0,0.0,392.21899841308596,388.73120960607775,50.51301802198907,359.23705736323024,370.80708447088693,-11.5700271076567,-12.944118080347357,365.11499786376953,13.219858186499462,391.55471423676846,338.6752814907706,87067.35,344.79998779296875,388.75,-1.8725006103515511
593,2025-01-30,357.6000061035156,357.6000061035156,350.04998779296875,355.5,68669,0.0,0.0,393.33599853515625,389.74881049640874,34.77623436058644,358.40743364873236,371.36765220512035,-12.960218556387986,-13.287640823520022,366.9874984741211,15.482438805807115,397.9523760857353,336.02262086250687,86645.45,344.79998779296875,401.25,-2.0699996948242188
592,2025-01-29,342.3500061035156,355.8500061035156,342.3500061035156,354.3999938964844,57310,0.0,0.0,394.7649987792969,391.1467211289152,31.150930943638613,358.9360579485019,372.63706438152997,-13.701006433028056,-13.36949639030303,369.0574981689453,16.593450043543918,402.24439825603315,335.87059808185745,86654.95,344.79998779296875,401.25,-2.1074996948242415
591,2025-01-28,349.1499938964844,351.79998779296875,340.54998779296875,344.79998779296875,78255,0.0,0.0,396.2239990234375,392.64658754656546,18.58470011631144,359.76079686705054,374.0960300203336,-14.33523315328307,-13.286618879621773,371.16499786376954,17.295683303189406,405.75636447014836,336.57363125739073,87117.45,344.79998779296875,401.25,-2.2900009155273438
590,2025-01-27,352.0,360.0,342.29998779296875,349.04998779296875,91480,0.0,0.0,397.8969995117188,394.59950998548777,20.45281176297162,362.48094397142904,376.4397133985228,-13.958769427093785,-13.024465311206448,373.4549987792969,16.64078101491931,406.7365608091355,340.1734367494583,86702.95,349.04998779296875,401.25,-1.9300003051757812
589,2025-01-24,357.29998779296875,359.04998779296875,351.3999938964844,354.3999938964844,59912,0.0,0.0,399.2309997558594,396.45867415661104,23.813337484182597,364.9229360038764,378.63089144696715,-13.707955443090782,-12.790889282234614,375.38499908447267,15.882449043085682,407.149897170644,343.6201009983013,87078.6,349.8999938964844,401.25,-1.9624999999999773
588,2025-01-23,353.95001220703125,358.29998779296875,350.75,356.29998779296875,52856,0.0,0.0,400.7159997558594,398.175354983555,19.852434897869415,366.83619820522034,380.5693632510058,-13.733165045785483,-12.561622742020573,377.34749908447264,15.57495126673281,408.4974016179383,346.197596551007,86398.15,349.8999938964844,401.25,-1.842500305175804
587,2025-01-22,362.2999877929688,363.75,348.04998779296875,349.8999938964844,148788,0.0,0.0,402.3879998779297,399.8845536443952,17.586206896551673,368.75187282562973,382.5109132876488,-13.759040462019072,-12.268737166079344,379.18999938964845,15.127228840539793,409.44445707072805,348.93554170856885,86609.45,349.8999938964844,401.25,-2.3300003051757585
586,2025-01-21,364.0,365.8999938964844,360.0,360.2999877929688,123413,0.0,0.0,404.625,401.92473975655486,20.976787098274798,372.1794871763834,385.11978683894193,-12.940299662558516,-11.89616134209441,381.5199996948242,13.918903591094498,409.3578068770132,353.6821925126352,81303.5,360.2999877929688,401.25,-1.8125
585,2025-01-20,368.9500122070313,368.9500122070313,362.5499877929688,364.75,86348,0.0,0.0,406.6670001220703,403.6237092244563,29.78888701716474,374.339396155186,387.10537076261977,-12.765974607433748,-11.635126761978384,383.3324996948242,13.359188004202503,410.0508757032292,356.6141236864192,78970.0,363.1499938964844,401.25,-1.7875000000000227
584,2025-01-17,364.0,365.4500122070313,363.0499877929688,364.7000122070313,75434,0.0,0.0,408.68299987792966,405.21039123361777,32.834719824919986,376.0829227288562,388.89380042362933,-12.810877694773126,-11.352414800614543,385.11999969482423,13.131722990571483,411.3834456759672,358.85655371368125,78748.5,363.1499938964844,401.25,-1.9499999999999886
583,2025-01-16,365.1499938964844,368.7000122070313,363.7000122070313,364.6000061035156,127484,0.0,0.0,410.47199951171876,406.8638760918458,30.034372650880556,378.1525428237334,390.8293034809572,-12.676760657223781,-10.987799077074898,387.0699996948242,12.832097505193529,412.7341947052113,361.40580468443716,80069.65,363.1499938964844,403.7000122070313,-1.9449996948242188
582,2025-01-15,366.5,367.6000061035156,362.5,365.1499938964844,168347,0.0,0.0,412.4379992675781,408.5889320097368,30.742781775425883,380.61664040922756,392.9276472711525,-12.311006861924966,-10.565558682037675,389.01499938964844,12.178444337284391,413.3718880642172,364.65811071507966,78635.2,363.1499938964844,403.7000122070313,-1.9375
581,2025-01-14,365.9500122070313,372.0,360.5499877929688,369.6000061035156,74187,0.0,0.0,414.3179992675781,410.3619498919104,31.215089662427005,383.42875795699905,395.149859541126,-11.721101584126927,-10.129196637065853,390.95249938964844,11.227133655685982,413.4067667010204,368.4982320782765,74322.0,363.1499938964844,403.8999938964844,-1.7649993896484375
