,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
6846,2025-01-13,171.0,173.69000244140625,161.14999389648438,162.17999267578125,2744346,0.0,0.0,190.15279907226562,189.81836084750142,30.53144821666376,178.98545265957344,184.76216726432287,-5.776714604749429,-3.872179114601531,184.28549880981444,8.730663006337618,201.74682482248969,166.8241727971392,2048834.25,162.17999267578125,201.47000122070312,-1.9830001831054744
6845,2025-01-10,177.0,177.97999572753906,171.3000030517578,173.0800018310547,2395516,0.0,0.0,190.6457992553711,190.94645750757164,38.07918438592994,182.04099083844477,186.5687412314062,-4.527750392961423,-3.396045242064556,186.26849899291992,7.911105590350723,202.09071017362137,170.44628781221846,2028917.85,173.0800018310547,201.83999633789065,-1.502500152587885
6844,2025-01-09,180.8000030517578,181.6999969482422,175.9199981689453,176.77999877929688,1468690,0.0,0.0,190.80179931640626,191.67570059640906,34.0369941118401,183.67026156706115,187.6478403834343,-3.9775788163731534,-3.1131189543403393,187.7709991455078,8.125172162994376,204.02134347149655,171.52065481951905,1985118.1,176.77999877929688,203.1300048828125,-1.4919998168945483
6843,2025-01-08,182.0,183.9499969482422,180.00999450683594,181.8600006103516,1457711,0.0,0.0,190.86919921875,192.28368842567895,37.672454976573704,184.92303661938195,188.5172677117653,-3.594231092383353,-2.897003988832136,189.26299896240235,8.718737601479875,206.7004741653621,171.8255237594426,2031201.2,177.50999450683594,206.6199951171875,-1.2985000610351562
6842,2025-01-07,182.75,183.8999938964844,180.2100067138672,181.69000244140625,1292855,0.0,0.0,190.7039993286133,192.7091450712025,32.74717110288381,185.47995225738748,189.0498490798784,-3.569896822490932,-2.7226972129443316,190.5614990234375,9.460495382210235,209.482489787858,171.64050825901703,2192118.95,177.50999450683594,207.8300018310547,-1.310499572753912
6841,2025-01-06,188.0,188.4499969482422,178.5,181.42999267578125,2606172,0.0,0.0,190.67839935302734,193.15890599486764,31.108592273369325,186.16903404211132,189.6386368109562,-3.4696027688448794,-2.5108973105576813,191.87199859619142,9.968609296749284,211.80921718968997,171.93478000269286,2336156.9,177.50999450683594,207.8999938964844,-1.1550003051757756
6840,2025-01-03,182.8999938964844,189.69000244140625,182.88999938964844,187.6499938964844,4420664,0.0,0.0,190.63999938964844,193.63763715074873,34.96503315609556,187.0306779268986,190.2953283417702,-3.2646504148715962,-2.2712209459858816,193.0269989013672,10.033101062844967,213.09320102705712,172.96079677567727,2416057.1,177.50999450683594,207.8999938964844,-0.7785003662109204
6839,2025-01-02,185.0,186.6000061035156,181.3000030517578,182.72000122070312,2102116,0.0,0.0,190.41199951171876,193.8820307529636,26.56716982692228,186.91807502333754,190.50695509739305,-3.58888007405551,-2.022863578764453,193.8054992675781,10.19665342123679,214.1988061100517,173.41219242510454,2331429.3,177.50999450683594,207.8999938964844,-1.0784996032714957
6838,2025-01-01,183.3000030517578,185.4199981689453,181.94000244140625,184.2899932861328,1125128,0.0,0.0,190.4677993774414,194.33762379509668,25.445355467238542,187.68136116927107,191.12991140752825,-3.4485502382571838,-1.6313594549416885,194.8839988708496,10.102725528177915,215.08944992720544,174.67854781449378,2408512.95,177.50999450683594,207.8999938964844,-0.9819999694824162
6837,2024-12-31,178.0,182.4499969482422,177.69000244140625,182.00999450683597,2024244,0.0,0.0,190.53179962158202,194.7477311628095,20.923431163653873,188.29797351165985,191.6771048572399,-3.379131345580049,-1.1770617591128145,195.86599884033203,9.972453558744006,215.81090595782004,175.921091722844,2896466.4,177.50999450683594,207.8999938964844,-0.8150001525878849
6836,2024-12-30,189.0,189.0,176.07000732421875,177.50999450683594,3604939,0.0,0.0,190.6481997680664,195.26763878142066,11.984004428368223,189.4412424216278,192.45047368527221,-3.009231263644409,-0.6265443624960056,196.6809989929199,9.431879140545895,215.54475727401172,177.8172407118281,3018954.15,177.50999450683594,207.8999938964844,-1.1925003051757983
6835,2024-12-27,186.1100006103516,190.5,186.0399932861328,188.4600067138672,1756966,0.0,0.0,190.9747998046875,195.99244058854654,25.192972571395728,191.61056022431725,193.64571201954712,-2.035151795229865,-0.030872637208904596,197.8734992980957,8.322989853377244,214.5194790048502,181.2275195913412,3118474.3,183.67999267578125,207.8999938964844,-0.5239997863769474
6834,2024-12-26,187.0,187.9900054931641,185.30999755859372,186.1100006103516,1108476,0.0,0.0,191.09439971923828,196.2998868691457,22.711314821277497,192.18338813530818,194.0605684440015,-1.8771803086933119,0.4701971522963355,198.39749908447266,8.023659463991416,214.4448180124555,182.3501801564898,3332273.2,183.67999267578125,207.8999938964844,-0.7870002746581974
6833,2024-12-24,184.6000061035156,187.75,182.4600067138672,186.1199951171875,1346339,0.0,0.0,191.284599609375,196.71580059399443,21.968521026863726,193.287640412573,194.69661387069348,-1.408973458120471,1.0570415175437473,199.18449935913085,7.510529135492782,214.20555763011643,184.16344108814528,4143086.1,183.67999267578125,207.8999938964844,0.10550003051756107
6832,2024-12-23,188.0,188.32000732421875,183.0,183.72000122070312,1902194,0.0,0.0,191.5763998413086,197.14828245019064,16.727041974991124,194.59084864809765,195.38274337097397,-0.7918947228763216,1.6735452614598019,199.0789993286133,7.715720900597474,214.51044112980824,183.64755752741834,4160966.2,183.67999267578125,207.8999938964844,0.0330001831054858
6831,2024-12-20,192.0,193.44000244140625,182.6499938964844,183.67999267578125,2524738,0.0,0.0,191.90559967041017,197.6963755615983,29.6522776990669,196.5673663621694,196.31576274299564,0.25160361917374985,2.2899052575438326,199.0459991455078,7.785960529223231,214.61792020395427,183.47407808706134,4204165.55,183.05999755859372,207.8999938964844,0.1399993896484375
6830,2024-12-19,188.0,193.9499969482422,187.3000030517578,192.66000366210935,1591775,0.0,0.0,192.26419982910156,198.2684728222439,35.50965264114009,198.91052521423995,197.3266243483728,1.5839008658671503,2.7994806671363532,198.90599975585937,8.09580671846587,215.0976131927911,182.71438631892764,4167500.0,180.8800048828125,207.8999938964844,0.7290000915527344
6829,2024-12-18,199.3999938964844,199.3999938964844,191.5500030517578,192.94000244140625,2460449,0.0,0.0,192.4561996459961,198.49738993082082,40.671634001317166,200.04698367826373,197.69995400327386,2.3470296749898694,3.1033756174536533,198.17699966430663,9.260500559744552,216.69800078379575,179.65599854481752,4162367.9,178.0800018310547,207.8999938964844,0.5819999694824105
6828,2024-12-17,202.3999938964844,203.8000030517578,198.5,199.3500061035156,1582180,0.0,0.0,192.37419952392577,198.7242220732459,45.63851649931321,201.3391620849651,198.08075012822326,3.2584119567418384,3.292462103069599,197.59499969482422,9.947263408864442,217.4895265125531,177.70047287709534,4130147.95,178.0800018310547,207.8999938964844,0.9995002746582031
6827,2024-12-16,201.83999633789065,204.97999572753903,200.9600067138672,201.47000122070312,1461187,0.0,0.0,192.43179931640626,198.69867986792875,69.67103514645237,201.70082680886497,197.97920965019986,3.7216171586651114,3.300974639651539,196.59549942016602,10.734764148897616,218.06502771796124,175.1259711223708,4154165.05,178.0800018310547,207.8999938964844,1.0555000305175781
6826,2024-12-13,201.00999450683597,203.0,198.0,201.83999633789065,2346018,0.0,0.0,192.4253991699219,198.58556471067263,70.88523392854842,201.7427950976217,197.6999463245596,4.042848773062104,3.1958140098981453,195.53999938964844,11.255448067557783,218.050895524764,173.02910325453288,4162678.0,178.0800018310547,207.8999938964844,1.127500152587885
