,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5474,2024-07-22,6486.14990234375,6499.75,6259.2001953125,6385.0498046875,9051,0.0,0.0,5892.93197265625,5931.956967912893,62.742744140581,6272.7136091791745,6125.016272112533,147.697337066641,126.27395572894645,6173.824951171875,159.1825293267789,6492.190009825433,5855.459892518317,12819.05,6047.2998046875,6634.5,13.487500000000182
5473,2024-07-19,6630.0,6630.0,6389.7998046875,6486.14990234375,12189,0.0,0.0,5869.65498046875,5913.463382738419,70.20910209102091,6252.288846359479,6104.213589506537,148.0752568529424,120.91811039452281,6160.337451171875,151.59042396465045,6463.518299101176,5857.1566032425735,12615.45,6047.2998046875,6634.5,15.972485351562682
5472,2024-07-18,6330.0,6999.0,6316.85009765625,6634.5,118967,0.0,0.0,5845.493984375,5890.088422754527,74.56370287554772,6209.768654362339,6073.65868447956,136.1099698827784,114.12882377991791,6144.364965820312,130.86710847391075,6406.099182768134,5882.630748872491,12599.1,6047.2998046875,6634.5,26.997509765624272
5471,2024-07-16,6239.89990234375,6359.89990234375,6056.0498046875,6316.85009765625,12380,0.0,0.0,5819.076982421875,5859.704276744507,60.51366762235398,6132.544773337309,6028.791379237925,103.75339409938442,108.63353725420278,6117.367456054688,62.014297758700344,6241.396051572088,5993.3388605372875,7234.65,6047.2998046875,6316.85009765625,3.5775146484375
5470,2024-07-15,6110.0,6177.0,6084.5,6166.2001953125,2723,0.0,0.0,5799.1459765625,5841.045263646069,59.35486944335169,6099.034714370229,6005.746681764459,93.28803260577024,109.85357304290736,6113.78994140625,50.98352608480759,6215.756993575866,6011.822889236635,8301.15,6047.2998046875,6245.2998046875,12.557519531250364
5469,2024-07-12,6164.89990234375,6180.0,6078.7001953125,6100.7998046875,5380,0.0,0.0,5781.63796875,5827.7736337821325,50.355289440045546,6086.822808744362,5992.9104006806165,93.91240806374572,113.99495815219163,6101.232421875,66.08768497497577,6233.407791824951,5969.057051925049,9038.0,5915.0498046875,6245.2998046875,20.207495117187136
5468,2024-07-11,6131.0498046875,6198.0,6073.2001953125,6149.89990234375,2919,0.0,0.0,5765.928974609375,5816.629708439056,52.937192388774996,6084.2815367547,5984.279248360066,100.00228839463398,119.0155956743031,6081.024926757813,112.03947395921229,6305.103874676238,5856.945978839388,9200.85,5696.64990234375,6245.2998046875,18.487500000000182
5467,2024-07-10,6074.9501953125,6170.2998046875,6013.0498046875,6100.5,3862,0.0,0.0,5749.07998046875,5803.026843381722,44.399306657148905,6072.350924829419,5971.0295960413705,101.32132878804805,123.76892249422038,6062.537426757813,129.25908208044066,6321.055590918694,5804.019262596931,9329.45,5696.64990234375,6245.2998046875,13.710009765624818
5466,2024-07-09,6095.0,6119.9501953125,6011.64990234375,6062.85009765625,3176,0.0,0.0,5731.548984375,5790.885081887098,47.46605257508636,6067.232911162039,5960.671963724681,106.56094743735866,129.38082092076345,6048.827416992188,139.18145397174334,6327.190324935675,5770.464509048701,9507.25,5696.64990234375,6245.2998046875,13.497509765625182
5465,2024-07-08,6099.5498046875,6159.75,5917.0,6094.7998046875,3986,0.0,0.0,5716.293984375,5779.784468998561,39.889839981946146,6068.02978634491,5952.497713010155,115.53207333475439,135.08578929161465,6035.329907226563,150.38838617808713,6336.106679582737,5734.553134870388,9634.25,5696.64990234375,6245.2998046875,22.737500000000182
