,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
537,2025-01-22,412.2000122070313,412.2000122070313,394.0,398.4500122070313,7427,0.0,0.0,418.6590002441407,422.6525983844567,32.34339313551335,412.9862610626831,418.1405199117041,-5.154258849020948,-3.8481569001154954,418.7250030517578,14.67395928987535,448.0729216315085,389.37708447200714,9075.95,392.75,438.2999877929688,-2.2949996948241846
536,2025-01-21,416.5,420.75,409.25,412.25,5138,0.0,0.0,418.91200012207037,423.6404590447598,36.78100908022755,415.6292154000744,419.7157605280779,-4.086545128003536,-3.5216314128891315,421.020002746582,14.92331556084296,450.8666338682679,391.1733716248961,9169.1,392.75,444.3500061035156,-1.089999389648483
535,2025-01-20,419.8500061035156,419.8999938964844,407.2999877929688,412.6000061035156,6213,0.0,0.0,418.8029998779298,424.10537574046424,36.53040705781416,416.2436182000879,420.3130213703242,-4.069403170236285,-3.38040298411053,422.1100021362305,15.04468290055499,452.19936793734047,392.0206363351205,9546.9,392.75,444.3500061035156,-1.6024993896484148
534,2025-01-17,429.4500122070313,430.2000122070313,414.0,416.3500061035156,5639,0.0,0.0,418.9039996337891,424.5749826644213,47.28537922951801,416.9060931267374,420.9300625916689,-4.023969464931497,-3.208152937579091,423.7125015258789,15.672232075134087,455.05696567614706,392.36803737561075,10514.5,392.75,444.6499938964844,-1.0524993896484602
533,2025-01-16,435.75,438.0,422.0499877929688,427.6000061035156,9698,0.0,0.0,418.5969995117188,424.91069599343786,45.736084774243814,417.00719985823224,421.2964671107212,-4.289267252488969,-3.004198805740989,424.76500091552737,15.857497505110663,456.4799959257487,393.050005905306,10868.4,392.75,444.6499938964844,-0.3550003051757358
532,2025-01-15,395.8500061035156,432.1000061035156,393.6499938964844,425.2000122070313,24644,0.0,0.0,418.05399963378915,424.8009282338428,48.922691880440205,415.08123508636254,420.79218399129763,-5.710948904935094,-2.6829316940539942,425.1200012207031,16.003109904969488,457.12622103064206,393.11378141076415,11218.45,392.75,444.6499938964844,-1.1599990844727017
531,2025-01-14,386.0,401.8999938964844,386.0,392.75,7161,0.0,0.0,417.98899963378915,424.78463909208,24.829257821211,413.24145742805916,420.43955773403894,-7.198100305979779,-1.925927391333719,426.2800003051758,16.828751565302984,459.93750343578176,392.62249717456984,12501.1,392.75,448.3999938964844,-2.1024993896484148
530,2025-01-13,402.8500061035156,404.5,383.5,394.25,12983,0.0,0.0,418.3729998779298,426.09217538155264,32.12039885080601,416.96717696043356,422.65472235276206,-5.687545392328502,-0.607884162672204,428.3824996948242,14.939967410562431,458.26243451594905,398.5025648736994,12729.95,394.25,448.3999938964844,-1.8300003051758722
529,2025-01-10,407.0,409.4500122070313,391.7999877929688,402.0,13829,0.0,0.0,418.53099975585945,427.3918560093711,31.318442322843623,421.0975727714215,424.92710014098304,-3.8295273695615606,0.6620311447418705,430.2125000000001,12.596852005384367,455.4062040107688,405.01879598923136,12601.5,402.0,448.3999938964844,-1.655000305175804
528,2025-01-09,414.1000061035156,417.4500122070313,403.3500061035156,405.1000061035156,4499,0.0,0.0,418.60599975585944,428.4282582954679,36.34827086816972,424.5698587298617,426.7612681522617,-2.1914094223999996,1.7849207733177281,431.8675003051759,10.731397534742397,453.3302953746607,410.4047052356911,12630.2,405.1000061035156,448.3999938964844,-2.2349990844726335
527,2025-01-08,422.7000122070313,422.7000122070313,411.0,413.6499938964844,5121,0.0,0.0,418.62899963378914,429.3804318543231,40.64027490521091,428.1098319346519,428.4941691161614,-0.38433718150952245,2.77900332224716,434.10249938964853,9.440299703752993,452.9830987971545,415.22189998214253,13425.15,413.6499938964844,449.7999877929688,-1.3999999999999773
526,2025-01-07,424.9500122070313,428.6000061035156,415.25,418.9500122070313,12765,0.0,0.0,418.23599975585944,430.0224905464798,37.815475765092565,430.7388933961369,429.68170313373554,1.0571902624013774,3.56983844818633,435.5024993896485,8.248526515367548,451.9995524203836,419.0054463589134,13765.05,418.9500122070313,449.7999877929688,-1.3000000000000114
525,2025-01-06,433.5,435.5499877929688,420.0,422.7000122070313,6951,0.0,0.0,418.3299993896485,430.4744284378859,45.37108641684738,432.8823263396107,430.54023840787187,2.3420879317388312,4.198000494632568,436.8024993896485,7.519085436840439,451.8406702633294,421.76432851596763,14188.0,422.2000122070313,449.7999877929688,-0.7499999999999432
524,2025-01-03,447.0,447.0,428.5499877929688,433.5,8019,0.0,0.0,418.2269989013672,430.7917515493493,51.06984056190809,434.73365618189786,431.1674565039391,3.566199677958764,4.661978635356002,437.55249938964846,6.746818567393146,451.04613652443476,424.05886225486216,14809.6,422.2000122070313,449.7999877929688,0.842500305175804
