,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
1840,2025-01-13,115.25,116.36000061035156,104.83000183105467,106.06999969482422,279463,0.0,0.0,127.71319946289063,126.1650679581679,22.652017907063154,123.94958620739577,126.31113095522868,-2.361544747832909,0.2016281623276368,129.4044994354248,7.759887487129413,144.92427440968365,113.88472446116599,171355.35,106.06999969482422,140.25,-0.6270000457763558
1839,2025-01-10,126.29000091552734,126.3000030517578,113.66000366210938,116.4800033569336,329553,0.0,0.0,127.87759948730469,126.98527482605947,24.878443208696112,127.20042011877241,127.93042145606103,-0.7300013372886127,0.8424213898677732,130.03149948120117,6.105480575238146,142.24246063167746,117.82053833072487,160943.35,116.4800033569336,140.25,-0.2259998321533203
1838,2025-01-09,126.0199966430664,127.6999969482422,125.5500030517578,126.29000091552734,68710,0.0,0.0,127.78639938354492,127.41406141663603,34.761653746270156,129.1495868027431,128.84645490399123,0.30313189875187163,1.2355270716568696,130.2574993133545,5.643647501151549,141.54479431565758,118.97020431105139,145982.45,118.61000061035156,140.25,0.17449989318848225
1837,2025-01-08,128.0,128.0,125.5,126.33000183105467,70134,0.0,0.0,127.52839935302734,127.45994143708944,36.801961384906186,129.66951150950962,129.05097122306836,0.6185402864412595,1.468625864883119,130.082999420166,5.823855604450677,141.73071062906735,118.43528821126465,148583.25,118.61000061035156,140.25,0.06700019836424076
1836,2025-01-07,125.1500015258789,129.5,124.30999755859376,127.38999938964844,80037,0.0,0.0,127.24299926757813,127.50606142100922,46.32817890268983,130.2766950874105,129.26864877442944,1.0080463129810653,1.6811472594935837,130.01599922180176,5.876771765744145,141.76954275329007,118.26245569031347,153505.65,118.61000061035156,140.25,-0.007500076293950997
1835,2025-01-06,131.60000610351562,134.8000030517578,123.01000213623048,126.86000061035156,194696,0.0,0.0,126.98219924926758,127.51079864677904,52.248934982810184,130.80154885063996,129.4189407252119,1.3826081254280496,1.849422496121713,130.02349929809571,5.873338729590378,141.77017675727646,118.27682183891496,157796.7,118.61000061035156,140.25,-0.1644996643066179
1834,2025-01-03,134.17999267578125,135.97999572753906,130.41000366210938,131.5500030517578,97900,0.0,0.0,126.77879928588867,127.53736183193934,62.249159278243155,131.51819398523787,129.62365593440074,1.8945380508371272,1.9661260887951286,130.18799896240233,5.825954283533134,141.8399075294686,118.53609039533606,153023.5,118.61000061035156,140.25,0.19750022888183594
1833,2025-01-02,134.0,136.0,132.13999938964844,134.17999267578125,137329,0.0,0.0,126.52939926147461,127.37358055766101,62.53328249002215,131.51241051859787,129.46954816501218,2.04286235358569,1.9840230982846287,129.9904987335205,5.844276046032237,141.67905082558497,118.30194664145603,149308.5,118.61000061035156,140.25,0.45399971008299644
1832,2025-01-01,130.72999572753906,134.0,129.75,132.39999389648438,85750,0.0,0.0,126.27619934082031,127.0957678181459,59.125470817987534,131.02739558092816,129.09271260415068,1.9346829767774807,1.9693132844593633,129.5364990234375,5.854366369157535,141.24523176175256,117.82776628512244,144498.7,118.61000061035156,140.25,0.4874996185302791
1831,2024-12-31,136.0,136.0,128.1199951171875,130.22999572753906,128500,0.0,0.0,126.10819946289062,126.87926879454025,54.97909599891548,130.77783225082703,128.82813010076399,1.9497021500630467,1.9779708613798337,129.04899940490722,6.00731849031138,141.06363638552997,117.03436242428447,142107.55,118.61000061035156,140.25,0.49899978637694176
