,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5551,2024-11-08,397.7999877929688,397.7999877929688,380.1000061035156,384.3999938964844,148771,0.0,0.0,387.7959979248047,387.3553111920439,53.79870619868607,374.5112965921786,375.48604464841935,-0.9747480562407418,-8.783371778079465,367.0949981689454,31.045083813859314,429.185165796664,305.00483054122674,211952.3,316.75,412.7000122070313,-0.9824996948241846
5550,2024-11-07,401.8999938964844,410.3999938964844,394.1000061035156,397.7999877929688,320359,0.0,0.0,388.6409979248047,387.475936387781,52.2318943337825,372.7133516277594,374.77292870857417,-2.0595770808147904,-10.735527708539145,368.07749786376957,31.920171496667372,431.9178408571043,304.23715487043484,215569.8,316.75,412.7000122070313,-0.5124999999999886
5549,2024-11-06,415.1000061035156,415.1000061035156,382.5499877929688,412.7000122070313,1350583,0.0,0.0,389.477998046875,387.05454653450806,56.160379736185966,368.1521450522667,372.9307639818226,-4.7786189295559325,-12.904515365470232,368.58999786376955,32.499530391510106,433.5890586467898,303.5909370807493,212335.7,316.75,412.7000122070313,1.2025009155273665
5548,2024-11-05,390.0,395.3500061035156,386.3999938964844,395.3500061035156,180336,0.0,0.0,390.11199768066405,386.0077928335888,47.50679982130294,360.0525328423095,369.74922412380596,-9.696691281496442,-14.935989474448807,367.3874969482422,31.20050602165384,429.78850899154986,304.9864849049345,149168.75,316.75,408.0499877929688,0.7574996948242188
5547,2024-11-04,371.0,376.5499877929688,369.9500122070313,376.5499877929688,82252,0.0,0.0,391.0299975585938,385.62647800624484,42.861838089792364,353.6348104311811,367.7011615654292,-14.066351134248066,-16.245814022686897,366.62999725341797,30.66520611667288,427.96040948676375,305.2995850200722,147356.3,316.75,408.0499877929688,0.7224990844726449
5546,2024-11-01,342.0,358.8500061035156,339.70001220703125,358.6499938964844,120839,0.0,0.0,392.5359979248047,385.9969469945418,38.7301544243276,349.4684145472197,366.993255467226,-17.524840920006284,-16.790679744796606,365.9074981689453,30.58931441081887,427.08612699058307,304.7288693473076,147955.85,316.75,408.0499877929688,-1.125
5545,2024-10-31,341.79998779296875,352.25,335.54998779296875,341.79998779296875,320666,0.0,0.0,394.6619982910156,387.1131491618094,27.502706546799203,347.7990364837171,367.6607163928853,-19.86167990916823,-16.607139450994183,367.0324981689453,30.72181358929638,428.4761253475381,305.5888709903526,145458.25,316.75,408.0499877929688,-2.2650009155273096
5544,2024-10-30,322.1499938964844,335.5,320.0,335.5,66363,0.0,0.0,397.39299865722654,388.9626659523743,23.337010546678542,348.88977260930767,369.72957468087867,-20.839802071571,-15.79350433645067,369.29749908447263,30.43213976770172,430.1617786198761,308.4332195490692,135473.15,316.75,408.0499877929688,-2.9925003051757812
5543,2024-10-29,318.29998779296875,326.0,311.20001220703125,319.54998779296875,123938,0.0,0.0,399.79499877929686,391.1448155830834,25.23296730461911,351.32427672009084,372.46794065534897,-21.143663935258132,-14.531929902670587,372.2899993896484,29.871257530011214,432.0325144496708,312.547484329626,139261.75,316.75,408.0499877929688,-3.8575012207031705
5542,2024-10-28,320.70001220703125,328.3999938964844,313.0,316.75,229026,0.0,0.0,402.08299926757815,394.0670534520677,28.14329031506594,357.10142016138576,376.7013768843394,-19.599956722953664,-12.8789963945237,376.1475006103516,27.596988862472774,431.34147833529715,320.953522885406,136303.25,316.75,408.0499877929688,-3.6774993896484034
