,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
4299,2024-11-08,741.0,741.0,703.0,709.5499877929688,40862,0.0,0.0,771.5039990234375,754.6662142359698,38.68494204354881,721.0966364998135,737.520606306068,-16.42396980625449,-19.26360147248333,730.2899993896484,35.08267007172491,800.4553395330983,660.1246592461986,34820.05,682.9500122070312,787.2000122070312,-3.467501831054733
4298,2024-11-07,735.0,756.0,730.0,739.1500244140625,56576,0.0,0.0,773.2079992675781,756.5076928662965,40.69909800447402,723.1960271737852,739.758255787116,-16.56222861333083,-19.973509389040537,733.7575012207031,36.329918162905756,806.4173375465147,661.0976648948916,34379.7,682.9500122070312,787.2000122070312,-1.8549987792968068
4297,2024-11-06,708.5999755859375,741.7999877929688,706.2000122070312,733.0499877929688,48072,0.0,0.0,774.8929992675781,757.2161691296529,37.7261547213319,720.2953004028257,739.8069142969603,-19.511613894134598,-20.82632958296796,735.6125,37.54653874119637,810.7055774823928,660.5194225176072,34754.9,682.9500122070312,787.2000122070312,-1.652499389648483
4296,2024-11-05,697.25,713.8499755859375,690.0,705.8499755859375,19032,0.0,0.0,776.9119995117187,758.2025438780889,27.558603030240775,717.9762663318907,740.3474684172796,-22.371202085388973,-21.1550085051763,737.2649993896484,38.15026624144893,813.5655318725463,660.9644669067505,35549.35,682.9500122070312,787.2000122070312,-3.622500610351608
4295,2024-11-04,718.2000122070312,718.2000122070312,692.75,703.0499877929688,24313,0.0,0.0,779.51,760.3393834002176,29.44653142507434,720.1810464675185,743.107267843787,-22.926221376268472,-20.850960110123133,740.8875,38.44882436831731,817.7851487366347,663.9898512633654,37318.6,682.9500122070312,787.2000122070312,-1.9825012207030568
4294,2024-11-01,716.9500122070312,750.0,703.5999755859375,722.3499755859375,16401,0.0,0.0,780.6430004882812,762.6777260780644,32.43562227495839,723.2957844083458,746.3118502478524,-23.01606583950661,-20.3321447935868,742.8700012207031,37.403160195426665,817.6763216115564,668.0636808298498,40963.15,682.9500122070312,787.2000122070312,-3.3374999999999773
4293,2024-10-31,714.7999877929688,728.0,706.5,713.9000244140625,28955,0.0,0.0,780.4890014648438,764.3237567103961,30.097985130300486,723.4677496487836,748.2288002208055,-24.761050572021873,-19.661164532106845,746.2075012207031,38.439489297944654,823.0864798165924,669.3285226248138,44592.55,682.9500122070312,789.0999755859375,-4.004998779296898
4292,2024-10-30,686.5,719.6500244140625,682.25,714.7999877929688,29013,0.0,0.0,780.6340014648438,766.3818682326954,31.384437654136306,725.2073360550967,750.975102285345,-25.7677662302483,-18.386193022128086,750.2125,39.06394352432645,828.3403870486529,672.084612951347,48451.65,682.9500122070312,794.0,-5.727499389648415
4291,2024-10-29,691.0,698.5,677.4500122070312,684.7999877929688,19004,0.0,0.0,780.6580017089843,768.4872511077863,22.004162324781547,727.0995811936655,753.869111444735,-26.76953025106957,-16.540799720098033,755.9399993896484,41.893631613695895,839.7272626170402,672.1527361622566,51834.25,682.9500122070312,829.3499755859375,-7.945001220703148
4290,2024-10-28,685.0,695.9500122070312,668.0499877929688,691.6500244140625,25029,0.0,0.0,781.2780017089843,771.9030577736971,21.22221848340213,734.7904163574285,759.3946413368764,-24.60422497944785,-13.983617087355146,763.8850006103515,42.750751755587565,849.3865041215266,678.3834970991765,68214.05,682.9500122070312,843.7000122070312,-8.12249755859375
4289,2024-10-25,707.4000244140625,711.0,675.4500122070312,682.9500122070312,40836,0.0,0.0,781.5690014648437,775.178691788376,33.16427857472564,742.6341239834951,764.8142106907014,-22.18008670720633,-11.32846511433197,772.0074981689453,43.725374621289475,859.4582474115242,684.5567489263664,83359.45,682.9500122070312,854.0999755859375,-7.329998779296943
4288,2024-10-24,717.0,729.5,690.9500122070312,703.9000244140625,30140,0.0,0.0,781.8850012207031,778.9431276896554,29.00445024146336,753.4857806701249,771.3633465693949,-17.877565899270053,-8.615559716113378,779.3374969482422,40.15206882908428,859.6416346064108,699.0333592900737,88713.55,703.9000244140625,854.0999755859375,-6.3649993896483466
4287,2024-10-23,720.4500122070312,730.5999755859375,701.0,716.7999877929688,42698,0.0,0.0,781.9300012207032,782.0061114968224,30.19497733182223,762.5013727166818,776.7604123418216,-14.259039625139849,-6.300058170324208,785.7024963378906,37.57114505621919,860.8447864503289,710.5602062254522,115964.0,716.7999877929688,854.0999755859375,-4.7024993896484375
4286,2024-10-22,761.9000244140625,761.9000244140625,712.9500122070312,716.8499755859375,55044,0.0,0.0,781.7360009765625,784.6675859337143,25.564734099445374,770.8107154300842,781.5572463057299,-10.746530875645703,-4.310312806620297,790.404995727539,34.23048648456452,858.865968696668,721.94402275841,136362.8,716.8499755859375,854.0999755859375,-4.207501220703193
4285,2024-10-21,780.5499877929688,786.5499877929688,749.0,758.25,34563,0.0,0.0,781.687001953125,787.435651662195,28.968748150393694,780.621759038111,786.7338279633134,-6.112068925202379,-2.7012582893639454,794.6124969482422,29.567629607470792,853.7477561631838,735.4772377333006,136762.7,742.7000122070312,854.0999755859375,-1.8600006103515625
4284,2024-10-18,784.0999755859375,784.9000244140625,760.0499877929688,777.2000122070312,31942,0.0,0.0,781.017001953125,788.6269027504478,30.241534196461032,784.6893515904948,789.0125342003785,-4.323182609883702,-1.848555630404337,796.4724975585938,28.302806159530153,853.0781098776541,739.8668852395334,139540.55,742.7000122070312,854.0999755859375,-1.2100006103515852
4283,2024-10-17,787.2999877929688,802.1500244140625,778.0999755859375,783.25,38844,0.0,0.0,779.7850012207032,789.0933064460975,39.13656033872645,786.0510496602154,789.9575359598463,-3.906486299630842,-1.2298988855344954,797.6824981689454,27.95061217041592,853.5837225097772,741.7812738281135,143344.05,742.7000122070312,854.0999755859375,-1.8850006103515398
4282,2024-10-16,779.5499877929688,790.0,778.2999877929688,787.2000122070312,28781,0.0,0.0,779.7820007324219,789.3318087500197,39.56356977984497,786.5603314166183,790.494138836634,-3.9338074200156825,-0.5607520320104088,799.5674987792969,28.19622348118213,855.9599457416612,743.1750518169326,164989.05,742.7000122070312,854.0999755859375,-0.814999389648392
4281,2024-10-15,783.0,808.4500122070312,775.2999877929688,779.5499877929688,65227,0.0,0.0,779.7640002441407,789.4188208538152,42.99776750663945,786.4440258183613,790.7576689670021,-4.3136431486408355,0.2825118149909096,800.3824981689453,28.05515124390353,856.4928006567524,744.2721956811382,175327.8,742.7000122070312,854.0999755859375,-0.16250000000002274
4280,2024-10-14,778.9000244140625,786.9000244140625,775.0,781.7000122070312,21069,0.0,0.0,780.6120007324218,789.8216303665029,45.82612742777749,787.6974872775236,791.6542834609248,-3.956796183401252,1.4315505558988457,800.5449981689453,27.937299885169455,856.4195979392842,744.6703983986064,173949.1,742.7000122070312,854.0999755859375,-0.2975006103515625
4279,2024-10-11,777.0,790.0,771.2999877929688,778.9000244140625,32055,0.0,0.0,781.1780004882812,790.1531249852567,46.46292222068297,788.7879372903404,792.4506251612363,-3.6626878708958657,2.77863724072387,800.8424987792969,27.75715980899068,856.3568183972782,745.3281791613156,176793.35,742.7000122070312,854.0999755859375,-0.68499755859375
4278,2024-10-10,769.9500122070312,801.0,769.9500122070312,776.25,64080,0.0,0.0,781.8480004882813,790.6124352126524,44.69967873254741,790.5857396314819,793.5346732210103,-2.9489335895283375,4.388968518628804,801.5274963378906,27.35326504786245,856.2340264336156,746.8209662421657,179643.2,742.7000122070312,854.0999755859375,-1.3924987792968295
4277,2024-10-09,780.0,792.0,756.0,766.0999755859375,63961,0.0,0.0,782.2880004882812,791.1986570580667,38.8809963987644,793.1922377462969,794.9174470786911,-1.725209332394229,6.223444045668089,802.9199951171875,26.69979877526819,856.3195926677238,749.5203975666511,222093.45,742.7000122070312,854.0999755859375,-0.590002441406341
4276,2024-10-08,742.0,783.5,735.0,778.2999877929688,54417,0.0,0.0,781.9490014648437,792.2230930365209,44.99801193517334,798.118103593635,797.2228447981114,0.8952587955236595,8.210607390183668,803.5099975585938,25.963566453015385,855.4371304646246,751.582864652563,220111.95,742.7000122070312,854.0999755859375,0.3774993896485057
4275,2024-10-07,792.9000244140625,796.9000244140625,726.0499877929688,742.7000122070312,97204,0.0,0.0,781.3880017089843,792.7913830464618,41.54008953883176,801.7213973755743,798.7366733585228,2.9847240170514624,10.03944453884867,803.1324981689453,26.40060965017286,855.933717469291,750.3312788685996,218623.75,742.7000122070312,854.0999755859375,-1.842498779296875
4274,2024-10-04,797.7000122070312,813.4500122070312,776.2000122070312,789.0999755859375,88989,0.0,0.0,781.5990014648437,794.83592879501,50.37092622883756,812.4525583153093,803.2196062506421,9.232952064667188,11.803124669297972,804.9749969482422,23.03202005581432,851.0390370598708,758.9109568366135,215574.15,770.75,854.0999755859375,-0.2375000000000682
4273,2024-10-03,817.9000244140625,828.3499755859375,790.5,794.0,106137,0.0,0.0,780.987001953125,795.0700493341558,50.358062509990404,816.6984824479224,804.3491767038184,12.349305744103958,12.445667820455666,805.2124969482422,22.88371827676354,850.9799335017693,759.4450603947151,212867.4,770.75,854.0999755859375,-0.2624999999999318
4272,2024-10-01,843.9000244140625,850.0999755859375,826.0499877929688,829.3499755859375,96665,0.0,0.0,779.8510021972656,795.1137248171825,57.35508197164329,820.8254792566355,805.177110840124,15.648368416511516,12.469758339543592,805.4749969482422,22.778198069158872,851.0313930865599,759.9186008099244,209120.4,770.75,854.0999755859375,1.3574981689453125
4271,2024-09-30,853.9000244140625,878.5,840.0999755859375,843.7000122070312,346600,0.0,0.0,778.1940026855468,793.7163268266211,67.9291579507215,819.275570833126,803.2432816604589,16.032289172667106,11.67510582030161,804.1174987792969,22.078728430216422,848.2749556397297,759.960041918864,206584.25,770.75,854.0999755859375,1.4149993896484148
4270,2024-09-27,830.0,861.7999877929688,817.0499877929688,854.0999755859375,327937,0.0,0.0,776.1190026855469,791.6761764029309,73.12065896974688,814.8347633105979,800.0067432167331,14.82802009386478,10.585809982210236,802.7024993896484,20.238590395575656,843.1796801807998,762.2253185984971,193883.95,770.75,854.0999755859375,1.8574981689453125
4269,2024-09-26,839.9000244140625,848.75,824.5499877929688,829.5499877929688,147918,0.0,0.0,774.2680029296876,789.128266232196,65.19756838905775,807.6956338059907,795.6792846271967,12.01634917879403,9.5252574542966,800.8450012207031,16.66179897404525,834.1685991687937,767.5214032726126,184004.65,770.75,831.2000122070312,1.7399993896484602
4268,2024-09-25,811.0,863.7999877929688,811.0,831.2000122070312,575149,0.0,0.0,773.0140026855469,787.478400046042,60.541926147962485,803.7221148992675,792.9696283739349,10.752486525332529,8.902484523172241,799.1050018310547,15.264882615828048,829.6347670627108,768.5752365993985,180307.6,770.75,831.2000122070312,0.3899993896484375
4267,2024-09-24,801.9000244140625,854.9000244140625,791.0,810.8499755859375,450674,0.0,0.0,771.5030029296875,785.6938444476342,53.57582585633629,798.7261335705832,789.9111976672873,8.814935903295918,8.439984022632169,798.7150024414062,14.481263075584481,827.6775285925752,769.7524762902373,155223.45,770.75,823.4000244140625,-1.157501220703125
4266,2024-09-23,799.8499755859375,813.9000244140625,797.0999755859375,801.0,63042,0.0,0.0,770.56400390625,784.6670635848462,49.61364703755451,796.5217986587006,788.2360954337953,8.285703224905319,8.346246052466231,799.8725036621094,16.311781217064866,832.4960660962391,767.2489412279796,144487.7,770.75,834.0,-1.7375000000000682
4265,2024-09-20,808.7999877929688,820.9000244140625,792.6500244140625,795.4500122070312,90120,0.0,0.0,769.7770043945312,784.0004131189216,43.878487047400654,795.7075802330098,787.2149830684989,8.492597164510926,8.361381759356458,801.6100036621094,18.1817654366559,837.9735345354212,765.2464727887976,211504.3,770.75,835.75,1.7875000000000227
4264,2024-09-19,826.0,834.7999877929688,790.5499877929688,801.4000244140625,108012,0.0,0.0,769.09400390625,783.5330825438967,45.09618764106321,795.7544107831877,786.5561807374163,9.198230045771425,8.32857790806784,799.8225036621094,20.43674973838202,840.6960031388735,758.9490041853453,221796.45,759.7000122070312,835.75,4.337499999999977
4263,2024-09-18,804.9000244140625,848.0,794.4500122070312,820.9500122070312,471744,0.0,0.0,768.20400390625,782.8038196104205,58.12655403939493,794.727935577574,785.3686732432845,9.359262334289497,8.111164873641943,795.4850036621094,27.92012911112107,851.3252618843516,739.6447454398673,218580.05,714.6500244140625,835.75,4.98999938964846
4262,2024-09-17,787.5,823.4000244140625,764.5999755859375,803.5,235556,0.0,0.0,767.9150036621094,781.2468321574976,44.228532019732334,789.9602852813092,782.5221661261847,7.438119155124468,7.799140508480054,790.495004272461,31.7807945840617,854.0565934405844,726.9334151043375,197740.6,714.6500244140625,835.75,4.375
4261,2024-09-16,792.0,797.7999877929688,779.0,782.7999877929688,37653,0.0,0.0,768.1800036621094,780.3385395924975,34.226735656831224,787.4985189688199,780.8439394162796,6.654579552540326,7.8893958468189505,786.120004272461,35.67980589926298,857.4796160709869,714.760392473935,187496.25,714.6500244140625,835.75,3.3500000000000227
