,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
4834,2025-01-23,590.0,602.2999877929688,586.9500122070312,599.5999755859375,595504,0.0,0.0,581.5619995117188,586.3802770103347,47.83112303343509,590.7927412310389,589.6881136324199,1.104627598619004,1.5899734331614082,593.2774993896485,13.127474626121218,619.5324486418909,567.022550137406,1197869.3,568.0,616.0999755859375,0.33249816894533524
4833,2025-01-22,588.2000122070312,592.75,574.8499755859375,590.25,867802,0.0,0.0,581.0159997558594,585.8406974766366,42.549740098568265,589.1914258937846,588.8951646761385,0.29626121764613345,1.7113098917970089,592.9450012207031,13.042851748804916,619.030704718313,566.8592977230933,1363921.85,568.0,616.0999755859375,-0.3299987792968295
4832,2025-01-21,599.8499755859375,604.7000122070312,587.7000122070312,589.2999877929688,1124246,0.0,0.0,580.9009997558594,585.6607259450708,46.964000653360614,588.9989578744728,588.7867778502297,0.2121800242431391,2.0650720603347277,593.275,13.054564562496838,619.3841291249937,567.1658708750062,1472390.85,568.0,616.0999755859375,0.12999877929689774
4831,2025-01-20,580.0,599.2000122070312,572.8499755859375,597.75,1470276,0.0,0.0,580.5569995117188,585.5121846451565,52.09535479977116,588.9442251620189,588.7457210548106,0.19850410720835043,2.528295069357625,593.1450012207031,13.10906317900316,619.3631275787094,566.9268748626968,1476462.5,568.0,616.0999755859375,0.2674987792968295
4830,2025-01-17,579.4500122070312,587.5499877929688,573.6500244140625,579.2000122070312,621515,0.0,0.0,580.1309997558594,585.0126819776118,48.12655891398962,587.3431751914769,588.0253787391954,-0.6822035477184727,3.1107428098949432,592.8775024414062,13.064659191352085,619.0068208241104,566.7481840587021,1600070.05,568.0,616.0999755859375,-1.0424987792969205
4829,2025-01-16,580.0,582.6500244140625,572.0,579.4500122070312,1160398,0.0,0.0,579.555,585.2499338049824,47.3770602522957,588.823750279558,588.7314080617684,0.09234221778956453,4.0589793992982965,593.9200012207032,12.743741103293523,619.4074834272902,568.4325190141161,1693225.85,568.0,616.0999755859375,-0.8674987792968523
4828,2025-01-15,585.8499755859375,587.9500122070312,566.0,573.2000122070312,1586138,0.0,0.0,578.965,585.4866652987764,41.96173237704022,590.5280662927447,589.4739197301475,1.054146562597225,5.05063869467548,594.7875,12.289315999137978,619.3661319982759,570.2088680017241,1727691.1,568.0,616.0999755859375,-0.8274993896484375
4827,2025-01-14,569.7000122070312,592.7999877929688,568.7999877929688,583.75,2927415,0.0,0.0,578.905,585.9881613433374,44.36316916848144,593.6786215810562,590.7758323319968,2.902789249059424,6.049761727695043,595.6149993896485,11.274517469071956,618.1640343277924,573.0659644515046,1757809.5,568.0,616.0999755859375,-0.017498779296829525
4826,2025-01-13,584.0,596.3499755859375,564.7999877929688,568.0,1340468,0.0,0.0,578.6219995117187,586.0795148675553,41.5460907350556,595.4838255048846,591.3378989185564,4.145926586328187,6.836504847353948,595.6324981689453,11.255388364750596,618.1432748984465,573.1217214394441,1642726.4,568.0,616.0999755859375,-0.839999389648483
4825,2025-01-10,606.0,609.2999877929688,585.5999755859375,593.5999755859375,1009605,0.0,0.0,578.3579992675782,586.8174542499045,50.66149582847138,600.4808846875909,593.204930832041,7.275953855549915,7.5091494126103875,596.4724975585938,9.588007652332612,615.648512863259,577.2964822539285,1787667.15,583.7000122070312,616.0999755859375,0.21499938964848297
4824,2025-01-09,609.9000244140625,616.75,604.4500122070312,606.0,707847,0.0,0.0,577.6190002441406,586.5406166443521,53.46133115940125,601.7319590697097,593.1733272517292,8.558631817980427,7.567448301875506,596.2574981689453,9.70332808664986,615.664154342245,576.8508419956456,1832967.9,583.7000122070312,616.0999755859375,1.035000610351517
4823,2025-01-08,619.0,619.7000122070312,600.75,608.4000244140625,808605,0.0,0.0,576.5559997558594,585.7463560992236,56.68206847911614,600.9559516278387,592.1471934318675,8.808758195971109,7.319652422849275,595.2224975585938,9.713428333007952,614.6493542246096,575.7956408925779,1903057.0,583.7000122070312,616.0999755859375,1.280001831054733
4822,2025-01-07,610.0,621.0999755859375,609.5499877929688,616.0999755859375,1201813,0.0,0.0,575.1799987792969,584.821716576169,65.29311827743683,599.6024838485253,590.8469669532919,8.755516895233313,6.947375979568816,593.942495727539,9.571246827235703,613.0849893820105,574.8000020730676,1923819.15,582.7999877929688,616.0999755859375,1.7999999999999545
4821,2025-01-06,605.2000122070312,619.4500122070312,605.2000122070312,607.9000244140625,2628570,0.0,0.0,573.9979992675782,583.5450529431172,64.23450390596481,596.6029398962685,588.8267262626804,7.7762136335881,6.495340750652691,592.1424957275391,8.51137938268779,609.1652544929146,575.1197369621635,1945303.4,580.0999755859375,608.5999755859375,1.6125000000000682
4820,2025-01-03,613.0,613.0999755859375,599.25,605.2000122070312,763713,0.0,0.0,573.1539990234374,582.5509724749154,62.500037399059934,594.5489245293968,587.3008624105698,7.248062118826965,6.175122529918838,590.529995727539,8.423422156307373,607.3768400401538,573.6831514149243,2011634.25,575.6500244140625,608.5999755859375,1.912499999999909
4819,2025-01-02,599.0,609.9000244140625,595.5999755859375,608.5999755859375,1987419,0.0,0.0,572.1639990234376,581.6265218736046,61.668690104099404,592.6123631334633,585.8689304268529,6.743432706610406,5.906887632691805,588.6174957275391,9.221770266068752,607.0610362596766,570.1739551954016,2376994.95,566.9500122070312,608.5999755859375,3.277499389648483
4818,2025-01-01,589.0,599.7999877929688,587.8499755859375,597.4000244140625,622617,0.0,0.0,571.8079992675781,580.5255645792237,58.013275763526174,589.7055245057408,584.0504468141262,5.655077691614565,5.697751364212155,585.3399963378906,12.728000882959435,610.7959981038096,559.8839945719717,2626554.35,543.0499877929688,600.0499877929688,3.1625000000000227
4817,2024-12-31,582.2999877929688,594.4500122070312,579.0,592.2999877929688,553085,0.0,0.0,571.8049987792969,579.8368111165771,56.51578376278475,588.3065245224095,582.9824806061314,5.324043916278129,5.708419782361553,582.1774963378906,16.78498537449768,615.747467086886,548.6075255888952,3577730.35,534.1500244140625,600.0499877929688,-0.13750000000004547
4816,2024-12-30,588.0,591.3499755859375,576.75,583.7000122070312,907832,0.0,0.0,571.8479992675781,579.3281100277447,52.68659694076942,587.5804402913988,582.2370800311844,5.343360260214354,5.804513748882409,582.3149963378906,16.883247730131554,616.0814917981537,548.5485008776276,3657014.0,534.1500244140625,600.0499877929688,-0.029998779296875
4815,2024-12-27,590.0,595.4000244140625,582.0,585.8499755859375,1072518,0.0,0.0,572.3549987792969,579.1496650408351,57.35927990769854,588.2859726703747,582.1200454571167,6.165927213257987,5.919802121049422,582.3449951171875,16.88637094165873,616.117737000505,548.57225323387,3699137.9,534.1500244140625,600.0499877929688,0.10999755859381821
4814,2024-12-26,596.5,596.7999877929688,583.25,592.9500122070312,3916555,0.0,0.0,572.6309997558594,578.8761829777698,68.33570931730061,588.7288812311815,581.8216510468111,6.907230184370405,5.85827084799728,582.2349975585937,16.86949469203615,615.973986942666,548.4960081745214,3754016.55,534.1500244140625,600.0499877929688,0.5
4813,2024-12-24,586.3499755859375,607.9000244140625,585.0999755859375,596.8499755859375,3037182,0.0,0.0,572.9479992675781,578.3017409684122,79.59296450357718,587.9614028719361,580.9313821539935,7.030020717942648,5.596031013903998,581.7349975585937,16.682352603179396,615.0997027649526,548.3702923522349,3854951.0,534.1500244140625,600.0499877929688,0.0774993896484375
4812,2024-12-23,593.9000244140625,598.0,580.5999755859375,586.7000122070312,1205679,0.0,0.0,573.0879992675781,577.5446701676968,79.30842680373769,586.3452987421177,579.657894679438,6.687404062679775,5.237533587894335,581.6574981689453,16.61189040756018,614.8812789840656,548.4337173538249,3848602.85,534.1500244140625,600.0499877929688,0.5825012207030795
4811,2024-12-20,602.5,612.5,590.0,592.4000244140625,3942427,0.0,0.0,572.9219995117187,577.1709827375199,49.08527271585748,586.2808053848607,579.0945252772304,7.186280107630296,4.8750659691979745,581.0749969482422,16.63001289274579,614.3350227337338,547.8149711627506,3948542.75,534.1500244140625,600.0499877929688,1.6450012207030795
4810,2024-12-19,590.0,601.5499877929688,582.2999877929688,600.0499877929688,2484631,0.0,0.0,572.5469995117187,576.5493891997019,55.32274592700036,585.168220106824,578.0300853462838,7.138134760540197,4.297262434589895,579.4299957275391,17.072127042481124,613.5742498125013,545.2857416425769,3803210.45,534.1500244140625,600.0499877929688,2.7600006103516534
4809,2024-12-18,590.5,598.5,585.75,596.7999877929688,1849703,0.0,0.0,571.6759997558594,575.5901810938542,54.52355387326767,582.4624441638887,576.268493150549,6.1939510133396425,3.587044353102318,576.6699951171875,17.999904336251678,612.6698037896908,540.6701864446841,3745826.8,534.1500244140625,596.7999877929688,2.2074981689452216
