,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
751,2025-02-18,3808.550048828125,3808.550048828125,3522.35009765625,3629.5,103238,0.0,0.0,4389.497006835937,4100.126166233409,49.66571966693709,3779.3728781452373,3914.627550574763,-135.25467242952573,-191.11061466780495,3705.235009765625,214.1155998373721,4133.466209440369,3277.0038100908805,161812.35,3319.10009765625,4056.89990234375,-20.77500000000009
750,2025-02-17,3850.0,3917.449951171875,3730.199951171875,3808.550048828125,86359,0.0,0.0,4417.677006835937,4119.335397508242,56.818827456575214,3806.622492353462,3937.4377546207443,-130.81526226728238,-205.07460022737476,3726.010009765625,226.19702126632419,4178.404052298273,3273.615967232977,158541.65,3319.10009765625,4056.89990234375,-19.609997558593932
749,2025-02-14,4050.050048828125,4058.75,3705.0,3887.800048828125,118185,0.0,0.0,4440.70400390625,4132.0205137809,57.791023283364645,3806.2720275398865,3947.7487710841538,-141.47674354426726,-223.63943471739782,3745.620007324219,249.52701745499624,4244.674042234212,3246.5659724142265,157179.0,3319.10009765625,4200.75,-13.772497558593386
748,2025-02-13,3975.800048828125,4109.75,3975.800048828125,4046.89990234375,94307,0.0,0.0,4464.213002929688,4141.98869602387,54.00840635518417,3791.448750942025,3952.5446688646357,-161.09591792261062,-244.18010751068044,3759.3925048828123,264.91477568615045,4289.222056255113,3229.5629535105113,154200.85,3319.10009765625,4200.75,-6.985009765625364
747,2025-02-12,3651.300048828125,4130.0,3542.5,4056.89990234375,391408,0.0,0.0,4486.117006835938,4145.86987127612,52.777582266736054,3745.0030870508026,3944.996250186307,-199.99316313550435,-264.95115490769786,3766.3775146484377,274.5606006982622,4315.498716044962,3217.2563132519135,153209.45,3319.10009765625,4200.75,-6.302514648437409
746,2025-02-11,3578.199951171875,3679.0,3514.949951171875,3652.10009765625,203046,0.0,0.0,4507.072006835938,4149.501298579482,44.89136946596836,3688.2945751793577,3936.0439580137113,-247.74938283435358,-281.19065285074623,3772.680029296875,282.9005825341999,4338.481194365275,3206.8788642284753,136716.35,3319.10009765625,4200.75,-25.114990234375
745,2025-02-10,3404.949951171875,3693.0,3241.35009765625,3651.199951171875,435337,0.0,0.0,4536.8400048828125,4169.803388413084,42.39298213511776,3694.875389274468,3958.759466842308,-263.88407756784,-289.5509703548444,3797.79501953125,293.72179275460576,4385.238605040462,3210.3514340220386,130436.7,3319.10009765625,4200.75,-18.080004882812318
744,2025-02-07,3980.0,4045.0,3150.5,3383.85009765625,441627,0.0,0.0,4562.557001953125,4190.970875647418,33.50896384928416,3702.816378020394,3983.364228095943,-280.5478500755489,-295.9676935515955,3815.8750244140624,295.3478463265611,4406.570717067185,3225.17933176094,115996.55,3319.10009765625,4200.75,-45.114990234375
743,2025-02-06,3888.0,3976.0,3856.050048828125,3912.050048828125,118045,0.0,0.0,4593.56,4223.9145808715475,43.67604930015924,3760.810247177511,4031.3253585311186,-270.5151113536076,-299.82265442060714,3860.9900146484374,294.79540923903164,4450.580833126501,3271.399196170374,109982.45,3319.10009765625,4286.14990234375,-42.89000244140652
742,2025-02-05,3599.949951171875,3850.0,3549.39990234375,3821.85009765625,142762,0.0,0.0,4610.584995117188,4236.643745444748,40.49759020450698,3733.3121014228536,4040.867383307358,-307.55528188450444,-307.149540187357,3903.880017089844,358.19803476390973,4620.276086617663,3187.4839475620247,106410.45,3319.10009765625,4769.85009765625,-55.530004882812136
741,2025-02-04,3351.0,3580.0,3338.550048828125,3507.39990234375,135088,0.0,0.0,4628.996997070312,4253.574098415706,28.999955981973855,3717.2142839258727,4058.3887661594463,-341.1744822335736,-307.0481047630701,3959.410021972656,424.72076802646507,4808.851558025586,3109.968485919726,103580.1,3319.10009765625,4932.4501953125,-75.49750976562518
740,2025-02-03,3487.0,3487.0,3253.14990234375,3319.10009765625,134156,0.0,0.0,4657.198002929687,4284.030188051297,21.17071539749061,3755.3623533044406,4102.467875264702,-347.10552196026174,-298.51651039544424,4034.9075317382812,471.74332120567624,4978.394174149634,3091.420889326929,100468.9,3319.10009765625,5017.35009765625,-76.58999023437536
739,2025-01-31,3553.0,3644.0,3527.550048828125,3631.64990234375,66824,0.0,0.0,4685.198999023438,4323.4150897000745,35.0851076635589,3834.6827634222936,4165.137297473379,-330.4545340510849,-286.36925750423984,4111.497521972657,473.75522188808105,5059.007965748819,3163.9870781964946,97307.75,3447.800048828125,5017.35009765625,-73.53500976562464
738,2025-01-30,3700.64990234375,3747.550048828125,3500.0,3593.89990234375,70528,0.0,0.0,4705.4339990234375,4351.65040346972,27.1285573287999,3871.597829072938,4207.816289083748,-336.2184600108103,-275.3479383675285,4185.032531738281,508.23861628118954,5201.50976430066,3168.5552991759023,96216.3,3447.800048828125,5102.35009765625,-80.25749511718732
737,2025-01-29,3514.39990234375,3727.949951171875,3481.050048828125,3647.050048828125,146520,0.0,0.0,4726.738002929687,4382.578995352412,21.11991449615465,3922.0883612055177,4256.929600022948,-334.84123881743017,-260.13030795670807,4265.290026855469,535.9591139337185,5337.208254722906,3193.3717989880315,94939.4,3447.800048828125,5199.0498046875,-72.9599975585943
736,2025-01-28,3400.0,3549.85009765625,3200.0,3447.800048828125,227839,0.0,0.0,4745.26900390625,4412.600585006464,11.07877948776111,3972.095327092316,4305.719964118533,-333.62463702621744,-241.45257524152754,4338.250024414063,546.5836982898852,5431.417420993834,3245.0826278342925,89514.05,3447.800048828125,5199.0498046875,-78.00750732421875
735,2025-01-27,3700.050048828125,3801.0,3460.0,3482.550048828125,114999,0.0,0.0,4761.828999023437,4451.980198728029,10.79493373941115,4067.421741322169,4374.353557341766,-306.9318160195967,-218.40955979535508,4416.257531738282,523.6619430505642,5463.58141783941,3368.933645637153,80428.65,3482.550048828125,5199.0498046875,-76.82000732421875
734,2025-01-24,3931.85009765625,3944.0,3805.0,3823.800048828125,48899,0.0,0.0,4766.86599609375,4491.5487762749635,21.190966661649455,4173.762049048359,4445.697838022857,-271.9357889744979,-196.27899573929466,4493.0775390625,491.16495749596567,5475.407454054432,3510.747624070569,77376.9,3823.800048828125,5199.0498046875,-69.02750244140589
733,2025-01-23,3835.0,4050.0,3835.0,3898.699951171875,54268,0.0,0.0,4769.598994140625,4518.803826374834,19.281327195436177,4237.391503633856,4495.449661158435,-258.05815752457966,-177.36479743049387,4562.105041503906,489.1613481404124,5540.427737784731,3583.7823452230814,77874.1,3898.699951171875,5204.35009765625,-68.80250244140643
732,2025-01-22,4050.0,4100.0,3774.800048828125,3902.050048828125,102812,0.0,0.0,4771.993994140625,4544.114188628016,18.404394602096033,4298.97178589967,4543.18963795736,-244.21785205768992,-157.1914574069724,4630.907543945313,487.71100706980496,5606.329558084923,3655.4855298057028,80237.5,3902.050048828125,5274.75,-62.49998779296857
731,2025-01-21,4206.35009765625,4261.4501953125,4021.35009765625,4045.0,37824,0.0,0.0,4773.789995117188,4570.320888211684,23.499888924464486,4371.139374458133,4594.480805087699,-223.34143062956628,-135.43485874429302,4693.407531738281,469.1318712699905,5631.671274278262,3755.1437891983005,78195.55,4012.800048828125,5274.75,-48.899999999999636
730,2025-01-20,4183.0,4277.9501953125,4137.0,4200.75,59106,0.0,0.0,4774.161997070312,4591.762557118283,29.24828433741594,4430.437442541429,4638.439269494715,-208.00182695328567,-113.45821577297468,4742.307531738281,448.5053662827645,5639.31826430381,3845.296799172752,80972.9,4012.800048828125,5274.75,-40.019995117188046
