,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
1885,2024-11-08,160.50999450683594,168.52999877929688,155.75,160.47999572753906,207479,0.0,0.0,111.62339965820313,116.21094413342111,77.99684543942513,135.68348011783985,123.29442590576883,12.389054212071017,6.615899684060874,121.07700004577637,20.90995676231632,162.89691357040903,79.25708652114373,55190.7,94.5199966430664,160.50999450683594,2.0969997406005945
1884,2024-11-07,160.5,160.52000427246094,154.0,160.50999450683594,77024,0.0,0.0,110.44899978637696,114.40404406835508,73.50037110174085,131.17502273425816,120.31958032002721,10.85544241423095,5.172611052058339,118.98000030517578,18.74088084472175,156.46176199461928,81.49823861573228,49642.25,94.5199966430664,160.50999450683594,2.3869998931884737
1883,2024-11-06,152.8800048828125,152.8800048828125,152.8800048828125,152.8800048828125,18035,0.0,0.0,109.31599990844727,112.52216854025382,69.80961272524826,125.84139150288037,117.10434718508252,8.737044317797853,3.7519032115151854,116.5930004119873,16.01489444758248,148.62278930715226,84.56321151682235,47581.6,94.5199966430664,152.8800048828125,2.518000411987302
1882,2024-11-05,145.60000610351562,145.60000610351562,142.8000030517578,145.60000610351562,48614,0.0,0.0,108.40399978637696,110.87490991402693,65.03831367750558,120.92527997925636,114.24229456926412,6.682985409992241,2.5056179349445182,114.075,13.817525597846954,141.71005119569392,86.4399488043061,47127.1,94.5199966430664,145.60000610351562,2.145000457763672
1881,2024-11-04,136.0,138.6699981689453,134.7100067138672,138.6699981689453,139894,0.0,0.0,107.68259963989257,109.45755904914984,63.36720346486085,116.43896613848194,111.73367764652399,4.705288491957958,1.461276066182587,111.92999954223633,11.856822163722388,135.6436438696811,88.21635521479155,45168.85,94.5199966430664,138.6699981689453,2.003499984741211
1880,2024-11-01,127.3000030517578,132.07000732421875,126.0,132.07000732421875,45954,0.0,0.0,107.03099960327148,108.26521459528064,63.48174169618889,112.39696031476133,109.57877200473028,2.818188310031047,0.6502729597387441,109.92649955749512,10.396055838034316,130.71861123356376,89.13438788142649,39086.05,94.5199966430664,132.07000732421875,1.4740005493164148
1879,2024-10-31,118.88999938964844,125.79000091552734,118.88999938964844,125.79000091552734,187883,0.0,0.0,106.46979949951172,107.29359040226275,54.43642112611011,108.82004267667817,107.7794731791712,1.040569497506965,0.10829412216566828,108.4524990081787,9.10036827956815,126.65323556731501,90.2517624490424,37226.05,94.5199966430664,125.79000091552734,1.1700000762939453
1878,2024-10-30,114.36000061035156,114.36000061035156,110.0,114.36000061035156,30730,0.0,0.0,105.99359954833984,106.5386348711091,51.04536735303787,105.73459572416014,106.33863096026272,-0.6040352361025754,-0.12477472166965593,107.28249893188476,8.215211434375664,123.71292180063608,90.85207606313344,28483.95,94.5199966430664,120.4800033569336,0.5840000152587805
1877,2024-10-29,100.52999877929688,103.97000122070312,96.87000274658205,103.97000122070312,11128,0.0,0.0,105.7061994934082,106.21939545318082,50.95508125540155,104.16634029030715,105.69692138825562,-1.5305810979484704,-0.004959593061426071,106.69849891662598,8.099951665099931,122.89840224682584,90.49859558642612,27146.95,94.5199966430664,120.4800033569336,0.04000015258789347
1876,2024-10-28,98.94000244140624,98.94000244140624,92.5199966430664,94.5199966430664,18062,0.0,0.0,105.6427995300293,106.3112074626697,43.862545435478204,104.20203830296242,105.83507500165982,-1.6330366986973957,0.376445783160335,106.65849876403809,8.116094277706337,122.89068731945076,90.42631020862541,26788.0,94.5199966430664,120.4800033569336,-0.39550018310546875
