,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
7311,2025-02-12,330.0,330.29998779296875,318.6499938964844,323.95001220703125,3178845,0.0,0.0,377.97100219726565,366.1516395519332,35.315042840913776,340.00765212733313,352.8177938564844,-12.810141729151269,-12.279247008553014,347.4500030517578,13.405911230024525,374.2618255118068,320.63818059170876,6618242.4,323.95001220703125,370.1000061035156,-1.712500000000034
7310,2025-02-11,338.29998779296875,338.29998779296875,328.25,330.0,1562978,0.0,0.0,379.2450018310547,367.8741549537659,34.20275385081651,342.92722302193346,355.1272163884407,-12.199993366507215,-12.14652332840345,349.1625030517578,12.395480212720374,373.95346347719857,324.3715426263171,6712930.3,324.8999938964844,370.1000061035156,-1.662499999999966
7309,2025-02-10,343.0,344.0,335.04998779296875,338.29998779296875,1957224,0.0,0.0,380.33600158691405,369.4200388294298,34.304041183358805,345.27762720773956,357.1373936995159,-11.859766491776327,-12.133155818877507,350.8250030517578,11.910385972872207,374.6457749975022,327.0042311060134,6842916.15,324.8999938964844,370.1000061035156,-1.747500610351608
7308,2025-02-07,345.0,346.70001220703125,339.54998779296875,342.5,1712683,0.0,0.0,381.18900207519533,370.69024499418333,35.88688318404559,346.54628891951603,358.6443861720396,-12.098097252523587,-12.201503150652801,352.5725036621094,12.524119676312251,377.6207430147339,327.5242643094849,6914667.95,324.8999938964844,373.25,-1.094999694824196
7307,2025-02-06,348.6000061035156,349.1499938964844,340.6000061035156,343.1000061035156,3123836,0.0,0.0,382.0010021972656,371.8408672388439,41.88235294117647,347.2819778139735,359.93593706580276,-12.653959251829235,-12.227354625185104,353.6675033569336,12.55445320080527,378.7764097585441,328.5585969553231,7501014.5,324.8999938964844,373.25,-2.2675003051757585
7306,2025-02-05,342.1000061035156,349.6499938964844,340.1000061035156,342.8999938964844,7113783,0.0,0.0,382.7390020751953,373.01396361171436,42.55813953488372,348.042336306784,361.28281154278574,-13.240475236001714,-12.120703468524068,355.93500366210935,14.491361091280522,384.9177258446704,326.95228147954833,7520048.1,324.8999938964844,388.4500122070313,-2.094999694824253
7305,2025-02-04,328.5,334.8500061035156,327.1499938964844,333.70001220703125,7377189,0.0,0.0,383.4840020751953,374.24310523274414,37.62626262626263,348.97730765411126,362.75343695448987,-13.776129300378614,-11.840760526654655,358.0300033569336,15.501250771501072,389.03250489993576,327.02750181393145,7290637.3,324.8999938964844,388.4500122070313,-2.8824996948242188
7304,2025-02-03,330.0,333.29998779296875,318.70001220703125,324.8999938964844,26282943,0.0,0.0,384.402001953125,375.89792535624264,29.86875675031422,351.7549977353985,365.0777109342866,-13.322713198888096,-11.356918333223664,360.9125030517578,16.087891422470843,393.0882858966995,328.73672020681613,7103345.05,324.8999938964844,391.3500061035156,-3.065000915527321
7303,2025-02-01,358.25,358.8999938964844,333.1000061035156,344.8500061035156,7985220,0.0,0.0,385.4410021972656,377.97947357908987,33.35286745525845,356.6377257061102,368.29192829731073,-11.654202591200544,-10.865469616807557,363.97750396728514,14.63999110112394,393.257486169533,334.69752176503727,5948968.0,344.8500061035156,391.3500061035156,-2.2050003051758154
7302,2025-01-31,351.0,359.45001220703125,349.3999938964844,358.25,2019592,0.0,0.0,385.75800231933596,379.3316967413582,46.19195280450035,358.78094745203646,370.1672820728143,-11.386334620777859,-10.668286373209309,366.18250427246096,14.925749413818536,396.03400310009806,336.33100544482386,5800514.45,345.25,391.3500061035156,-2.7399993896484034
7301,2025-01-30,348.95001220703125,354.1000061035156,346.0,351.6000061035156,4412278,0.0,0.0,385.79500244140627,380.1921741593728,31.227708408020803,358.87748335240667,371.1206646386395,-12.243181286232812,-10.48877431131717,368.92250366210936,18.087894134395693,405.09829193090076,332.74671539331797,5901409.5,345.25,413.0499877929688,-3.055000305175838
7300,2025-01-29,350.8500061035156,352.25,343.70001220703125,345.25,3747258,0.0,0.0,386.0060021972656,381.3592014269588,29.282355822446206,360.2006610340232,372.6823173214494,-12.481656287426176,-10.050172567588259,371.9775039672852,20.06044440601009,412.0983927793054,331.856615155265,5800369.3,345.25,413.0499877929688,-3.3550003051757926
7299,2025-01-28,350.0,351.75,341.45001220703125,349.5,5097372,0.0,0.0,386.447001953125,382.83304638316116,28.593353944789897,362.9189630402092,374.8769027071653,-11.957939666956122,-9.44230163762878,375.332504272461,20.946631540567896,417.2257673535968,333.4392411913252,5722289.2,345.95001220703125,413.0499877929688,-2.9624999999999773
7298,2025-01-27,350.3999938964844,350.8999938964844,343.3500061035156,345.95001220703125,4454025,0.0,0.0,386.9050018310547,384.19357888859633,29.743339122507024,365.3587745020654,376.90705492373854,-11.548280421673155,-8.813392130296943,378.295004272461,21.287936667639762,420.8708776077405,335.71913093718143,5622580.3,345.95001220703125,413.0499877929688,-2.992498779296909
7297,2025-01-24,374.2000122070313,379.9500122070313,351.25,352.8500061035156,18088473,0.0,0.0,387.41400146484375,385.7545407939663,31.039921269812737,368.8876403738898,379.3836183410751,-10.495977967185297,-8.129670057452891,381.2875030517579,20.70033476923841,422.6881725902347,339.8868335132811,5742809.55,352.8500061035156,413.0499877929688,-2.8925003051757585
7296,2025-01-23,373.0,373.7999877929688,359.8500061035156,362.1000061035156,5143368,0.0,0.0,387.8680010986328,387.0975830262296,26.851443338392286,371.80357387759415,381.5063073200798,-9.70273344248568,-7.53809308001979,384.18000335693364,20.55883295048274,425.2976692578991,343.0623374559682,5010423.65,358.20001220703125,413.0499877929688,-2.8599990844726335
7295,2025-01-22,373.7999877929688,374.7000122070313,363.2000122070313,370.1000061035156,6676035,0.0,0.0,388.2450012207031,388.1178922883812,29.199214529944285,373.56785892742664,383.0588114174049,-9.49095248997827,-6.996932989403317,387.0400024414063,21.29114192661254,429.62228629463135,344.4577185881812,5063333.1,358.20001220703125,419.2999877929688,-2.1375000000000455
7294,2025-01-21,363.0,372.3999938964844,358.0,369.9500122070313,12344913,0.0,0.0,388.5040008544922,388.85331621429407,29.337236172429698,374.1983776226832,384.0955158425161,-9.897138219832868,-6.3734281142595774,389.1775024414063,21.643956801348782,432.4654160441039,345.88958883870873,5046241.5,358.20001220703125,419.2999877929688,-1.6824996948241733
7293,2025-01-20,360.0,363.3999938964844,353.3500061035156,360.3500061035156,6963879,0.0,0.0,389.0350006103516,389.6248796431619,24.948244907655905,374.97080769825635,385.22715613335487,-10.256348435098516,-5.492500587866255,390.8600021362305,21.37688444271094,433.6137710216524,348.1062332508086,4626578.1,358.20001220703125,419.2999877929688,-1.9574996948242642
7292,2025-01-17,358.3500061035156,363.2000122070313,355.20001220703125,358.8999938964844,3122954,0.0,0.0,389.6600006103516,390.81977244069844,26.095825189350478,377.6291352609365,387.21732813574204,-9.588192874805543,-4.301538626058189,392.81750183105476,20.19589091235129,433.20928365575736,352.42572000635215,4680183.65,358.20001220703125,419.2999877929688,-2.4249999999999545
7291,2025-01-16,364.0,365.5499877929688,357.3999938964844,358.20001220703125,5072603,0.0,0.0,389.9790008544922,392.1226205445439,24.340188200591342,381.0344336908369,389.4827148748826,-8.448281184045698,-2.979875063871351,395.2425018310547,18.77042104156514,432.78334391418497,357.70165974792445,4885363.1,358.20001220703125,419.2999877929688,-1.992498779296909
7290,2025-01-15,377.5,379.4500122070313,360.6000061035156,363.25,4162695,0.0,0.0,390.18500061035155,393.5072168032179,23.52386943728311,385.18614668789246,391.9853310883107,-6.799184400418255,-1.6127735338277642,397.2350006103516,16.623667857424657,430.48233632520095,363.9876648955023,4846079.4,363.25,419.2999877929688,-2.19250030517577
7289,2025-01-14,365.0,375.9500122070313,363.8500061035156,373.25,3392260,0.0,0.0,390.54000061035157,394.7422052441655,30.64516177147499,389.17453699478204,394.2841575753756,-5.109620580593571,-0.3161708171801413,399.4275009155274,14.683999961963943,428.79550083945526,370.0595009915995,4824712.5,364.3999938964844,419.2999877929688,-1.6925003051757699
7288,2025-01-13,376.5499877929688,376.5499877929688,360.1499938964844,364.3999938964844,13439614,0.0,0.0,390.69300048828126,395.6194381112743,30.91528356977767,392.06990735746973,395.96689018140563,-3.8969828239359003,0.8821916236732161,401.12000122070316,13.402850990491551,427.92570320168625,374.31429923972007,5023114.6,364.3999938964844,419.2999877929688,-2.532499694824253
7287,2025-01-10,387.5499877929688,392.7999877929688,379.5499877929688,388.4500122070313,3504508,0.0,0.0,390.95800048828124,396.8937011404494,43.32327021572888,397.1008007140125,398.4922418841993,-1.3914411701867948,2.076985235575495,403.6525009155274,10.589235777604449,424.8309724707363,382.4740293603185,4706477.95,384.7999877929688,419.2999877929688,-1.162499999999966
7286,2025-01-09,393.0,393.0,383.4500122070313,384.7999877929688,2525567,0.0,0.0,390.9590002441406,397.2383415050787,37.01148618903719,398.67367135164545,399.2956202583727,-0.6219489067272548,2.944091837016068,404.8150009155274,10.09722479531465,425.00945050615667,384.6205513248981,4772898.2,384.7999877929688,419.2999877929688,-1.2650009155273665
7285,2025-01-08,386.5,394.7000122070313,381.7000122070313,391.3500061035156,3631344,0.0,0.0,390.92900024414064,397.7460294116954,46.26949617085771,401.1961592714048,400.455270855605,0.7408884157997591,3.8356020229518983,406.08000183105474,8.980830479680543,424.04166279041584,388.11834087169365,5085778.2,386.2000122070313,419.2999877929688,-0.6774993896484034
7284,2025-01-07,391.8999938964844,397.6000061035156,385.1499938964844,386.2000122070313,3195402,0.0,0.0,390.55,398.0070915875395,38.84738634968334,402.9863689382937,401.1836920357722,1.8026769025215117,4.609280424739933,406.75750122070315,8.296132713890781,423.3497666484847,390.1652357929216,5237320.85,386.2000122070313,419.2999877929688,-0.6750000000000114
7283,2025-01-06,413.0499877929688,414.0,388.0,388.9500122070313,5016149,0.0,0.0,390.9209997558594,398.48901319490716,40.021991451049914,406.0384337985233,402.3823864220715,3.656047376451795,5.310931305294538,407.43250122070316,6.980332667212649,421.39316655512846,393.47183588627786,5315714.75,388.9500122070313,419.2999877929688,-0.5124999999999886
7282,2025-01-03,413.5,417.1000061035156,407.7000122070313,413.0499877929688,4037493,0.0,0.0,391.09899963378905,398.8783601740041,48.66310138610209,409.1454195424309,403.4569763592747,5.68844318315621,5.724652287505224,407.94500122070315,5.834084012232295,419.61316924516774,396.27683319623856,5470304.45,398.0499877929688,419.2999877929688,1.0625
7281,2025-01-02,412.25,415.7999877929688,404.5,412.7000122070313,2391474,0.0,0.0,390.88,398.2999263936382,50.64267362268813,408.4354980423331,402.6895354445792,5.74596259775393,5.733704563592477,406.88250122070315,6.722768205890797,420.3280376324847,393.4369648089216,5447602.7,391.7999877929688,419.2999877929688,1.2525009155273779
7280,2025-01-01,410.0,414.0,404.7000122070313,412.3500061035156,2185656,0.0,0.0,390.9289996337891,397.71216778900987,51.42315012488854,407.6601318305698,401.88869730358306,5.771434526986752,5.730640055052113,405.63000030517577,7.825018472097584,421.28003724937093,389.9799633609806,5501852.05,387.6499938964844,419.2999877929688,1.3900009155273096
7279,2024-12-31,405.7999877929688,410.6000061035156,402.6499938964844,408.75,3103194,0.0,0.0,391.3139996337891,397.1147050006627,52.38686075318069,406.80742741730694,401.0517925995885,5.75563481771843,5.720441437068453,404.23999938964846,8.955897105631195,422.1517936009109,386.32820517838604,5658450.75,384.5499877929688,419.2999877929688,1.3899993896484375
7278,2024-12-30,409.0,410.3999938964844,400.8999938964844,405.7999877929688,6858610,0.0,0.0,391.8059997558594,396.6397950006898,53.67911838395916,406.4542324022718,400.4359360075556,6.018296394716231,5.711643091905958,402.85,10.278734300955174,423.40746860191035,382.2925313980897,5621069.3,380.9500122070313,419.2999877929688,1.1349990844726676
7277,2024-12-27,420.3999938964844,420.3999938964844,409.1000061035156,410.7000122070313,3440755,0.0,0.0,392.3829998779297,396.26590958059677,57.32484645953055,406.57318596759967,400.0068118647225,6.566374102877148,5.634979766203389,401.71500091552736,11.15203679829601,424.01907451211935,379.41092731893536,5497380.3,380.9500122070313,419.2999877929688,1.5350006103515739
7276,2024-12-26,412.8500061035156,421.5,408.7999877929688,419.2999877929688,6201557,0.0,0.0,392.62699951171874,395.67676253461985,67.78784239504202,405.8228539240666,399.15135583733786,6.671498086728718,5.402131182034949,400.1800003051758,11.935521662221214,424.0510436296182,376.30895698073334,5597139.2,380.0,419.2999877929688,1.9574996948242074
7275,2024-12-24,404.0,417.9500122070313,401.6000061035156,412.8500061035156,6334203,0.0,0.0,392.3579998779297,394.71254925876883,66.80000813802084,403.3724659479025,397.5394652808874,5.833000667015142,5.084789455861506,398.2225006103516,11.844759009193977,421.91201862873953,374.5329825919636,5592367.75,380.0,415.0499877929688,1.6625000000000227
7274,2024-12-23,400.0499877929688,411.4500122070313,399.2999877929688,403.6000061035156,3951645,0.0,0.0,392.01099975585936,393.97224489775874,63.834434728956474,401.6492768287001,396.31462201507713,5.33465481362299,4.897736653073096,396.56000061035155,12.015830048723453,420.59166070779844,372.52834051290466,5454372.55,379.6000061035156,415.0499877929688,1.3374999999999773
7273,2024-12-20,409.0,413.5,397.9500122070313,399.5,8035990,0.0,0.0,391.78899963378905,393.5792750526258,63.56985692675597,401.29459877873364,395.731791288002,5.562807490731643,4.788507112935622,395.2225006103516,12.662350626857297,420.54720186406615,369.897799356637,5737525.1,376.8500061035156,415.0499877929688,1.9399993896484489
7272,2024-12-19,392.0,411.0,388.8500061035156,407.3999938964844,7226543,0.0,0.0,391.69599975585936,393.3376128098758,69.40894350638338,401.62088946577614,395.43033459104214,6.190554874734005,4.594932018486616,393.2825012207031,14.769457454390832,422.82141612948476,363.7435863119215,5464324.35,360.7000122070313,415.0499877929688,2.3649993896484602
7271,2024-12-18,406.0,409.0,396.9500122070313,398.0499877929688,4286929,0.0,0.0,391.3529998779297,392.7636380716469,66.01596771363404,400.5701432056474,394.4727618466068,6.097381359040639,4.196026304424768,390.91750183105466,16.1155540051003,423.1486098412553,358.68639382085405,5323185.85,360.1000061035156,415.0499877929688,1.7949996948241846
7270,2024-12-17,408.0,409.7999877929688,404.6000061035156,407.1000061035156,3735357,0.0,0.0,391.265,392.5478686952664,78.3983561009493,401.0283532806799,394.1865837708978,6.841769509782068,3.7206875407707996,389.1225021362305,17.239439506725663,423.6013811496818,354.64362312277916,5255497.85,360.1000061035156,415.0499877929688,1.9900009155273324
7269,2024-12-16,414.8999938964844,419.0,400.2999877929688,407.1000061035156,7360302,0.0,0.0,391.26099975585936,391.9539039030929,78.64586975844034,399.9244164038007,393.1535099842884,6.7709064195123005,2.940417048517982,387.13250122070315,17.351773193336882,421.83604760737694,352.42895483402935,5319271.15,360.1000061035156,415.0499877929688,1.7350006103515625
7268,2024-12-13,411.7000122070313,418.0499877929688,409.4500122070313,415.0499877929688,7106881,0.0,0.0,391.4199993896484,391.3356956500144,94.6261913810574,398.6197637311253,392.0377902947502,6.581973436375108,1.9827947057694022,385.3975006103516,16.98100735428858,419.35951531892874,351.4354859017744,5241749.9,360.1000061035156,415.0499877929688,2.18249969482423
7267,2024-12-12,410.0,414.0,406.0499877929688,411.7000122070313,4832913,0.0,0.0,392.0169995117187,390.3677653584652,95.86332949119061,395.6324502653356,390.19681449489275,5.435635770442843,0.8330000231179756,383.21500091552736,15.728170677403087,414.6713422703335,351.7586595607212,5103750.6,360.1000061035156,411.7000122070313,1.807501220703159
