,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
7315,2025-02-12,2325.699951171875,2339.89990234375,2305.10009765625,2332.5,1341802,0.0,0.0,2380.6660107421876,2407.466730760208,45.10719227770001,2374.666158391997,2383.9679515325915,-9.301793140594327,0.09090452776441826,2381.925012207031,50.04356094459552,2482.0121340962223,2281.83789031784,1790674.85,2315.25,2506.050048828125,-0.625
7314,2025-02-11,2371.0,2377.949951171875,2296.550048828125,2315.25,1389260,0.0,0.0,2383.3060107421875,2410.5265973218493,49.17929202715087,2382.3327326450876,2388.0853876551987,-5.752655010111084,2.4390789448541046,2382.550012207031,49.46855143640991,2481.487115079851,2283.6129093342115,1861714.55,2315.25,2506.050048828125,-2.887500000000273
7313,2025-02-10,2370.89990234375,2398.0,2352.050048828125,2361.449951171875,1326354,0.0,0.0,2386.6580126953127,2414.4154380288633,52.51358362137023,2394.5295931260125,2393.9122186676145,0.6173744583979897,4.487012433595401,2385.4375122070314,46.955058024840646,2479.3476282567126,2291.5273961573503,1853009.05,2321.699951171875,2506.050048828125,-0.3249999999998181
7312,2025-02-07,2380.0,2381.949951171875,2336.10009765625,2363.85009765625,855602,0.0,0.0,2389.01201171875,2416.577294635271,53.172134094488094,2400.54407348131,2396.509200067274,4.034873414036156,5.454421927394755,2385.7625122070312,46.80253660171916,2479.3675854104695,2292.157439003593,1889328.4,2321.699951171875,2506.050048828125,-4.357495117187682
7311,2025-02-06,2400.0,2408.949951171875,2360.300048828125,2372.699951171875,1132113,0.0,0.0,2391.6580078125,2418.72942512421,53.77850652382767,2407.215705449503,2399.121928260156,8.093777189346838,5.809309055734404,2390.120007324219,48.67458638913711,2487.4691801024933,2292.7708345459446,1976298.95,2321.699951171875,2506.050048828125,-3.467504882812136
7310,2025-02-05,2453.0,2453.0,2387.0,2391.050048828125,1357416,0.0,0.0,2393.4480078125,2420.608179163081,55.22788388466735,2413.4912971363447,2401.2356864272183,12.255610709126358,5.238192022331295,2393.587512207031,49.82489913102487,2493.237310469081,2293.937713944981,2002288.85,2321.699951171875,2506.050048828125,-2.217492675781614
7309,2025-02-04,2450.0,2450.0,2402.85009765625,2438.050048828125,1992474,0.0,0.0,2395.3650048828126,2421.8146334624666,64.70680390285011,2417.5715241014755,2402.0505374351455,15.520986666329918,3.4838373506325286,2395.8050048828127,50.68550227064473,2497.176009424102,2294.434000341523,2055681.4,2321.699951171875,2506.050048828125,1.8525024414066138
7308,2025-02-03,2505.0,2520.0,2416.5,2441.949951171875,2528480,0.0,0.0,2396.1880029296876,2421.151963447542,60.12628317981191,2413.8481559693573,2399.1705765237075,14.677579445649826,0.4745500217081813,2393.952502441406,49.728257136339614,2493.4090167140853,2294.495988168727,2003725.25,2321.699951171875,2506.050048828125,2.5574951171875
7307,2025-02-01,2475.0,2602.0,2435.14990234375,2506.050048828125,2970999,0.0,0.0,2396.7780029296873,2420.303065989406,74.53800745434734,2408.7387386598084,2395.7482265518543,12.990512107954146,-3.0762073342772296,2391.3950073242186,48.42816647376354,2488.2513402717454,2294.5386743766917,1923439.65,2321.699951171875,2506.050048828125,6.492504882812227
7306,2025-01-31,2401.5,2479.0,2401.5,2468.800048828125,2116148,0.0,0.0,2395.562001953125,2416.803189138846,52.72005270803968,2391.04577317466,2386.924080769753,4.121692404907208,-7.092887194835073,2384.9025024414063,40.26394341574611,2465.4303892728985,2304.374615609914,1819910.65,2321.699951171875,2468.800048828125,3.12750244140625
7305,2025-01-30,2384.0,2425.0,2384.0,2408.75,1419960,0.0,0.0,2393.842001953125,2414.680868335202,43.96957486336188,2376.9086321467576,2380.3740033250833,-3.4653711783257677,-9.896532094770642,2381.775,35.55855776796995,2452.89211553594,2310.6578844640603,1777815.2,2321.699951171875,2451.0,1.9375
7304,2025-01-29,2385.14990234375,2396.0,2364.0,2383.949951171875,699576,0.0,0.0,2393.87400390625,2414.9229445937813,40.02716349680332,2371.119292537077,2378.10392359109,-6.98463105401288,-11.504322323881858,2379.8375,35.063649985060906,2449.964799970122,2309.7102000298783,1789354.4,2321.699951171875,2451.0,3.092492675781159
7303,2025-01-28,2401.0,2407.0,2379.449951171875,2388.85009765625,1892156,0.0,0.0,2394.6530029296873,2416.18714840692,47.8866073946234,2368.786445512568,2377.636241384627,-8.849795872058621,-12.634245141349101,2376.745007324219,37.335714953710045,2451.416437231639,2302.073577416799,1782370.25,2321.699951171875,2451.0,3.100000000000364
7302,2025-01-27,2365.0,2409.699951171875,2361.14990234375,2392.85009765625,2477358,0.0,0.0,2394.66,2417.302946396743,50.349063137319774,2365.138508759171,2376.7391328828967,-11.600624123725538,-13.58035745867172,2373.6450073242186,38.82208094548371,2451.289169215186,2296.000845433251,1781700.55,2321.699951171875,2451.0,2.467504882812136
7301,2025-01-24,2332.85009765625,2380.800048828125,2323.0,2368.10009765625,1688664,0.0,0.0,2396.1019970703123,2418.3010218555387,48.5714556366295,2360.100038050611,2375.4502557010287,-15.350217650417562,-14.075290792408264,2371.1775024414064,39.10447529563855,2449.3864530326837,2292.968551850129,1704041.65,2321.699951171875,2451.0,1.342504882812591
7300,2025-01-23,2315.0,2341.300048828125,2253.85009765625,2321.699951171875,3408925,0.0,0.0,2397.9699951171874,2420.3500391697953,34.17555634148414,2358.645481758677,2376.038268344611,-17.392786585934118,-13.756559077905937,2369.834997558594,39.67246053276865,2449.179918624131,2290.4900764930567,1647449.25,2321.699951171875,2451.0,-0.5525024414059772
