,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
4372,2025-02-18,578.5,588.5499877929688,568.0499877929688,571.0999755859375,22268,0.0,0.0,649.9090014648438,644.4577981962597,30.885592473729687,586.6229263289553,607.8483535282268,-21.225427199271508,-19.82473340202828,597.9299987792969,29.19235001955218,656.3146988184012,539.5452987401925,43465.8,557.6500244140625,645.8499755859375,-1.1800018310547102
4371,2025-02-17,546.5999755859375,584.4000244140625,542.5499877929688,578.5,33939,0.0,0.0,653.9340014648437,647.4519950374972,49.41875456291708,589.445281009504,610.7882237636098,-21.34294275410582,-19.47455995271747,599.1100006103516,28.519990473804313,656.1499815579602,542.0700196627429,46391.15,557.6500244140625,645.8499755859375,-2.0825012207030795
4370,2025-02-14,561.4000244140625,574.4500122070312,546.9500122070312,558.1500244140625,25912,0.0,0.0,657.4540014648437,650.2663621818848,43.60099583107804,591.4353321021412,613.3712816646986,-21.935949562557425,-19.00746425237038,601.1925018310546,28.456413138720475,658.1053281084955,544.2796755536137,46060.0,557.6500244140625,645.8499755859375,-3.3199981689454034
4369,2025-02-13,557.6500244140625,579.7999877929688,557.6500244140625,566.4000244140625,43526,0.0,0.0,661.1410009765625,654.0262127030203,45.22456519845784,597.4872062272464,617.7889822447495,-20.30177601750313,-18.275342924823615,604.5125,27.006871500983493,658.526243001967,550.4987569980331,46330.65,557.6500244140625,645.8499755859375,-2.752499389648392
4368,2025-02-12,579.0,579.0,547.2000122070312,557.6500244140625,60147,0.0,0.0,664.8390002441406,657.6027918168553,40.273054131710914,603.1394211023706,621.9000988712044,-18.760677768833716,-17.768734651653734,607.2649993896484,25.691330222896525,658.6476598354415,555.8823389438554,45484.35,557.6500244140625,645.8499755859375,-2.3274993896484375
4367,2025-02-11,594.0499877929688,598.8499755859375,550.0,573.5499877929688,130279,0.0,0.0,668.5009997558594,661.6824966088061,50.07004760364002,611.4102205002449,627.0401048277756,-15.629884327530704,-17.520748872358737,609.5924987792969,22.918904929568896,655.4303086384347,563.7546889201591,43513.0,573.2999877929688,645.8499755859375,-1.6350006103515398
4366,2025-02-10,622.75,624.25,581.25,601.9500122070312,46739,0.0,0.0,672.1559997558594,665.2797418665954,52.11431814023164,618.2938991742951,631.3193141905601,-13.025415016265015,-17.993465008565746,611.2274993896484,21.323193475914977,653.8738863414784,568.5811124378184,38131.0,573.2999877929688,645.8499755859375,0.30249938964846024
4365,2025-02-07,623.0,624.6500244140625,608.6500244140625,618.7999877929688,17403,0.0,0.0,675.1359997558594,667.8646287914755,49.62509419679919,621.2655149865249,633.6688583492426,-12.403343362717692,-19.235477506640926,610.925,21.50388290922998,653.9327658184599,567.91723418154,44246.95,573.2999877929688,645.8499755859375,-0.49250183105471024
4364,2025-02-06,633.0,639.0,615.6500244140625,620.2000122070312,29927,0.0,0.0,677.64,669.8672671995778,48.811807040264185,621.7137926580805,634.8583679937444,-13.144575335663944,-20.94351104262173,611.4175018310547,21.804432818232474,655.0263674675197,567.8086361945897,45034.7,573.2999877929688,645.8499755859375,-1.7100006103515852
4363,2025-02-05,626.7999877929688,639.8499755859375,619.5999755859375,628.9000244140625,31490,0.0,0.0,680.0340002441407,671.8945020972327,52.09918616357695,621.9890254673621,636.0310364566815,-14.042010989319351,-22.89324496936117,613.1275024414062,23.780924727845974,660.6893518970982,565.5656529857143,46777.0,573.2999877929688,654.4000244140625,-1.6424987792968295
4362,2025-02-04,635.5,645.4500122070312,621.0,626.7999877929688,45783,0.0,0.0,682.2640002441407,673.6493787373621,55.867076440997124,620.7324802043256,636.601517420091,-15.869037215765388,-25.106053464371623,614.7700012207031,25.962051265134278,666.6941037509716,562.8458986904345,46373.5,573.2999877929688,661.75,-2.2100006103515852
