,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
1935,2025-01-22,111.1500015258789,113.0,105.62000274658205,107.62000274658205,31732,0.0,0.0,128.39940032958984,126.99661829861282,31.587588837407765,115.30481190438397,121.28028887271553,-5.975476968331563,-5.41975456537687,120.29400062561035,9.614649978060813,139.52330058173197,101.06470066948873,39812.65,103.16999816894533,133.89999389648438,-1.24799995422363
1934,2025-01-21,122.0,122.0,111.6999969482422,113.33000183105467,20158,0.0,0.0,129.03940017700197,127.78750056604264,33.65125507231612,116.70204993307522,122.3731117628062,-5.671061829730988,-5.280823964638196,121.54200057983398,9.502226651739639,140.54645388331326,102.5375472763547,39069.15,103.16999816894533,133.89999389648438,-0.8010002136230554
1933,2025-01-20,114.25,121.1500015258789,113.9800033569336,119.0500030517578,33424,0.0,0.0,129.62220016479492,128.37760255522582,41.02816705425687,117.31514958798803,123.09656055734632,-5.781410969358291,-5.183264498364998,122.34300079345704,9.448614254963797,141.24022930338464,103.44577228352944,41102.85,103.16999816894533,133.89999389648438,-0.7114997863769474
1932,2025-01-17,115.51000213623048,116.0,109.91999816894533,114.25,17428,0.0,0.0,130.148800201416,128.75832090230614,37.64929289749061,116.99972168548443,123.42028515779342,-6.420563472308984,-5.033727880616674,123.05450057983398,9.719484953156657,142.4934704861473,103.61553067352067,41325.3,103.16999816894533,133.89999389648438,-1.2944999694824162
1931,2025-01-16,111.0,116.8000030517578,108.0,113.51000213623048,28990,0.0,0.0,130.71440017700195,129.35049726566558,40.096460521592796,117.49967108284524,124.1539079704169,-6.654236887571656,-4.687018982693595,124.3490005493164,10.197470798498095,144.74394214631258,103.95405895232021,42221.55,103.16999816894533,140.13999938964844,-1.5259998321533317
1930,2025-01-15,111.0,111.0,105.0,106.83000183105467,29972,0.0,0.0,131.2390002441406,129.99704808727518,31.445066226254824,118.2250654367752,125.00542043715181,-6.780355000376616,-4.19521450647408,125.87500038146973,10.758262670380574,147.39152572223088,104.35847504070858,45502.3,103.16999816894533,144.02999877929688,-1.733999633789054
1929,2025-01-14,104.5,111.38999938964844,104.5,108.79000091552734,33188,0.0,0.0,131.84240020751952,130.94264181201888,29.718669823878713,120.29689518326983,126.45945392563958,-6.162558742369754,-3.548929382998445,127.60900001525879,10.312664862933515,148.2343297411258,106.98367028939175,47078.9,103.16999816894533,144.02999877929688,-1.7140003204345788
1928,2025-01-13,106.0,110.75,101.87000274658205,103.16999816894533,63696,0.0,0.0,132.416600189209,131.84683123636546,26.733015916497052,122.38905777740482,127.87301016644857,-5.4839523890437505,-2.895522043155618,129.32300033569337,9.859011781511068,149.0410238987155,109.60497677267122,47486.2,103.16999816894533,144.02999877929688,-1.8135002136230298
1927,2025-01-10,118.7300033569336,119.5,111.5,112.08999633789062,58157,0.0,0.0,133.0932002258301,133.01731421870912,29.334886890890857,125.88343225167017,129.84925112624882,-3.9658188745786447,-2.2484144566835846,131.1365005493164,7.945209419347107,147.0269193880106,115.24608171062218,46137.55,112.08999633789062,144.02999877929688,-1.2529998779297102
1926,2025-01-09,124.1999969482422,127.77999877929688,118.51000213623048,119.7300033569336,45123,0.0,0.0,133.63140029907225,133.87149045874253,29.7880738121887,128.39132969053918,131.26999150931746,-2.8786618187782835,-1.8190633522098199,132.3895004272461,6.654611805306202,145.6987240378585,119.0802768166337,44763.5,119.7300033569336,144.02999877929688,-1.1279994964599496
1925,2025-01-08,129.25,130.4199981689453,123.5999984741211,125.27999877929688,25229,0.0,0.0,134.0368002319336,134.44869401391838,30.80073197209356,129.96611629664926,132.19319056150817,-2.2270742648589135,-1.554163735567704,133.51749992370605,6.298297776728115,146.1140954771623,120.92090437024983,44042.1,125.27999877929688,144.02999877929688,-0.859999847412098
1924,2025-01-07,128.61000061035156,130.5800018310547,126.0,129.41000366210938,13234,0.0,0.0,134.30260040283204,134.82292647247436,37.1876382444438,130.8181376634406,132.74624590408507,-1.9281082406444625,-1.3859361032449016,134.37749977111815,6.288588051638632,146.9546758743954,121.80032366784089,48652.0,125.41999816894533,144.02999877929688,-0.8349998474121207
1923,2025-01-06,129.0,131.13999938964844,125.0,126.08000183105467,43184,0.0,0.0,134.54240020751953,135.04386209738723,31.309123615000402,131.07416202731903,133.01314528344312,-1.9389832561240894,-1.2503930688950113,135.21249961853027,6.690179438341968,148.59285849521422,121.83214074184633,50475.8,125.41999816894533,146.11000061035156,-0.3375000000000057
1922,2025-01-03,132.5,134.02000427246094,124.1500015258789,129.19000244140625,54134,0.0,0.0,134.9066000366211,135.40973394499264,38.85142513833152,131.98219115391254,133.5677967596342,-1.5856056057216676,-1.0782455220877418,135.54999961853028,6.367711198721487,148.28542201597327,122.8145772210873,48745.6,125.41999816894533,146.11000061035156,-0.13099975585936363
1921,2025-01-02,135.5,139.0,131.14999389648438,132.3000030517578,34950,0.0,0.0,135.26760009765624,135.66360053697576,44.62902562428374,132.4898618289137,133.91802030509245,-1.4281584761787656,-0.9514055011792604,135.68099937438964,6.255952975033321,148.1929053244563,123.169093424323,46652.85,125.41999816894533,146.11000061035156,0.09950027465819744
1920,2025-01-01,133.5,140.5,127.61000061035156,133.89999389648438,118045,0.0,0.0,135.62660003662108,135.80089023024996,41.384271575634706,132.5243816065784,134.04746168535922,-1.523080078780822,-0.832217257429384,135.58149909973145,6.327968507345736,148.2374361144229,122.92556208503997,45289.85,125.41999816894533,146.11000061035156,0.15199966430662926
1919,2024-12-31,128.5,134.77000427246094,125.8499984741211,130.00999450683594,37022,0.0,0.0,135.96960021972657,135.87847783570976,36.14136978347384,132.27427028114096,134.0592591084692,-1.7849888273282488,-0.6595015520915244,135.42949943542482,6.406507930661365,148.24251529674754,122.61648357410209,39826.9,125.41999816894533,146.11000061035156,0.022499847412120744
1918,2024-12-30,126.13999938964844,133.92999267578125,125.26000213623048,128.52000427246094,29964,0.0,0.0,136.44740020751954,136.11800776750053,31.33886789129714,132.68595678556005,134.38320027659987,-1.6972434910398135,-0.37812973328234323,135.4069995880127,6.427299617934692,148.26159882388208,122.55240035214331,38508.65,125.41999816894533,146.11000061035156,-0.023500061035150566
1917,2024-12-27,128.36000061035156,128.36000061035156,124.11000061035156,125.41999816894533,22729,0.0,0.0,137.0170001220703,136.4281303591348,43.535159630125655,133.44340269703264,134.85225595693097,-1.4088532598983363,-0.04835129384297562,135.43049964904785,6.401601324647659,148.23370229834316,122.62729699975253,37317.3,125.41999816894533,146.11000061035156,-0.20750045776367188
1916,2024-12-26,129.60000610351562,131.00999450683594,124.5,127.4000015258789,55894,0.0,0.0,137.5886001586914,136.87744187710172,46.086962055188586,134.90220352032125,135.60683657996984,-0.7046330596485859,0.29177419767086454,135.63800010681152,6.121160848288093,147.88032180338772,123.39567841023533,36599.65,127.4000015258789,146.11000061035156,-0.17649955749513424
1915,2024-12-24,130.72999572753906,133.89999389648438,129.00999450683594,132.5800018310547,16862,0.0,0.0,138.1670002746582,137.26427617715163,52.154929785563,136.2662402465835,136.2633833842971,0.002856862286392925,0.5408760120007272,135.81449966430665,5.91866478522307,147.6518292347528,123.97717009386051,34267.85,128.99000549316406,146.11000061035156,0.31550025939941406
1914,2024-12-23,139.99000549316406,140.0,125.22000122070312,129.35000610351562,60832,0.0,0.0,138.70580032348633,137.4554710484209,48.48970452180565,136.93646541304327,136.5580539085565,0.3784115044867633,0.6753807994293108,135.49899940490724,6.258577345373748,148.01615409565474,122.98184471415973,34368.5,126.2699966430664,146.11000061035156,0.12750015258791336
1913,2024-12-20,141.05999755859375,142.7899932861328,131.0,133.27999877929688,37873,0.0,0.0,139.1654002380371,137.78630635229456,53.92736230696169,138.3158216511392,137.13469773295978,1.1811239181794235,0.7496231231649477,135.37149925231932,6.4144709365696375,148.2004411254586,122.54255737918005,31920.6,126.2699966430664,146.11000061035156,0.3349998474120923
1912,2024-12-19,146.49000549316406,146.49000549316406,139.30999755859375,140.13999938964844,35353,0.0,0.0,139.40140029907226,137.9702372736414,63.574365257994785,139.231425809656,137.4430736492528,1.7883521604032069,0.6417479244113287,135.03649940490723,6.69813353912064,148.4327664831485,121.64023232666595,30278.3,126.2699966430664,146.11000061035156,0.8020000457763672
1911,2024-12-18,142.27000427246094,150.0,140.5,144.02999877929688,94605,0.0,0.0,139.36400039672853,137.88167555462073,69.14721402126045,139.06623061329375,137.22731959002112,1.8389110232726296,0.35509686541335905,134.23449935913087,7.008010920955094,148.25052120104107,120.21847751722068,29185.15,124.0999984741211,146.11000061035156,0.8924999237060547
1910,2024-12-17,144.14999389648438,150.0,140.41000366210938,141.50999450683594,61504,0.0,0.0,139.1722004699707,137.63072358626658,64.45354597791479,138.1637273103841,136.68310525487908,1.4806220555050231,-0.015856674051458575,133.3419994354248,6.829210280843828,147.00041999711246,119.68357887373716,25609.4,124.0999984741211,146.11000061035156,0.637500000000017
1909,2024-12-16,146.00999450683594,146.00999450683594,140.1199951171875,143.07000732421875,41334,0.0,0.0,138.96680068969727,137.4723859976719,71.15870118893626,137.55531509284742,136.29695411472255,1.2583609781248697,-0.389976356440579,132.7044994354248,6.618453662691497,145.94140676080778,119.4675921100418,23126.9,124.0999984741211,146.11000061035156,0.5840003967284986
1908,2024-12-13,140.99000549316406,143.3800048828125,138.00999450683594,139.44000244140625,36723,0.0,0.0,138.75180068969726,137.24391165781284,67.26775584940998,136.55264377805264,135.75510985796285,0.7975339200897906,-0.8020606900819411,132.1204990386963,6.154748599461154,144.4299962376186,119.81100183977398,21739.85,124.0999984741211,146.11000061035156,0.2680000305175838
1907,2024-12-12,144.0,144.3800048828125,136.69000244140625,137.14999389648438,30676,0.0,0.0,138.68320053100587,137.15427529929883,65.30552047364557,136.02766947562472,135.46031845128738,0.5673510243373414,-1.201959342624874,131.8524990081787,5.931919530155842,143.7163380684904,119.98865994786703,20087.65,124.0999984741211,146.11000061035156,0.01649932861329262
1906,2024-12-11,144.91000366210938,147.89999389648438,142.0,142.2899932861328,30695,0.0,0.0,138.6290007019043,137.1544500504341,78.53779925381801,135.82361049001386,135.32514441567162,0.49846607434224666,-1.6442869343654278,131.83599967956542,5.916849086580717,143.66969785272684,120.00230150640398,19003.0,124.0999984741211,146.11000061035156,0.27349929809568607
1905,2024-12-10,153.0,154.89999389648438,140.57000732421875,142.47999572753906,117427,0.0,0.0,138.50760086059572,136.94483604081373,74.14098695341981,134.64790452708314,134.76795650603472,-0.12005197895157949,-2.1799751865423462,131.56250038146973,5.521399859249487,142.6053000999687,120.51970066297076,17676.45,124.0999984741211,146.11000061035156,0.1430000305175838
1904,2024-12-09,136.8000030517578,146.11000061035156,133.0,146.11000061035156,49710,0.0,0.0,138.374600982666,136.71891115564125,76.52095786595216,133.22388794518207,134.15099336831437,-0.9271054231323035,-2.694955988440038,131.41950035095215,5.254340603222598,141.92818155739735,120.91081914450695,12119.7,124.0999984741211,146.11000061035156,0.18199996948243324
1903,2024-12-06,135.0,135.0,129.05999755859375,132.8300018310547,8580,0.0,0.0,138.189600982666,136.3356013819796,53.26383182405495,130.8809583696967,133.1942727889514,-2.313314419254681,-3.136918629766971,131.23750038146972,4.758339494436224,140.75417937034217,121.72082139259727,9821.2,124.0999984741211,142.47000122070312,-0.6275001525879134
1902,2024-12-05,132.0,133.8000030517578,127.51000213623048,131.80999755859375,12279,0.0,0.0,138.3358009338379,136.4786870779357,45.21701499965598,130.526586831268,133.22341446558312,-2.6968276343151274,-3.342819682395043,131.86500053405763,5.711453608023705,143.28790775010503,120.44209331801022,11890.5,124.0999984741211,145.3800048828125,-0.5360000610351392
1901,2024-12-04,130.86000061035156,132.99000549316406,130.0,130.30999755859375,7690,0.0,0.0,138.4828010559082,136.66924583382718,36.964338311230385,130.2932394262997,133.33648781814227,-3.0432483918425817,-3.5043176944150214,132.40100059509277,6.189067547107751,144.77913568930828,120.02286550087726,11891.35,124.0999984741211,145.3800048828125,-0.4715003967285156
1900,2024-12-03,129.55999755859375,132.0,126.61000061035156,130.86000061035156,8786,0.0,0.0,138.66560104370117,136.92880698791834,37.79687313521899,130.29019249315533,133.57860703890614,-3.288414545750811,-3.6195850200581314,132.87250099182128,6.377712144085704,145.6279252799927,120.11707670364987,11897.55,124.0999984741211,145.3800048828125,-0.30699996948243324
1899,2024-12-02,128.10000610351562,130.0,124.5,129.55999755859375,10657,0.0,0.0,138.8060011291504,137.17651337067616,30.594127717090544,130.18659101730148,133.7960955531905,-3.609504535889016,-3.702377638634961,133.17950096130372,6.423354355357867,146.02620967201946,120.33279225058799,11578.9,124.0999984741211,145.3800048828125,-0.39700012207029545
1898,2024-11-29,133.85000610351562,133.85000610351562,128.0,128.99000549316406,6137,0.0,0.0,139.0180012512207,137.48739156708768,26.09929576893211,130.30051710070288,134.13498339275824,-3.8344662920553674,-3.725595914321447,133.576501083374,6.433235526455245,146.4429721362845,120.71003003046351,11585.85,124.0999984741211,145.3800048828125,-0.40049972534180256
1897,2024-11-28,130.92999267578125,132.25,128.0,129.57000732421875,8376,0.0,0.0,139.31080123901367,137.83422365173763,24.107438272623014,130.5387919384372,134.54658162472577,-4.007789686288561,-3.6983783198879667,133.97700080871581,6.381800891974063,146.74060259266395,121.21339902476768,11380.75,124.0999984741211,145.3800048828125,-0.47149963378907955
1896,2024-11-27,126.0,132.5,125.0,130.92999267578125,9258,0.0,0.0,139.5928010559082,138.17153860388126,31.886322567363536,130.71493459556785,134.94470756876632,-4.229772973198465,-3.6210254782878177,134.4485004425049,6.387417570098242,147.22333558270137,121.67366530230841,11167.65,124.0999984741211,145.3800048828125,-0.4535003662109318
1895,2024-11-26,126.8000030517578,130.85000610351562,125.0,126.2699966430664,18875,0.0,0.0,139.88520126342775,138.467111907069,27.661689301367986,130.67583312643814,135.26588476020513,-4.59005163376699,-3.468838604560156,134.90200080871583,6.446169649573216,147.79434010786227,122.0096615095694,14306.9,124.0999984741211,145.3800048828125,-0.6150005340576001
1894,2024-11-25,132.88999938964844,132.89999389648438,122.3000030517578,126.8000030517578,11874,0.0,0.0,140.2560012817383,138.96495334641605,34.239814668989084,131.476894305233,135.98555580957623,-4.508661504343223,-3.1885353472584472,135.51700134277343,6.159661741458903,147.83632482569124,123.19767785985562,13381.1,124.0999984741211,145.3800048828125,-0.7299995422363281
1893,2024-11-22,126.58000183105467,126.58000183105467,124.0,126.58000183105467,5027,0.0,0.0,140.61160125732422,139.4614819298715,33.27206913574703,132.32723816950124,136.7204000302017,-4.393161860700445,-2.8585038079872533,136.24700088500975,5.933192883940495,148.11338665289074,124.38061511712877,12842.05,124.0999984741211,145.3800048828125,-0.885499572753929
1892,2024-11-21,124.0999984741211,124.0999984741211,123.6500015258789,124.0999984741211,13490,0.0,0.0,140.9608010864258,139.9872566277824,28.962823263125173,133.372190231037,137.53163188613345,-4.159441655096458,-2.4748392948089553,137.13250045776368,5.732683051229412,148.5978665602225,125.66713435530485,12737.45,124.0999984741211,145.3800048828125,-1.1570003509521314
