,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5095,2025-01-23,348.0,350.20001220703125,343.1000061035156,349.25,181190,0.0,0.0,380.2019989013672,378.95162470449753,23.727665940738092,360.7072202211568,370.3878623541582,-9.680642133001413,-7.910887553263924,369.8624969482422,14.153071712906579,398.16864037405537,341.55635352242905,273174.4,346.29998779296875,391.5,-1.589999389648483
5094,2025-01-22,363.5,364.2000122070313,345.0,346.29998779296875,538176,0.0,0.0,380.7229986572266,380.163935916926,20.04206162708445,362.790351170458,372.0788913424908,-9.28854017203281,-7.468448908329552,371.4524963378907,13.48605966228743,398.42461566246556,344.48037701331583,276165.6,346.29998779296875,391.5,-1.8350006103515284
5093,2025-01-21,363.2000122070313,363.8999938964844,356.0,358.25,218294,0.0,0.0,381.3459991455078,381.5461378811691,26.84511233830399,365.7885990572742,374.1412036264525,-8.352604569178311,-7.013426092403738,373.2874969482422,12.330863949338864,397.94922484691995,348.6257690495645,268168.7,354.1499938964844,391.5,-1.4949996948242301
5092,2025-01-20,362.8999938964844,362.8999938964844,357.6000061035156,361.4500122070313,219168,0.0,0.0,381.8959991455078,382.497000651829,27.49171919372786,367.15925343132403,375.4124999165688,-8.253246485244745,-6.678631473210094,374.78249664306645,12.2238354914586,399.23016762598365,350.33482566014925,282913.75,354.1499938964844,391.5,-0.9649993896484261
5091,2025-01-17,361.4500122070313,363.0,358.5,359.29998779296875,214982,0.0,0.0,382.49499877929685,383.3560614046779,23.606547371285913,368.1972972902863,376.5294989333318,-8.332201643045494,-6.284977720201432,375.7474960327149,11.872685163765548,399.49286636024596,352.0021257051838,296967.2,354.1499938964844,391.5,-1.8000000000000114
5090,2025-01-16,363.1000061035156,367.25,360.0,361.4500122070313,231941,0.0,0.0,383.09199890136716,384.33794196025787,32.80422328453287,369.81498992616224,377.9078598245609,-8.092869898398646,-5.773171739490417,377.5474960327149,11.976362275438436,401.5002205835918,353.594771481838,300074.45,354.1499938964844,395.2999877929688,-1.8899993896484375
5089,2025-01-15,369.5499877929688,369.5499877929688,362.0,363.0499877929688,203477,0.0,0.0,383.68299865722656,385.2721431746753,36.7060585270245,371.3358949660042,379.2244876339633,-7.888592667959074,-5.193247199763359,379.4374954223633,12.281049913913808,403.99959525019096,354.8753955945357,313436.75,354.1499938964844,399.25,-2.31750030517577
5088,2025-01-14,354.1499938964844,364.8500061035156,354.0,362.2999877929688,250539,0.0,0.0,384.3799987792969,386.17916992494906,34.97822578216217,372.84242354291973,380.51844762124284,-7.67602407832311,-4.5194108327144304,381.7549957275391,13.352398381034595,408.4597924896083,355.0501989654699,349403.55,354.1499938964844,409.3999938964844,-2.3900009155273665
5087,2025-01-13,357.20001220703125,358.79998779296875,349.6000061035156,354.1499938964844,393537,0.0,0.0,385.0739990234375,387.1538304201319,24.203347948422945,374.7592300429108,381.97592440750475,-7.216694364593934,-3.7302575213122604,384.14499664306646,13.951314784196096,412.04762621145863,356.2423670746743,358591.35,354.1499938964844,410.1000061035156,-2.7275009155273438
5086,2025-01-10,369.8999938964844,371.25,359.1000061035156,362.7000122070313,239617,0.0,0.0,385.8619989013672,388.500925788444,36.06178548805502,378.5063638877156,384.2019988483863,-5.695634960670702,-2.8586483104918416,386.8724975585938,13.083955370569191,413.0404082997322,360.70458681745544,407848.75,362.7000122070313,410.1000061035156,-2.30749969482423
5085,2025-01-09,373.1000061035156,375.1499938964844,370.0,370.6000061035156,123919,0.0,0.0,386.2519989013672,389.5540243019711,32.70309257640609,381.3802460114764,385.9221577796947,-4.541911768218313,-2.1494016479471263,389.17999725341804,12.659131531657327,414.4982603167327,363.8617341901034,460533.05,370.6000061035156,410.1000061035156,-1.8550003051757358
5084,2025-01-08,374.7999877929688,377.8500061035156,370.1000061035156,375.0499877929688,257076,0.0,0.0,386.4399987792969,390.3276576978264,32.93370671799701,383.34028963110563,387.147929913789,-3.807640282683394,-1.5512741178793297,391.0349975585938,12.51057020806549,416.0561379747248,366.01385714246277,478384.05,371.7999877929688,410.1000061035156,-1.8850006103515398
5083,2025-01-07,373.0,378.0,372.0,374.0499877929688,207735,0.0,0.0,386.4189990234375,390.95123606128993,27.92005120699757,384.8476172380396,388.1157652834546,-3.268148045414989,-0.9871825766783136,392.9199981689453,12.811855569396444,418.5437093077382,367.2962870301524,522987.25,371.7999877929688,412.75,-2.3374999999999773
5082,2025-01-06,387.7000122070313,390.0,370.0499877929688,371.7999877929688,381079,0.0,0.0,386.6419995117187,391.64108292938465,25.605093362371008,386.81082259168886,389.2410274826935,-2.430204891004621,-0.41694120949414454,395.2574981689453,13.437315725711493,422.1321296203683,368.3828667175223,728523.1,371.7999877929688,420.7999877929688,-1.0900009155273551
5081,2025-01-03,390.0,393.75,385.4500122070313,387.4500122070313,215900,0.0,0.0,387.0079998779297,392.45092354719753,33.46303501945519,389.5400652823652,390.6363106578715,-1.096245375506271,0.08637471088347459,396.34749908447264,12.267625496934091,420.88275007834085,371.81224809060444,723677.6,380.75,420.7999877929688,-0.29249877929686363
