,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5597,2025-01-13,110.1999969482422,110.26000213623048,104.01000213623048,104.62999725341795,51631,0.0,0.0,118.19859970092773,118.66030033788311,34.89531741366682,112.57537371252788,115.17272906147144,-2.597355348943566,-2.015553791970347,114.99749946594238,4.24196868295744,123.48143683185727,106.5135621000275,41154.25,104.62999725341795,123.9000015258789,-0.7795001983642607
5596,2025-01-10,117.29000091552734,117.29000091552734,110.0999984741211,111.16000366210938,19697,0.0,0.0,118.62859970092774,119.2329657699021,41.81765323815209,114.01998761418423,116.01614760611572,-1.996159991931492,-1.8701034027270418,115.77699966430664,3.6239603162650185,123.02492029683668,108.5290790317766,42172.0,109.9499969482422,123.9000015258789,-0.5704998016357337
5595,2025-01-09,111.93000030517578,119.8000030517578,111.93000030517578,115.31999969482422,115667,0.0,0.0,118.9361996459961,119.56247442736303,45.15715982105432,114.53998469637966,116.40463912163622,-1.8646544252565604,-1.838589255425929,116.34749946594238,3.754628553780246,123.85675657350286,108.83824235838189,43124.45,109.9499969482422,123.9000015258789,-0.36250000000001137
5594,2025-01-08,111.87000274658205,112.5999984741211,111.0,111.36000061035156,12875,0.0,0.0,119.10359970092773,119.7356366613442,35.18777557390864,114.39816378757158,116.49141027578119,-2.0932464882096156,-1.832072962968271,116.70999946594239,3.992645240275234,124.69528994649286,108.72470898539191,42284.05,109.9499969482422,123.9000015258789,-0.47049980163573935
5593,2025-01-07,112.5500030517578,113.52999877929688,109.41000366210938,112.6999969482422,15643,0.0,0.0,119.25319961547852,120.07749935730308,32.18830223540593,114.95055709252067,116.90192304901556,-1.9513659564948966,-1.7667795816579348,117.18049926757813,3.8819202541755926,124.94433977592931,109.41665875922695,45451.4,109.9499969482422,123.9000015258789,-0.2550003051757841
5592,2025-01-06,114.0999984741211,115.87999725341795,110.8000030517578,111.3499984741211,26971,0.0,0.0,119.52879974365234,120.37862190461169,37.201774063135794,115.35974984602584,117.23807713707744,-1.8783272910516047,-1.7206329879486941,117.43549957275391,3.7369081867517604,124.90931594625744,109.96168319925039,47494.15,109.9499969482422,123.9000015258789,-0.44750022888183594
5591,2025-01-03,115.7300033569336,118.1999969482422,114.83000183105467,116.69000244140624,27679,0.0,0.0,119.86619979858398,120.74713714667253,43.869406285725454,116.08879555000851,117.70912343011395,-1.6203278801054353,-1.6812094121729664,117.88299980163575,3.498060369245284,124.87912054012631,110.88687906314519,49201.8,109.9499969482422,123.9000015258789,-0.13449974060057457
5590,2025-01-02,119.0500030517578,119.0500030517578,115.0999984741211,115.55999755859376,20556,0.0,0.0,120.08659973144532,120.91273448158137,38.320563024075675,115.97948520611803,117.79065310921055,-1.8111679030925245,-1.696429795189849,118.01749954223632,3.501488823610364,125.02047718945705,111.01452189501559,49225.0,109.9499969482422,123.9000015258789,-0.2825000762939567
5589,2025-01-01,112.95999908447266,118.6999969482422,112.95999908447266,117.51000213623048,43030,0.0,0.0,120.46679992675782,121.1312135396625,40.98361502625697,116.05575568748607,117.9691055532599,-1.9133498657738244,-1.6677452682141802,118.29999961853028,3.520650860288424,125.34130133910713,111.25869789795343,54211.45,109.9499969482422,123.9000015258789,-0.009499740600574569
5588,2024-12-31,111.5,113.33999633789062,109.6999969482422,112.87999725341795,29341,0.0,0.0,120.85179977416992,121.27901808674136,34.36386057476554,115.79134724225982,118.00583382662225,-2.214486584362433,-1.606344118824269,118.30949935913085,3.5186627947636575,125.34682494865817,111.27217376960354,53976.35,109.9499969482422,123.9000015258789,-0.23450012207031534
5587,2024-12-30,113.55999755859376,115.25,108.4000015258789,109.9499969482422,64967,0.0,0.0,121.35739990234374,121.6218352636117,34.467738867637465,116.32068360386742,118.41590075247859,-2.0952171486111695,-1.4543085024397282,118.54399948120117,3.286386032153754,125.11677154550868,111.97122741689365,54240.95,109.9499969482422,123.9000015258789,-0.41300010681152344
5586,2024-12-27,114.0999984741211,115.69000244140624,113.7300033569336,114.16999816894533,20206,0.0,0.0,122.03359985351562,122.09823682750432,36.98512932388999,117.47899026852656,119.09317305681749,-1.6141827882909325,-1.2940813408968679,118.95699958801269,2.5960458277759577,124.14909124356461,113.76490793246077,53666.9,114.16999816894533,123.9000015258789,-0.07299995422363281
5585,2024-12-26,116.45999908447266,117.98999786376952,113.22000122070312,114.69000244140624,58110,0.0,0.0,122.4716000366211,122.42183840540469,40.20878096952225,118.08062519572314,119.48702704784726,-1.4064018521241195,-1.2140559790483518,119.02999954223633,2.4719117568590048,123.97382305595434,114.08617602851831,55434.05,114.69000244140624,123.9000015258789,-0.05849990844727415
5584,2024-12-24,117.02999877929688,118.18000030517578,116.0,116.4000015258789,14408,0.0,0.0,122.8666000366211,122.73742354679239,40.00831721028595,118.6971020601444,119.87078901636255,-1.1736869562181482,-1.1659695107794097,119.0884994506836,2.3757711274162268,123.84004170551606,114.33695719585114,54648.2,115.62999725341795,123.9000015258789,0.08650016784667969
5583,2024-12-23,116.5999984741211,118.73999786376952,116.0999984741211,116.75,17022,0.0,0.0,123.29039993286133,122.99609383336029,48.25560674815889,119.11475670273813,120.14845201560125,-1.0336953128631166,-1.164040149419725,119.00199928283692,2.5066959533860915,124.0153911896091,113.98860737606473,55274.4,114.66999816894533,123.9000015258789,0.250999832153326
5582,2024-12-20,118.80999755859376,120.0,115.5,116.66999816894533,30790,0.0,0.0,123.73919998168945,123.25103643880357,48.35043747351879,119.54471246687234,120.42032817684935,-0.8756157099770121,-1.196626358558877,118.7509994506836,2.9552573413046286,124.66151413329285,112.84048476807433,57457.3,111.7300033569336,123.9000015258789,0.3665000915527372
5581,2024-12-19,119.0,119.51000213623048,117.51000213623048,118.33999633789062,30711,0.0,0.0,124.21740005493164,123.51965024573656,50.24761374406688,120.06738779376818,120.72035457748167,-0.6529667837134951,-1.2768790207043432,118.38449935913086,3.6091064649068003,125.60271228894446,111.16628642931725,60093.3,109.33999633789062,123.9000015258789,0.4029998779296875
5580,2024-12-18,123.01000213623048,123.01000213623048,118.81999969482422,119.87999725341795,30736,0.0,0.0,124.70000015258789,123.73106469095475,57.78673262964373,120.3814589675641,120.91078323664897,-0.5293242690848672,-1.432857079952055,117.98149948120117,4.038760304344439,126.05902008989005,109.90397887251228,62452.8,109.33999633789062,123.9000015258789,0.3125
5579,2024-12-17,119.0,127.0,119.0,123.9000015258789,156541,0.0,0.0,124.94160034179687,123.88825111697666,67.1063793729808,120.47263382468157,120.99324611530744,-0.520612290625877,-1.6587402826688518,117.66899948120117,4.125008861045125,125.91901720329142,109.41898175911092,64411.25,109.33999633789062,123.9000015258789,0.6389999389648438
5578,2024-12-16,119.01000213623048,121.5999984741211,119.01000213623048,120.04000091552734,36504,0.0,0.0,125.37680038452149,123.88777150845004,62.890063148502755,119.8494760608275,120.76070568246173,-0.9112296216342344,-1.9432722806795955,117.02999954223633,4.098753451578196,125.22750644539272,108.83249263907993,60156.05,109.33999633789062,122.56999969482422,0.4005001068115206
5577,2024-12-13,122.98999786376952,122.98999786376952,118.62000274658205,120.22000122070312,71986,0.0,0.0,126.01520050048828,124.04482336938565,67.99490554461865,119.8148351781548,120.81836206381648,-1.0035268856616852,-2.2012829454409357,116.6294994354248,4.179698490326575,124.98889641607795,108.27010245477166,73636.95,109.33999633789062,122.56999969482422,0.01399993896484375
5576,2024-12-12,121.6999969482422,125.5,120.44000244140624,122.56999969482422,38746,0.0,0.0,126.72080047607422,124.2009385591278,77.99406760808753,119.74116862496419,120.86623093126555,-1.1250623063013592,-2.5007219603857482,116.61549949645996,4.167490201721389,124.95047989990275,108.28051909301718,74511.35,109.33999633789062,122.56999969482422,-0.26349983215331463
5575,2024-12-11,120.9499969482422,127.0,120.9499969482422,122.56999969482422,98859,0.0,0.0,127.13940048217773,124.26750749236469,75.01016165177371,119.22683570317145,120.72992943018086,-1.5030937270094142,-2.8446368739068455,116.87899932861328,4.696785746082648,126.27257082077857,107.48542783644798,74387.6,109.33999633789062,127.83999633789062,-0.3664997100830192
5574,2024-12-10,119.0500030517578,121.5,117.01000213623048,120.7699966430664,76222,0.0,0.0,127.59000061035157,124.33679352491735,63.66768099796648,118.61898770468912,120.5827238090094,-1.963736104320276,-3.180022660631203,117.2454990386963,5.3978967842064876,128.04129260710926,106.44970547028332,72258.8,109.33999633789062,129.89999389648438,-0.49850044250487713
5573,2024-12-09,121.5999984741211,121.5999984741211,117.5,117.8000030517578,56498,0.0,0.0,127.99340072631836,124.48237707111535,63.01636275465615,118.22789517043871,120.56774198228484,-2.3398468118461295,-3.4840942997089352,117.74399948120117,6.148675815631447,130.04135111246407,105.44664784993827,71755.6,109.33999633789062,130.74000549316406,-0.6014999389648494
5572,2024-12-06,119.0,122.8000030517578,119.0,120.3000030517578,61124,0.0,0.0,128.5094007873535,124.75512703108913,67.17906471956039,118.30569373747161,120.78916109672701,-2.4834673592553997,-3.7701561716746363,118.34549942016602,6.716634277351365,131.77876797486874,104.91223086546329,71173.95,109.33999633789062,130.74000549316406,-0.5154998779296847
5571,2024-12-05,121.6999969482422,121.6999969482422,118.75,119.37999725341795,28143,0.0,0.0,128.91800064086914,124.93696882616388,49.098510794510666,117.94309204396502,120.82829374032455,-2.8852016963595304,-4.091828374779445,118.8609992980957,7.249077788219075,133.35915487453386,104.36284372165755,70906.95,109.33999633789062,130.74000549316406,-0.5295001983642607
5570,2024-12-04,118.6999969482422,122.3000030517578,117.31999969482422,121.20999908447266,120285,0.0,0.0,129.43280059814452,125.1637839923984,41.07191254531044,117.68183655133721,120.94415745927708,-3.2623209079398663,-4.393485044384423,119.39049949645997,7.663881806207584,134.71826310887514,104.0627358840448,73831.05,109.33999633789062,130.74000549316406,-0.22550010681152344
5569,2024-12-03,116.4499969482422,119.4000015258789,116.4499969482422,117.6999969482422,38328,0.0,0.0,129.99140060424804,125.32516296823209,32.903588211043484,117.04035245440349,120.92289012926145,-3.882537674857957,-4.676276078495562,119.61599960327149,7.785619705632224,135.18723901453595,104.04476019200705,70171.35,109.33999633789062,130.74000549316406,-0.4800003051757784
5568,2024-12-02,119.51000213623048,119.51000213623048,116.0,117.56999969482422,34633,0.0,0.0,130.66020065307617,125.63639423435413,31.904364855648467,116.92041709188734,121.180721583743,-4.260304491855649,-4.874710679404962,120.09599990844727,7.9553571714343,136.00671425131586,104.18528556557867,69880.45,109.33999633789062,130.74000549316406,-0.39850006103515057
5567,2024-11-29,117.0,120.02999877929688,115.25,118.20999908447266,53486,0.0,0.0,131.52780059814452,125.96563482780432,34.1516650742617,116.80231116408065,121.46957933485649,-4.667268170775841,-5.0283122262922895,120.49449996948242,8.02150684981086,136.53751366910413,104.4514862698607,70452.15,109.33999633789062,130.74000549316406,-0.3959999084472656
5566,2024-11-28,116.4499969482422,119.26000213623048,114.16000366210938,115.62999725341795,55549,0.0,0.0,132.52480056762695,126.28219138875664,28.51405648858399,116.54636790582757,121.7303457548872,-5.18397784905963,-5.118573240171401,120.89049987792968,8.097921882490693,137.08634364291106,104.6946561129483,70121.2,109.33999633789062,130.74000549316406,-0.5455001831054744
5565,2024-11-27,115.6500015258789,117.38999938964844,114.56999969482422,115.86000061035156,42393,0.0,0.0,133.6622006225586,126.7169748228521,29.99716628703561,116.71298075172022,122.21837363500474,-5.5053928832845145,-5.102222087949342,121.43600006103516,8.092371334845197,137.62074273072557,105.25125739134477,70244.25,109.33999633789062,130.74000549316406,-0.3915000915527287
5564,2024-11-26,113.0,115.0,111.76000213623048,114.66999816894533,26932,0.0,0.0,134.30720062255858,127.16011662744394,35.585699812300575,116.8680680501509,122.72704347697699,-5.858975426826092,-5.001429389115549,121.82750015258789,7.997257138420818,137.82201442942952,105.83298587574625,71626.0,109.33999633789062,130.74000549316406,-0.20849990844726562
5563,2024-11-25,110.3499984741211,113.6999969482422,110.3499984741211,111.7300033569336,60680,0.0,0.0,134.7374005126953,127.66991738085204,28.94239117177935,117.267717119461,123.37160710161952,-6.10388998215852,-4.787042879687913,122.03600006103515,7.853903532246882,137.74380712552892,106.32819299654139,74868.0,109.33999633789062,130.74000549316406,-0.7374999999999972
5562,2024-11-22,110.5999984741211,111.51000213623048,108.0,109.33999633789062,83510,0.0,0.0,135.28620040893554,128.3205261165222,27.71050796771968,118.27457416719326,124.30293540119439,-6.028361234001125,-4.4578311040702605,122.77350006103515,7.520672161351253,137.81484438373766,107.73215573833265,73472.35,109.33999633789062,130.74000549316406,-0.944000244140625
5561,2024-11-21,112.9499969482422,112.9499969482422,108.30999755859376,110.27999877929688,77901,0.0,0.0,135.94260055541992,129.09524161769082,27.97999525574157,119.8990428634301,125.49997052625869,-5.600927662828596,-4.065198571587545,123.71750030517578,6.90549860540481,137.5284975159854,109.90650309436616,72689.75,110.27999877929688,130.74000549316406,-0.8715000152587891
5560,2024-11-19,111.4000015258789,116.2300033569336,111.0999984741211,113.62999725341795,69905,0.0,0.0,136.45320053100585,129.86321071313546,30.46898264745731,121.64795996963613,126.71756826601563,-5.069608296379499,-3.681266298777282,124.58900032043456,6.18238440847295,136.95376913738048,112.22423150348867,72773.8,111.12000274658205,130.74000549316406,-1.0470005035400476
5559,2024-11-18,112.9000015258789,114.58000183105467,108.5,111.12000274658205,71437,0.0,0.0,136.81280059814452,130.5257908543484,31.177003515370203,123.1057713725849,127.76457394702345,-4.658802574438553,-3.3341807993767274,125.63600082397461,5.999176320685884,137.63435346534638,113.63764818260285,73086.65,111.12000274658205,134.57000732421875,-1.2819995880126953
5558,2024-11-14,119.94000244140624,123.75,108.11000061035156,112.02999877929688,306122,0.0,0.0,137.12660049438477,131.31786383833887,40.878657325278155,125.28500203185814,129.09613964305876,-3.8111376112006212,-3.0030253556112707,126.91800041198731,5.4481807219766445,137.8143618559406,116.02163896803401,73151.15,112.02999877929688,136.75999450683594,-1.3065002441406222
5557,2024-11-13,127.83000183105467,129.9199981689453,118.5,119.94000244140624,89474,0.0,0.0,137.4358004760742,132.10512363666712,41.176474221162955,127.69500262323291,130.4614309121597,-2.7664282889267895,-2.8009972917139327,128.22450065612793,4.782434840720384,137.7893703375687,118.65963097468716,62890.05,118.83999633789062,138.16000366210938,-1.1909996032714787
5556,2024-11-12,129.0399932861328,129.6999969482422,126.5,127.83999633789062,36271,0.0,0.0,137.64500030517578,132.60165919565736,49.385105853444635,129.1050026562923,131.30314518981996,-2.1981425335276583,-2.8096395424107183,129.4155002593994,5.519873351544674,140.45524696248876,118.37575355631006,70337.7,118.83999633789062,143.75999450683594,-0.41150054931640057
5555,2024-11-11,131.99000549316406,131.99000549316406,127.8000030517578,129.89999389648438,56283,0.0,0.0,137.56340042114257,132.79601278168866,53.730822229564225,129.33500380509258,131.58019709797432,-2.245193292881737,-2.9625137946314832,129.8270008087158,5.700067553394923,141.22713591550564,118.42686570192596,73283.0,118.83999633789062,143.75999450683594,-0.2270004272461108
5554,2024-11-08,128.14999389648438,134.47000122070312,128.14999389648438,130.74000549316406,66158,0.0,0.0,137.47220046997072,132.91421763414596,44.5858085167881,129.23227833393045,131.71461335409353,-2.4823350201630774,-3.1418439200689194,130.05400123596192,5.792774557221154,141.63955035040422,118.46845212151962,74781.6,118.83999633789062,143.75999450683594,-0.34249954223631107
5553,2024-11-07,131.25,132.89999389648438,128.10000610351562,129.8300018310547,44865,0.0,0.0,137.40940032958986,133.0029609868391,40.545714945907285,128.9581461231607,131.7925819829679,-2.8344358598072006,-3.3067211450453797,130.39650077819823,6.032992649858694,142.46248607791563,118.33051547848085,74865.6,118.83999633789062,143.75999450683594,-0.46800003051760086
5552,2024-11-06,131.3699951171875,132.74000549316406,128.5800018310547,130.61000061035156,55784,0.0,0.0,137.35240036010742,133.1324695238099,39.87121130238833,128.79962690354364,131.94958839512097,-3.1499614915773293,-3.424792466354924,130.86450080871583,6.341871199144205,143.54824320700425,118.18075841042742,79140.15,118.83999633789062,143.75999450683594,-0.4985000610351449
5551,2024-11-05,125.72000122070312,132.0,123.1500015258789,129.97000122070312,86625,0.0,0.0,137.1940003967285,133.23542743864493,33.67275669121031,128.4704680477604,132.05675541790254,-3.586287370142145,-3.4935002100493224,131.36300086975098,6.702408912477936,144.76781869470685,117.9581830447951,80721.85,118.83999633789062,143.75999450683594,-0.625
5550,2024-11-04,129.1999969482422,129.1999969482422,123.1500015258789,125.72000122070312,47091,0.0,0.0,137.0486003112793,133.36871014141806,38.66870317661473,128.1978256526799,132.2236957536785,-4.025870100998588,-3.4703034200261165,131.98800086975098,7.134556114783881,146.25711309931873,117.71888864018321,89990.7,118.83999633789062,143.75999450683594,-0.3120002746582031
5549,2024-11-01,125.98999786376952,129.39999389648438,122.5,127.3000030517578,32510,0.0,0.0,136.94500030517577,133.68090234226355,42.191601925838,128.64833918576662,132.74399131631654,-4.095652130549922,-3.3314117497829985,132.30000114440918,6.980808310871649,146.26161776615248,118.33838452266588,101321.95,118.83999633789062,143.75999450683594,-0.9180000305175895
5548,2024-10-31,125.7699966430664,128.3800048828125,124.54000091552734,125.54000091552734,46067,0.0,0.0,136.86260025024413,133.94134721126377,37.210786226147206,128.89349121013186,133.17951037748122,-4.286019167349366,-3.1403516545912673,133.21800117492677,7.478168978029787,148.17433913098634,118.2616632188672,108361.05,118.83999633789062,145.66000366210938,-1.3210002899169808
5547,2024-10-30,126.5500030517578,128.60000610351562,125.0999984741211,126.12999725341795,46867,0.0,0.0,136.76220016479493,134.2842593049673,36.42975431987486,129.50321671824176,133.79067113443753,-4.2874544161957715,-2.8539347764017426,134.53900146484375,8.334921659513979,151.2088447838717,117.86915814581579,116574.35,118.83999633789062,151.9600067138672,-1.4685001373291016
5546,2024-10-29,123.6999969482422,128.5800018310547,121.3000030517578,126.54000091552734,58010,0.0,0.0,136.64240020751953,134.6170863274795,35.7026462812139,130.11652934820972,134.4035250449191,-4.2869956967093685,-2.495554866453235,136.00750160217285,9.306109247016675,154.6197200962062,117.3952831081395,137443.65,118.83999633789062,155.5,-0.8479999542236385
5545,2024-10-28,117.5,124.4499969482422,116.5,123.69000244140624,70028,0.0,0.0,136.48560012817381,134.9467632830694,30.494392379100063,130.76680724506107,135.03260697527043,-4.265799730209352,-2.0476946588892018,136.8555015563965,9.169720197686408,155.1949419517693,118.51606116102367,137930.5,118.83999633789062,155.5,-1.0705001831054517
5544,2024-10-25,125.58000183105467,125.58999633789062,117.55999755859376,118.83999633789062,91772,0.0,0.0,136.40300003051757,135.40622290925972,37.80667904009149,132.05349902754375,135.94001533797956,-3.886516310435809,-1.493168391059164,137.92600173950194,8.793878483932849,155.51375870736763,120.33824477163624,147224.95,118.83999633789062,155.5,-1.1050003051757926
5543,2024-10-24,128.49000549316406,129.0,125.8000030517578,126.4800033569336,32767,0.0,0.0,136.33440017700195,136.08239542237683,33.97927878106039,134.45595406202614,137.30801685798667,-2.852062795960535,-0.8948314112150028,139.03100204467773,7.573158145246363,154.17731833517047,123.88468575418501,148114.4,126.4800033569336,155.5,-0.8560001373290902
5542,2024-10-23,127.6999969482422,131.0,125.66000366210938,128.22000122070312,67858,0.0,0.0,136.14900009155272,136.47432979239494,31.57403617579874,135.90612691749752,138.17425793807092,-2.2681310205734064,-0.4055235650286197,139.88700218200682,7.027746763602085,153.942495709211,125.83150865480266,155684.45,127.70999908447266,155.5,-0.6254997253417969
5541,2024-10-22,135.0,135.0500030517578,126.87999725341795,127.70999908447266,79582,0.0,0.0,136.0084001159668,136.81124116266807,29.399546624893688,137.3036043169147,138.97059847546032,-1.6669941585456343,0.06012829885757698,140.51250190734862,6.469206391789182,153.450914690927,127.57408912377025,163345.1,127.70999908447266,155.5,-0.8704998016357592
5540,2024-10-21,137.72000122070312,139.60000610351562,131.8000030517578,134.57000732421875,76162,0.0,0.0,135.9214001464844,137.18272043116582,43.849017164516695,139.04789617735867,139.8714464267393,-0.823550249380645,0.4919089132083798,141.38300170898438,5.791697835367198,152.96639737971879,129.79960603824998,167325.6,131.9600067138672,155.5,-0.728499603271473
5539,2024-10-18,137.5,138.3000030517578,133.75999450683594,136.75999450683594,72727,0.0,0.0,135.65919998168945,137.2893617824698,44.20832405266742,139.86205778702046,140.29556155494095,-0.4335037679204845,0.820773703855636,142.11150131225585,5.80594704002251,153.7233953923009,130.49960723221082,172773.65,131.9600067138672,155.5,-0.7190002441406307
5538,2024-10-17,145.0,145.00999450683594,136.99000549316406,138.16000366210938,100900,0.0,0.0,135.33700012207032,137.31096861004667,48.140717261254785,140.42606929250854,140.57840691878937,-0.1523376262808256,1.134343071799666,142.83050155639648,5.995644581575354,154.82179071954718,130.8392123932458,183746.75,131.9600067138672,155.5,-1.1394996643066406
5537,2024-10-16,136.07000732421875,145.33999633789062,134.6199951171875,143.75999450683594,238427,0.0,0.0,134.9568000793457,137.27631411812575,50.1113815239457,140.8380812253084,140.77187917932375,0.06620204598465307,1.4560132463197888,143.97000122070312,7.121282771783693,158.21256676427052,129.72743567713573,197729.75,131.9600067138672,160.9499969482422,-1.2150001525878906
5536,2024-10-15,134.44000244140625,136.85000610351562,132.2100067138672,136.07000732421875,95177,0.0,0.0,134.42720016479493,137.01167410226003,46.522397505940106,140.30682426503066,140.53282995312276,-0.2260056880921013,1.8034660464035726,145.18500137329102,8.927485681641253,163.03997273657353,127.33003001000851,256041.85,131.9600067138672,168.05999755859375,-1.8214996337890739
5535,2024-10-14,138.0,139.8000030517578,131.41000366210938,134.44000244140625,86255,0.0,0.0,134.25080001831054,137.0501094809556,42.34518980741031,141.07715461790553,140.88985576343507,0.18729885447046968,2.310833980027491,147.0065010070801,10.54057030931555,168.0876416257112,125.925360388449,479891.35,131.9600067138672,172.5,-0.6834999084472599
5534,2024-10-11,139.0500030517578,141.33999633789062,136.6999969482422,137.58999633789062,67838,0.0,0.0,134.12059997558595,137.1566444621617,41.82358788189359,142.28390955908722,141.40584402919737,0.8780655298898523,2.8417177614167457,147.69000091552735,10.11753612908442,167.9250731736962,127.45492865735851,521477.9,131.9600067138672,172.5,0.07050018310548012
5533,2024-10-10,142.39999389648438,144.67999267578125,136.6999969482422,139.19000244140625,130356,0.0,0.0,134.0183999633789,137.13895663049928,41.5880651932332,143.1373483265775,141.71111184450191,1.4262364820755806,3.3326308192984686,147.61950073242187,10.196224793720742,168.01195031986336,127.22705114498038,522920.2,131.9600067138672,172.5,0.001000213623029822
5532,2024-10-09,141.92999267578125,143.0,139.0,140.5800018310547,87418,0.0,0.0,133.84440002441406,137.05524047495206,37.18062178259503,143.85504757842682,141.91280059674958,1.9422469816772434,3.8092294036041903,147.61850051879884,10.197096162920321,168.01269284463947,127.2243081929582,532094.45,131.9600067138672,172.5,-0.07900009155272869
5531,2024-10-08,132.6999969482422,144.0,130.00999450683594,142.47000122070312,272002,0.0,0.0,133.56199996948243,136.91137266449888,34.88839477997034,144.4505104415854,142.01942449800518,2.4310859435802286,4.2759750090859265,147.69750061035157,10.14568753818936,167.9888756867303,127.40612553397284,561263.5,131.9600067138672,172.5,0.33300018310546875
5530,2024-10-07,146.9499969482422,147.6999969482422,130.5,131.9600067138672,273716,0.0,0.0,133.22599990844728,136.68448986628644,24.21120720866932,144.8106030272004,141.98337836018933,2.827224667011052,4.737197275462351,147.3645004272461,10.431563271166537,168.22762696957918,126.50137388491302,652785.75,131.9600067138672,172.5,0.017500305175786934
5529,2024-10-04,151.9600067138672,153.8000030517578,144.9199981689453,145.66000366210938,173292,0.0,0.0,133.07359970092773,136.87732591332394,48.62806792748309,147.14707508417004,142.78524809189508,4.361826992274956,5.214690427575176,147.3470001220703,10.459023920514607,168.26504796309953,126.42895228104109,666577.05,131.61000061035156,172.5,0.9425003051757699
5528,2024-10-03,154.80999755859375,155.5,148.3000030517578,151.9600067138672,210333,0.0,0.0,132.6679995727539,136.5188492705164,58.312267840857885,147.4174517063629,142.55526764627794,4.862184060084957,5.427906286400232,146.40449981689454,11.42386428020711,169.25222837730877,123.55677125648032,660144.1,126.80999755859376,172.5,1.2235004425048999
5527,2024-10-01,144.89999389648438,158.0,143.91000366210938,155.5,464253,0.0,0.0,132.08059936523438,135.88859794629798,58.65211124019445,146.59153261408937,141.8028885208708,4.788644093218579,5.56933684297905,145.18099937438964,12.088586368435863,169.35817211126135,121.00382663751792,651821.8,126.80999755859376,172.5,1.2550003051757699
5526,2024-09-30,142.5,147.2899932861328,141.5,143.5,67747,0.0,0.0,131.447999420166,135.08813255635096,50.784908393687985,144.97181127119654,140.70711960254047,4.26469166865607,5.764510030419167,143.92599906921387,12.262566746558505,168.45113256233088,119.40086557609686,659856.9,126.80999755859376,172.5,0.9869998931884822
