,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
2321,2025-01-13,330.0,330.0,323.3999938964844,323.3999938964844,3982,0.0,0.0,364.34599975585945,369.6270021267045,14.909630732674728,340.0594312301502,351.8641504536306,-11.80471922348039,-9.654478722263349,352.2374984741211,17.35740439491827,386.9523072639576,317.52268968428456,4364.0,323.3999938964844,376.8999938964844,-1.9975006103515511
2320,2025-01-10,330.0,331.75,326.1499938964844,330.0,8479,0.0,0.0,365.7070001220704,371.5138187891624,16.555177119364586,343.08841983627127,354.14128297820236,-11.052863141931084,-9.116918596959088,354.23499908447263,16.118632959252412,386.47226500297745,321.9977331659678,4271.65,330.0,376.8999938964844,-2.0
2319,2025-01-09,332.79998779296875,334.0,332.79998779296875,332.79998779296875,2158,0.0,0.0,366.8990002441407,373.20826037239357,15.967732091103827,345.46813253377513,356.0725856164585,-10.604453082683392,-8.632932460716088,356.23499908447263,15.419734986918295,387.0744690583092,325.39552911063606,3924.2,332.79998779296875,376.8999938964844,-2.1100006103515625
2318,2025-01-08,333.20001220703125,340.0,333.20001220703125,333.20001220703125,5741,0.0,0.0,368.347000732422,374.85757762053333,22.372371409142815,347.77143157755813,357.9343934423377,-10.162961864779561,-8.14005230522426,358.3449996948242,14.923453402865032,388.19190650055424,328.49809288909415,3897.9,333.20001220703125,376.8999938964844,-2.4375
2317,2025-01-07,340.0,344.0,340.0,340.0,4157,0.0,0.0,369.77000061035164,376.55788641292116,22.338827566485563,350.42078055401754,359.91314394116216,-9.492363387144621,-7.634324915335435,360.7824996948242,14.577520298160561,389.9375402911453,331.6274590985031,3702.45,337.0,381.9500122070313,-2.4875000000000114
2316,2025-01-06,342.0,353.79998779296875,342.0,342.0,1874,0.0,0.0,371.46900085449226,378.05004504202,29.85914197428184,352.31546792747525,361.50619545645515,-9.190727528979892,-7.169815297383138,363.2699996948242,15.080535586934863,393.43107086869395,333.10892852095446,4663.4,337.0,389.75,-2.9449996948242188
2315,2025-01-03,346.8999938964844,346.8999938964844,338.0,346.8999938964844,7257,0.0,0.0,373.2510009765626,379.5214754518983,38.7866273467547,354.19100755065256,363.06669109297155,-8.875683542318995,-6.664587239483949,366.2149993896484,16.4014948464048,399.01798908245803,333.4120096968388,7656.9,337.0,400.8999938964844,-1.7475006103515511
2314,2025-01-02,340.1499938964844,340.54998779296875,339.0,340.1499938964844,6854,0.0,0.0,374.99400085449224,380.85296449497645,29.62456072375643,355.5166463968649,364.3600268686905,-8.843380471825583,-6.111813163775187,367.9625,16.094262561897068,400.1510251237941,335.77397487620584,8048.4,337.0,400.8999938964844,-1.1775009155273892
2313,2025-01-01,337.0,337.5,336.70001220703125,337.0,5823,0.0,0.0,377.32700073242194,382.5143102336904,24.700391242793216,358.3105832151159,366.296829506467,-7.986246291351108,-5.4289213367625875,369.14000091552737,14.758376032327698,398.6567529801828,339.62324885087196,9482.0,337.0,400.8999938964844,-0.469999694824196
2312,2024-12-31,343.54998779296875,348.0,343.54998779296875,343.54998779296875,481,0.0,0.0,379.39500061035164,384.3720371820043,24.569520255587733,362.18523470877335,368.64057586698436,-6.455341158211013,-4.789590098115457,369.61000061035156,13.799492487299048,397.2089855849497,342.01101563575344,10157.3,343.54998779296875,400.8999938964844,-0.5700012207031477
