,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
4586,2024-11-11,2108.0,2118.050048828125,2035.6500244140625,2054.0,208436,0.0,0.0,1767.90599609375,1851.4101228288646,67.61661797827978,1972.4459324892534,1886.3936290183588,86.05230347089469,56.961826625914625,1869.809991455078,150.87597567540698,2171.561942805892,1568.0580401042641,310375.1,1627.3499755859375,2117.39990234375,16.66249999999991
4585,2024-11-08,2107.5,2145.0,2056.550048828125,2071.5,121623,0.0,0.0,1762.9379956054688,1843.141148250451,63.34645240490159,1957.6179202145722,1872.9851193398274,84.63280087474482,49.68920741466961,1853.1474914550781,147.83486241570236,2148.817216286483,1557.4777666236735,304941.45,1627.3499755859375,2117.39990234375,15.070001220703034
4584,2024-11-07,2120.25,2160.0,2089.0,2107.25,225897,0.0,0.0,1756.4569946289062,1833.8203787912855,64.614492877159,1936.9120875263125,1857.1039288870138,79.80815863929865,40.95330904965081,1838.077490234375,139.53395314634056,2117.145396527056,1559.009583941694,300271.95,1627.3499755859375,2117.39990234375,16.56500244140625
4583,2024-11-06,2060.0,2189.89990234375,2022.449951171875,2117.39990234375,468715,0.0,0.0,1749.5149951171875,1822.659986088889,67.85166920679399,1905.9415579856418,1837.0922431979748,68.84931478766703,31.239596652238852,1821.5124877929688,124.78249761527562,2071.07748302352,1571.9474925624177,290933.15,1627.3499755859375,2117.39990234375,18.462493896484375
4582,2024-11-05,1943.5999755859373,2116.0,1934.800048828125,2044.5,1409639,0.0,0.0,1743.3799975585937,1810.629785425425,68.05434517238453,1867.4945862841678,1814.6676304663126,52.82695581785515,21.837167118381807,1803.0499938964845,104.34209370016337,2011.7341812968111,1594.3658064961578,270499.3,1627.3499755859375,2044.5,16.662500000000136
4581,2024-11-04,2015.5,2015.5,1905.050048828125,1934.699951171875,215412,0.0,0.0,1739.3999975585937,1801.0840623815648,60.57015320370164,1835.31178379038,1796.2810409036176,39.03074288676248,14.089719943513472,1786.3874938964843,89.27619271969147,1964.9398793358673,1607.8351084571013,206769.3,1627.3499755859375,1999.8499755859373,13.30999755859375
4580,2024-11-01,1940.0,2016.0,1935.5999755859373,1999.8499755859373,190292,0.0,0.0,1738.8459985351562,1795.6303526350214,66.99756498683915,1817.2412079028356,1785.2075280821568,32.0336798206788,7.854464207701218,1773.0774963378906,85.77580589993396,1944.6291081377585,1601.5258845380226,203929.65,1627.3499755859375,1999.8499755859373,11.379998779296784
4579,2024-10-31,1819.6500244140625,1944.4000244140625,1810.050048828125,1931.550048828125,309938,0.0,0.0,1737.1839990234375,1787.2948578206983,60.06483934827034,1784.0396137786352,1768.0361322818544,16.00348149678075,1.8096603044568225,1761.6974975585938,67.1906668955189,1896.0788313496316,1627.316163767556,200447.55,1627.3499755859375,1931.550048828125,7.2400024414062045
4578,2024-10-30,1790.449951171875,1888.0,1781.300048828125,1811.9000244140625,331954,0.0,0.0,1737.4389990234374,1781.4068908408035,52.61170211539509,1757.2195346787278,1754.9550189581528,2.264515720574991,-1.7387949936241598,1754.4574951171876,54.53464115790286,1863.5267774329934,1645.3882128013818,193116.3,1627.3499755859375,1856.0999755859373,-0.567498779296784
4577,2024-10-29,1753.8499755859375,1900.0,1701.0,1793.199951171875,973866,0.0,0.0,1739.8739990234376,1780.1622731439359,53.23008131547158,1747.2776274541216,1750.39941852168,-3.1217910675584335,-2.7396226721739474,1755.0249938964844,55.2186267661951,1865.4622474288747,1644.587740364094,188194.25,1627.3499755859375,1856.0999755859373,-3.030004882812591
