,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
4279,2025-02-12,943.4500122070312,987.6500244140624,921.5999755859376,978.9500122070312,242640,0.0,0.0,913.407001953125,919.1133050315282,65.0165894363368,944.4436523482264,928.0302050617349,16.41344728649142,11.43398311655015,926.2850067138672,28.5867299349385,983.4584665837442,869.1115468439903,122242.7,895.1500244140625,985.3499755859376,4.1399993896484375
4278,2025-02-11,952.6500244140624,952.6500244140624,922.2000122070312,945.1500244140624,62850,0.0,0.0,912.1790014648437,916.6709904529362,53.03066272544668,938.1697687375345,923.9566204901113,14.213148247423192,10.189117074064832,922.1450073242188,26.4759512475377,975.0969098192942,869.1931048291434,118793.95,895.1500244140625,985.3499755859376,1.275000000000091
4277,2025-02-10,966.0,966.0,936.1500244140624,952.6500244140624,59288,0.0,0.0,911.1520007324219,915.5085809035024,57.182394617531486,936.9006313418022,922.2611481761951,14.63948316560709,9.18310928072524,920.8700073242187,25.917912443546857,972.7058322113124,869.034182437125,119325.05,895.1500244140625,985.3499755859376,3.375
4276,2025-02-07,985.0,989.7000122070312,951.0999755859376,960.9000244140624,128743,0.0,0.0,909.4080004882812,913.9926036173572,62.5912120648627,934.037105328664,919.8300380771657,14.207067251498302,7.819015809504778,917.4950073242187,25.956604185556163,969.408215695331,865.5817989531064,119871.05,885.1500244140625,985.3499755859376,2.6200012207031023
4275,2025-02-06,934.0,993.0,927.0,985.3499755859376,231979,0.0,0.0,907.4340002441406,912.07801501341,70.52915798064159,929.1529382222279,916.544439170214,12.60849905201394,6.222002949006397,914.8750061035156,23.90858383216156,962.6921737678388,867.0578384391924,117458.9,885.1500244140625,985.3499755859376,2.9224975585937045
4274,2025-02-05,949.5499877929688,949.5499877929688,921.5,933.6500244140624,110999,0.0,0.0,905.1720007324219,909.0873227451435,60.66057698794421,918.9352950651898,911.0399962569561,7.895298808233747,4.62537892325451,911.9525085449219,17.573675196832312,947.0998589385865,876.8051581512573,109575.8,885.1500244140625,953.25,0.6300018310547557
4273,2025-02-04,972.0,972.0,922.8499755859376,940.25,116949,0.0,0.0,904.2190002441406,908.0847634933509,64.58332996940167,916.2598897290311,909.2311940043876,7.028695724643512,3.8078989520096997,911.3225067138671,16.97039376491,945.2632942436871,877.3817191840471,107173.05,885.1500244140625,953.25,-0.0149993896484375
4272,2025-02-03,985.0,994.8499755859376,940.0,953.25,197963,0.0,0.0,902.2009997558594,906.7718966971611,60.38960597774806,911.8980514979459,906.7496895247385,5.148361973207329,3.0026997588512465,911.3375061035156,16.997418238881878,945.3323425812794,877.3426696257518,109596.5,885.1500244140625,953.25,3.9649993896483693
4271,2025-01-31,908.0,920.0,896.0499877929688,903.4500122070312,301723,0.0,0.0,899.4945520019531,904.8748312562288,56.24999739433183,904.3795154066632,903.0296646867176,1.3498507199456071,2.466284205262226,907.3725067138672,15.920981623070139,939.2144699600075,875.530543467727,104402.0,873.9500122070312,940.5499877929688,-1.6524993896483693
4270,2025-01-30,905.7000122070312,913.0,900.0,902.2000122070312,33327,0.0,0.0,897.8835119628907,904.9329871357879,48.13056674332588,904.5485159884145,902.9960368850925,1.5524791033219572,2.7453925765913803,909.0250061035156,17.15944619141057,943.3438984863367,874.7061137206945,99479.95,873.9500122070312,940.5499877929688,1.3225006103515398
