,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
1698,2025-02-18,123.31999969482422,127.66999816894533,120.01000213623048,124.05999755859376,10024,0.0,0.0,143.04759918212892,139.83084457124096,47.09613928165308,129.0040637459461,133.42819641273684,-4.42413266679074,-4.194812940214462,130.3729995727539,5.246275120718968,140.86554981419184,119.88044933131597,8114.05,123.31999969482422,138.4199981689453,-0.6934997558593636
1697,2025-02-17,128.89999389648438,128.89999389648438,121.0,123.31999969482422,2698,0.0,0.0,143.9607992553711,140.4745526125735,49.7333604333311,129.90298487091923,134.17765232106828,-4.274667450149053,-4.137483008570392,131.06649932861328,5.284435747920564,141.6353708244544,120.49762783277215,7789.05,123.31999969482422,138.4199981689453,-0.7164997100830135
1696,2025-02-14,133.0,134.49000549316406,124.20999908447266,125.38999938964844,9581,0.0,0.0,144.77699935913085,141.174738445951,51.77407788941853,131.09989126657288,135.0462645311678,-3.946373264594911,-4.103186898175727,131.7829990386963,5.148564796247639,142.08012863119157,121.48586944620101,8215.95,123.5500030517578,138.4199981689453,-0.6590003967285156
1695,2025-02-13,126.87999725341795,132.77999877929688,126.87999725341795,128.72000122070312,2740,0.0,0.0,145.5161994934082,141.81901350947354,45.7551244528579,132.13805342601367,135.81876574248935,-3.6807123164756774,-4.14239030657093,132.4419994354248,5.13068209407783,142.70336362358046,122.18063524726915,8051.95,123.5500030517578,138.57000732421875,-0.44300003051756676
1694,2025-02-12,140.0,140.0,125.86000061035156,126.87999725341795,4766,0.0,0.0,146.17699935913086,142.3536670722805,42.74193937291626,132.75951746334286,136.38666690423224,-3.627149440889383,-4.257809804094743,132.88499946594237,5.174710231529752,143.2344199290019,122.53557900288287,8357.2,123.5500030517578,138.57000732421875,-0.4034999847412166
1693,2025-02-11,131.5,139.47999572753906,129.0,129.97000122070312,6227,0.0,0.0,146.9361993408203,142.98524543223408,43.68456421693246,133.82852113787465,137.1472004762974,-3.318679338422754,-4.415474894896082,133.2884994506836,4.993273432705272,143.27504631609412,123.30195258527304,8965.4,123.5500030517578,138.57000732421875,-0.439499664306652
1692,2025-02-10,137.0,137.39999389648438,131.14999389648438,134.0399932861328,2084,0.0,0.0,147.72059936523436,143.51647988984757,45.48828655233842,134.530070213724,137.72137641674493,-3.191306203020929,-4.689673784014413,133.72799911499024,5.072030842354244,143.87206079969872,123.58393743028175,9441.85,123.5500030517578,138.75999450683594,-0.2615005493163949
1691,2025-02-07,138.66000366210938,138.8800048828125,137.1199951171875,137.85000610351562,2477,0.0,0.0,148.25259948730468,143.90327526142778,50.252668361402876,134.61917510964966,138.01588706719392,-3.3967119575442553,-5.064265679262784,133.98949966430663,5.22158107990703,144.4326618241207,123.54633750449257,10133.95,123.5500030517578,139.27000427246094,-0.4209999084472713
1690,2025-02-06,139.0,139.94000244140625,135.00999450683594,138.4199981689453,2554,0.0,0.0,148.77179931640626,144.15034747195477,49.81215987294663,134.03175129258312,138.02915754428818,-3.9974062517050584,-5.481154109692415,134.4104995727539,5.850756745981457,146.11201306471682,122.708986080791,10360.0,123.5500030517578,146.27000427246094,-0.46450042724609375
1689,2025-02-05,136.89999389648438,139.0,131.89999389648438,134.19000244140625,7560,0.0,0.0,149.3097994995117,144.38423928024088,45.380215652457444,133.23388822415365,137.99789029431562,-4.764002070161979,-5.852091074189254,134.875,6.51670458283028,147.90840916566057,121.84159083433944,10573.5,123.5500030517578,147.7100067138672,-0.7639999389648438
