,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
2447,2025-01-22,562.5,569.7000122070312,548.0,556.0,281158,0.0,0.0,658.2680029296876,650.7377051893914,5.4438849840255585,587.2391529668162,619.2934567134314,-32.05430374661523,-26.872592399695794,619.1275024414062,45.96746958949034,711.062441620387,527.1925632624256,63898.8,556.0,679.5,-6.7350006103515625
2446,2025-01-21,574.2999877929688,574.5,560.0,562.6500244140625,46249,0.0,0.0,661.1880029296875,654.6045502991625,5.608284774646435,592.9189989607828,624.3569332505059,-31.437934289723103,-25.577164562965933,625.8625030517578,46.099146512241596,718.060796076241,533.6642100272746,52191.1,562.6500244140625,690.7000122070312,-4.7374999999999545
2445,2025-01-20,578.4500122070312,578.4500122070312,567.0,569.1500244140625,46802,0.0,0.0,664.6810021972656,658.3577962536564,6.284123844750468,598.4224488783683,629.2934859574214,-30.871037079053053,-24.111972131276637,630.6000030517578,44.08569080847078,718.7713846686993,542.4286214348163,51538.6,565.5999755859375,690.7000122070312,-4.619998168945358
2444,2025-01-17,580.1500244140625,587.0,565.2000122070312,569.9000244140625,72645,0.0,0.0,668.1190014648438,661.9989297981296,6.057918608290066,603.7447078718784,634.1049628808901,-30.360255009011667,-22.422205894332535,635.2200012207031,42.10408691653536,719.4281750537739,551.0118273876324,55413.7,565.5999755859375,690.7000122070312,-4.839999389648483
2443,2025-01-16,575.0,576.0,561.0,565.5999755859375,76278,0.0,0.0,671.3670007324218,665.7580687933976,2.182970401756336,609.8982866823903,639.2413579582362,-29.343071275845887,-20.437693615662752,640.0600006103516,39.6949608403829,719.4499222911174,560.6700789295858,55179.85,565.5999755859375,690.7000122070312,-5.2100006103514716
2442,2025-01-15,578.0999755859375,585.2000122070312,569.0,570.5999755859375,127082,0.0,0.0,674.9070007324219,669.8461542304367,3.713239847886314,617.9525250635636,645.1326685480202,-27.180143484456607,-18.21134920061697,645.2700012207031,36.08133924318872,717.4326797070805,573.1073227343256,52818.3,570.5999755859375,690.7000122070312,-5.0100006103516534
2441,2025-01-14,588.8499755859375,588.8499755859375,572.0,576.9000244140625,60868,0.0,0.0,678.6900012207032,673.897018664906,3.5130166116568233,626.562079514041,651.0952839849868,-24.53320447094586,-15.969150629657058,650.2800018310547,31.879347508534366,714.0386968481234,586.521306813986,49770.2,576.9000244140625,690.7000122070312,-4.962499999999977
2440,2025-01-13,609.9500122070312,610.0,575.0999755859375,579.7000122070312,85421,0.0,0.0,681.0600012207032,677.8560796547364,24.591205738987213,635.5915440776733,657.0309047506609,-21.439360672987505,-13.828137169334855,655.2425018310547,27.24322418081308,709.7289501926808,600.7560534694286,49124.8,579.7000122070312,690.7000122070312,-5.23999938964846
2439,2025-01-10,620.25,622.5999755859375,606.5499877929688,609.5999755859375,76810,0.0,0.0,683.3690014648438,681.8624497546427,29.571342098277526,645.7536407814264,663.2173761541511,-17.463735372724727,-11.925331293421692,660.4825012207032,21.40075453661708,703.2840102939373,617.680992147469,47063.55,609.5999755859375,690.7000122070312,-4.5475006103515625
2438,2025-01-09,621.7000122070312,629.9000244140625,617.9500122070312,620.1500244140625,32830,0.0,0.0,684.6680017089843,684.8119384962225,30.882933140961583,652.3270344533335,667.5067681996081,-15.179733746274678,-10.540730273595933,665.0300018310547,19.607504510178885,704.2450108514125,625.8149928106969,45270.45,620.1500244140625,700.5499877929688,-5.0774993896484375
2437,2025-01-08,642.0,642.0,623.0,626.5499877929688,48852,0.0,0.0,685.7360009765625,687.4512002954943,31.743325284616446,658.1773999150191,671.2953077024519,-13.117907787432728,-9.380979405426247,670.1075012207032,20.501974399455474,711.1114500196142,629.1035524217922,52733.15,626.5499877929688,721.7000122070312,-6.714999389648369
2436,2025-01-07,651.75,658.0999755859375,637.5,639.0499877929688,93595,0.0,0.0,686.9180017089843,689.9369640711077,35.15659152206342,663.9278384826647,674.8749332952106,-10.947094812545856,-8.446747309924627,676.8225006103515,26.577991957237384,729.9784845248263,623.6665166958768,74149.05,639.0499877929688,760.8499755859375,-2.7925018310546648
2435,2025-01-06,665.5999755859375,667.1500244140625,650.0,651.7000122070312,27261,0.0,0.0,688.2380017089844,692.0139835110317,37.73203655622746,668.4510840626094,677.7409289353899,-9.289844872780463,-7.821660434269319,679.6150024414062,25.30391719821244,730.2228368378311,629.0071680449813,71640.25,651.7000122070312,760.8499755859375,-2.112500000000068
