,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
3523,2025-01-13,6455.0,6524.9501953125,6139.64990234375,6163.7001953125,7646,0.0,0.0,7507.862001953125,7447.8513272231585,14.495517338740399,6894.167178030965,7173.635108716516,-279.4679306855505,-203.61823824357114,7136.3625,337.5812562128024,7811.525012425605,6461.199987574395,4513.15,6163.7001953125,7594.0498046875,-75.78749999999945
3522,2025-01-10,6811.0498046875,6829.7998046875,6498.85009765625,6576.2998046875,6436,0.0,0.0,7546.81,7500.265659137879,17.47342595115144,7026.97935670705,7254.429901788837,-227.4505450817869,-184.6558151330763,7212.15,271.37644945846114,7754.902898916922,6669.397101083077,4344.95,6576.2998046875,7679.4501953125,-53.39501953125
3521,2025-01-09,6881.85009765625,6900.0,6785.0,6830.85009765625,2767,0.0,0.0,7576.7180078125,7537.978551156262,22.216221077676238,7108.921093437877,7308.680309556944,-199.75921611906688,-173.9571326458986,7265.54501953125,243.28883714075639,7752.122693812762,6778.967345249737,4250.8,6830.85009765625,7679.4501953125,-44.9849853515625
3520,2025-01-08,6994.64990234375,7056.0,6822.0,6881.85009765625,7252,0.0,0.0,7596.792001953125,7566.840937013405,21.426894909983545,7159.479456307263,7346.906726509,-187.42727020173697,-167.50661177760654,7310.530004882812,241.8564716000225,7794.242948082857,6826.817061682767,4801.25,6881.85009765625,7730.5498046875,-36.5050048828125
3519,2025-01-07,7095.0,7148.2001953125,6852.0498046875,6960.5498046875,7560,0.0,0.0,7614.357998046875,7594.799746783085,21.81652707235446,7209.957521516538,7384.11125681722,-174.15373530068246,-162.5264471715739,7347.035009765625,228.47686338589276,7803.98873653741,6890.0812829938395,4680.9,6960.5498046875,7730.5498046875,-36.295019531250546
3518,2025-01-06,7263.35009765625,7275.75,7005.0,7077.4501953125,4377,0.0,0.0,7636.607001953125,7620.6874995216795,23.307868910361535,7255.304379121817,7417.996172987598,-162.6917938657807,-159.61962513929674,7383.330029296875,221.3971366869641,7826.124302670803,6940.535755922947,4590.7,7060.25,7730.5498046875,-31.947485351562136
3517,2025-01-03,7232.0,7364.0,7232.0,7263.35009765625,3840,0.0,0.0,7658.00099609375,7642.86045071389,26.009007745940806,7287.641503450784,7445.239851201606,-157.59834775082254,-158.85158295767576,7415.277514648437,221.0355272251068,7857.348569098651,6973.206460198224,4687.75,7060.25,7730.5498046875,-24.592504882813046
3516,2025-01-02,7297.64990234375,7297.64990234375,7180.0,7264.5498046875,4044,0.0,0.0,7672.007998046875,7658.350669206037,28.937587836351597,7292.058122686153,7459.791031485234,-167.7329087990811,-159.16489175938904,7439.87001953125,230.40548290324216,7900.6809853377345,6979.059053724766,4827.8,7060.25,7755.2001953125,-26.347509765624636
3515,2025-01-01,7125.0,7252.0,7080.0498046875,7226.10009765625,2720,0.0,0.0,7693.843994140625,7674.424173880263,23.426263503408933,7297.059635049545,7475.410329629052,-178.35069457950704,-157.022887499466,7466.217529296875,239.26088871446308,7944.739306725801,6987.695751867949,4952.05,7060.25,7791.5,-29.319995117187318
3514,2024-12-31,7050.0,7133.0,7000.0,7103.4501953125,2928,0.0,0.0,7725.458984375,7692.723115766957,23.098101537224764,7309.961369121054,7495.355148186877,-185.39377906582286,-151.69093572945573,7495.537524414062,244.16685524079455,7983.8712348956515,7007.203813932473,5089.15,7060.25,7812.5,-36.009985351563046
