,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
1922,2025-01-21,59.52000045776367,59.52000045776367,59.52000045776367,59.52000045776367,0,0.0,0.0,68.96019981384278,68.7156609149179,0.0,63.46633774828541,66.2853078294797,-2.818970081194294,-2.1165643416300304,66.43200016021729,4.270044557212681,74.97208927464264,57.89191104579192,142.75,59.52000045776367,73.0999984741211,-0.6789999008178711
1921,2025-01-20,59.52000045776367,61.29999923706055,59.52000045776367,59.52000045776367,1204,0.0,0.0,69.15579986572266,69.09099399480175,0.0,64.18385361928937,66.82653241921699,-2.642678799927623,-1.9409629067389642,67.11100006103516,4.192085112461416,75.49517028595798,58.72682983611232,142.75,59.52000045776367,73.0999984741211,-0.6789999008178711
1920,2025-01-17,62.65999984741211,62.65999984741211,62.65999984741211,62.65999984741211,0,0.0,0.0,69.39779991149902,69.48164679223187,0.0,65.03182692138495,67.41105497613326,-2.3792280547483102,-1.7655339334417994,67.78999996185303,3.992901490349738,75.7758029425525,59.80419698115355,82.55,62.65999984741211,73.0999984741211,-0.5219999313354435
1919,2025-01-16,62.65999984741211,62.65999984741211,62.65999984741211,62.65999984741211,0,0.0,0.0,69.58439987182618,69.76008136140818,0.0,65.46306820756182,67.79113938643096,-2.3280711788691377,-1.6121104031151716,68.31199989318847,3.9692998745033115,76.2505996421951,60.37340014418185,82.55,62.65999984741211,73.0999984741211,-0.5219999313354577
1918,2025-01-15,62.65999984741211,62.65999984741211,62.65999984741211,62.65999984741211,0,0.0,0.0,69.77099983215332,70.04988060687741,0.0,65.97271700031631,68.20163054955246,-2.228913549236154,-1.4331202091766801,68.83399982452393,3.8721790119296515,76.57835784838323,61.08964180066462,82.55,62.65999984741211,73.0999984741211,-0.5219999313354435
1917,2025-01-14,62.65999984741211,62.65999984741211,62.65999984741211,62.65999984741211,0,0.0,0.0,69.89959976196289,70.35150839297803,0.0,66.57502920993525,68.64496100572369,-2.0699317957884347,-1.2341718741618115,69.35599975585937,3.695747384728376,76.74749452531613,61.964504986402616,82.55,62.65999984741211,73.0999984741211,-0.5219999313354577
1916,2025-01-13,65.86000061035156,65.86000061035156,62.65999984741211,62.65999984741211,153,0.0,0.0,70.07339973449707,70.66544751728685,0.0,67.286852730394,69.12375789838862,-1.8369051679946153,-1.0252318937551557,69.87799968719483,3.4277801545061832,76.73355999620719,63.02243937818246,82.55,62.65999984741211,73.0999984741211,-0.5219999313354435
1915,2025-01-10,65.95999908447266,65.95999908447266,65.95999908447266,65.95999908447266,0,0.0,0.0,70.26679977416993,70.99220048340419,0.0,68.12809870911798,69.64085854246673,-1.5127598333487526,-0.8223135751952906,70.39999961853027,3.044200136017325,76.48839989056492,64.31159934649563,74.9,65.95999908447266,73.0999984741211,-0.3569999694824162
1914,2025-01-09,65.95999908447266,65.95999908447266,65.95999908447266,65.95999908447266,0,0.0,0.0,70.36339981079101,71.19759645887078,0.0,68.52229864087167,69.93532729910625,-1.4130286582345803,-0.649702010656925,70.75699958801269,2.9118934372487493,76.58078646251019,64.93321271351519,145.9,65.95999908447266,73.0999984741211,-0.30900001525878906
1913,2025-01-08,65.95999908447266,65.95999908447266,65.95999908447266,65.95999908447266,0,0.0,0.0,70.45419982910157,71.4113759435401,0.0,68.98817128748968,70.25335355627693,-1.2651822687872567,-0.4588703487625111,71.06599960327148,2.695954072306108,76.4579077478837,65.67409145865926,342.15,65.95999908447266,73.0999984741211,-0.42500000000001137
