,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
888,2024-07-26,44.77999877929688,44.77999877929688,42.0099983215332,42.36000061035156,41661,0.0,0.0,47.20680000305176,45.75408474277568,38.035717813334685,43.43017771452945,44.67782877804024,-1.2476510635107871,-1.1981174254855993,44.454999923706055,1.9885559353615634,48.43211179442918,40.47788805298293,56877.6,41.16999816894531,48.130001068115234,-0.22749996185302734
887,2024-07-25,43.91999816894531,43.91999816894531,41.90999984741211,43.45000076293945,26989,0.0,0.0,47.31159996032715,45.892618788997076,40.31546210526924,43.62475536983452,44.86325503145533,-1.2384996616208142,-1.1857340159793022,44.68249988555908,1.9965182496529843,48.67553638486505,40.68946338625312,55848.8,41.16999816894531,48.130001068115234,-0.18150005340576314
886,2024-07-24,43.790000915527344,43.790000915527344,41.0,42.060001373291016,28404,0.0,0.0,47.40259994506836,45.9923174839382,36.933346082892825,43.65652893472453,44.9763153729366,-1.3197864382120699,-1.172542604568924,44.863999938964845,2.0430335212029846,48.95006698137082,40.77793289655887,56679.55,41.16999816894531,48.130001068115234,-0.16649990081786825
885,2024-07-23,43.97999954223633,43.97999954223633,40.0,42.5099983215332,31940,0.0,0.0,47.47639991760254,46.152820182331965,36.884156726535196,43.94680667316699,45.20962049290824,-1.262813819741254,-1.1357316461581375,45.03049983978271,1.9353437955539436,48.9011874308906,41.159812248674825,57896.65,41.16999816894531,48.130001068115234,-0.12000007629394815
884,2024-07-22,44.95000076293945,44.95000076293945,42.5099983215332,43.0099983215332,43495,0.0,0.0,47.524199981689456,46.30150678889518,34.19753429457354,44.20804455528223,45.425590266618244,-1.2175457113360153,-1.1039611027623584,45.15049991607666,1.8430402301809858,48.83658037643863,41.46441945571469,57602.95,41.16999816894531,48.130001068115234,-0.0785001754760728
883,2024-07-19,47.95000076293945,47.95000076293945,43.34999847412109,44.869998931884766,80137,0.0,0.0,47.58,46.435854073277305,40.86021863734412,44.42587114323659,45.618837622225044,-1.1929664789884526,-1.0755649506189442,45.229000091552734,1.7794088898611555,48.787817871275045,41.67018231183042,58534.8,41.16999816894531,48.130001068115234,-0.08950004577636861
882,2024-07-18,41.02000045776367,45.27999877929688,40.709999084472656,44.41999816894531,150724,0.0,0.0,47.5816000366211,46.49976652802802,41.760424579758805,44.34512063620965,45.67874471745227,-1.3336240812426183,-1.046214568526567,45.3185001373291,1.8052306639868345,48.92896146530277,41.708038809355436,60023.0,41.16999816894531,48.130001068115234,-0.19700012207031392
881,2024-07-16,41.70000076293945,42.9900016784668,41.0,41.16999816894531,67140,0.0,0.0,47.57520004272461,46.58465503248037,25.436422420627153,44.331506539348624,45.77944444133282,-1.4479379019841971,-0.9743621903475539,45.51550025939942,1.9137389091027344,49.34297807760488,41.68802244119395,53583.5,41.16999816894531,48.36000061035156,-0.3770000457763629
880,2024-07-15,45.400001525878906,45.400001525878906,41.0,41.68999862670898,77560,0.0,0.0,47.6168000793457,46.80566143507364,35.98486260604194,44.90632624305832,46.148200143123816,-1.2418739000654995,-0.8559682624383931,45.89250030517578,1.748147730524284,49.38879576622435,42.39620484412721,52273.85,41.68999862670898,48.709999084472656,-0.40500011444091655
879,2024-07-12,45.97999954223633,45.97999954223633,43.20000076293945,43.86000061035156,42462,0.0,0.0,47.63200012207031,47.01446399868036,45.43875760991436,45.49111308239456,46.504856264437,-1.0137431820424396,-0.7594918530316165,46.297500419616696,1.6593178380102103,49.61613609563712,42.978864743596276,49875.75,43.68999862670898,49.790000915527344,-0.2529998779296889
878,2024-07-11,43.91999816894531,47.380001068115234,43.02999877929688,44.9900016784668,131074,0.0,0.0,47.61880012512207,47.14321760636725,51.914096378890605,45.78767898640238,46.71644471676384,-0.9287657303614552,-0.6959290207789106,46.550500297546385,1.6538517788811142,49.858203855308616,43.242796739784154,48407.75,43.68999862670898,49.790000915527344,-0.17799987792968608
877,2024-07-10,44.9900016784668,45.9900016784668,42.880001068115234,43.68999862670898,60518,0.0,0.0,47.59900009155273,47.23110397077135,37.07571888251002,45.93271122420885,46.85456015982761,-0.9218489356187547,-0.6377198433832744,46.72850017547607,1.6685709196126925,50.06564201470145,43.39135833625069,42425.05,43.68999862670898,49.790000915527344,-0.3315000534057617
876,2024-07-09,45.22999954223633,46.66999816894531,43.5099983215332,44.7400016784668,32491,0.0,0.0,47.62120010375977,47.3756388827739,35.09061788966855,46.34047715102702,47.1077250824771,-0.7672479314500862,-0.5666875703244042,47.06000022888183,1.6915732445088174,50.44314671789947,43.6768537398642,40387.95,44.58000183105469,50.31999969482422,-0.31099987030029297
875,2024-07-08,44.20000076293945,45.59000015258789,44.20000076293945,45.22999954223633,34809,0.0,0.0,47.640400085449215,47.48321591152112,35.500006516772416,46.63147269149251,47.29714295479793,-0.6656702633054152,-0.5165474800429837,47.371000099182126,1.8102073187805965,50.991414736743316,43.750585461620936,42246.85,44.58000183105469,50.959999084472656,-0.13600006103516193
874,2024-07-05,47.29999923706055,47.29999923706055,45.119998931884766,46.380001068115234,27303,0.0,0.0,47.66780006408691,47.575183926593965,35.70830398234432,46.88628599135727,47.46251442780285,-0.5762284364455823,-0.4792667842273758,47.50700016021729,1.7417716064870925,50.99054337319147,44.023456947243105,42507.25,44.58000183105469,50.959999084472656,-0.11350002288818217
873,2024-07-04,47.0099983215332,47.650001525878906,45.7599983215332,46.52000045776367,52002,0.0,0.0,47.69120002746582,47.62396690040942,40.52134165173884,46.978337795583094,47.54911549657786,-0.5707777009947677,-0.4550263711728242,47.62050018310547,1.7384245486937628,51.097349280493,44.14365108571794,41972.95,44.58000183105469,50.959999084472656,0.008500099182128906
872,2024-07-03,46.619998931884766,47.459999084472656,45.619998931884766,45.97999954223633,39027,0.0,0.0,47.730800018310546,47.669026755211284,39.711775162025305,47.061671857004804,47.631444699682994,-0.5697728426781907,-0.4260885387173383,47.61200008392334,1.7444937168107857,51.100987517544915,44.12301265030177,39778.05,44.58000183105469,50.959999084472656,-0.09099998474120952
871,2024-07-02,49.77999877929688,49.79999923706055,46.040000915527344,46.45000076293945,93083,0.0,0.0,47.76220001220703,47.73796664145516,35.96810150687406,47.25833955059907,47.76356031227873,-0.5052207616796593,-0.3901674627271252,47.70300006866455,1.7018288336361096,51.10665773593677,44.29934240139233,38931.05,44.58000183105469,50.959999084472656,-0.1799999237060561
870,2024-07-01,46.650001525878906,49.5,46.650001525878906,48.130001068115234,25501,0.0,0.0,47.803199996948244,47.79053667731294,38.901971883744814,47.40531023926445,47.86864507622587,-0.4633348369614154,-0.3614041379889916,47.88299999237061,1.751970388276102,51.38694076892281,44.3790592158184,36880.3,44.58000183105469,50.959999084472656,-0.1359998703002887
869,2024-06-28,46.709999084472656,49.13999938964844,46.150001525878906,47.59000015258789,51232,0.0,0.0,47.81759994506836,47.77668098789244,48.81734368765401,47.27354827038249,47.84773659687472,-0.5741883264922265,-0.3359214632458857,48.018999862670896,1.8735100150222794,51.766019892715455,44.271979832626336,37926.35,44.58000183105469,50.959999084472656,-0.2954999923706083
868,2024-06-27,47.70000076293945,47.70000076293945,46.0099983215332,46.90999984741211,21085,0.0,0.0,47.84379997253418,47.78430061382324,44.291333704623824,47.216011564526966,47.868355512417665,-0.6523439478906994,-0.2763547474343005,48.314499855041504,2.2337326866847893,52.78196522841108,43.847034481671926,37753.1,44.58000183105469,53.5,-0.21949996948242045
867,2024-06-26,46.0,47.5,44.59999847412109,47.08000183105469,43604,0.0,0.0,47.90360000610352,47.81998635939104,52.101333452803416,47.27165005854785,47.945023965618105,-0.6733739070702569,-0.18235744732020076,48.533999824523924,2.303071794848036,53.14014341422,43.92785623482785,38490.9,44.58000183105469,53.5,-0.24599990844726705
866,2024-06-25,44.90999984741211,46.75,44.88999938964844,45.38999938964844,52746,0.0,0.0,47.98,47.850189809527215,42.965558385463446,47.30649519081933,48.01422573638318,-0.7077305455638552,-0.05960333238268668,48.77999973297119,2.400300223596306,53.580600180163806,43.97939928577858,37373.8,44.58000183105469,53.5,-0.45050010681152486
865,2024-06-24,44.58000183105469,45.75,43.54999923706055,44.90999984741211,26066,0.0,0.0,48.08220001220703,47.95060574503247,36.402119114618934,47.6549489728504,48.22416384412196,-0.5692148712715621,0.10242847091260544,49.230499839782716,2.5700777482029102,54.370655336188534,44.0903443433769,36548.15,44.58000183105469,54.400001525878906,-0.5020000457763629
864,2024-06-21,47.31999969482422,47.5,44.0,44.58000183105469,62132,0.0,0.0,48.19,48.07471210820064,33.81518907070682,48.154030632021,48.48929696385875,-0.3352663318377509,0.27033930645864734,49.73249988555908,2.66069423776928,55.05388836109764,44.41111141002052,38646.35,44.58000183105469,54.95000076293945,-0.3909999847412138
863,2024-06-20,48.150001525878906,49.4900016784668,46.02000045776367,46.65999984741211,109901,0.0,0.0,48.25739997863769,48.21735334400252,32.84855063549891,48.803854050378504,48.80204057448307,0.001813475895431793,0.4217407160327469,50.12349987030029,2.428084492472892,54.979668855246075,45.26733088535451,39197.15,46.34999847412109,54.95000076293945,-0.16450004577636435
862,2024-06-19,49.0,49.900001525878906,48.0,48.36000061035156,21934,0.0,0.0,48.23819999694824,48.28091879284294,42.8082247386028,49.19364572364512,48.97340383264875,0.2202418909963697,0.5267225260670756,50.28799991607666,2.2885223453672556,54.86504460681117,45.71095522534215,37416.3,46.34999847412109,54.95000076293945,-0.006999969482421875
861,2024-06-18,49.70000076293945,49.70000076293945,48.0,48.709999084472656,40947,0.0,0.0,48.14199996948242,48.27769096355687,42.08754313780465,49.345217562425766,49.02247609043252,0.3227414719932469,0.6033426848347521,50.29499988555908,2.2825209789226504,54.86004184340438,45.72995792771378,37461.0,46.34999847412109,54.95000076293945,0.07799987792968466
860,2024-06-14,48.91999816894531,51.970001220703125,48.52000045776367,49.790000915527344,29598,0.0,0.0,47.997799987792966,48.26004573413174,39.57485551257194,49.46071183114451,49.0474742509093,0.4132375802352044,0.6734929880451282,50.217000007629395,2.3647103515633194,54.94642071075603,45.48757930450276,35859.25,46.34999847412109,54.95000076293945,0.11700000762939311
859,2024-06-13,49.22999954223633,49.790000915527344,48.560001373291016,48.91999816894531,13102,0.0,0.0,47.827999954223635,48.197598583870686,36.16337474761994,49.400841088529454,48.98807211773986,0.4127689707895925,0.7385568399976091,50.1,2.4435244438782173,54.98704888775644,45.212951112243566,35908.6,46.34999847412109,54.95000076293945,0.10349998474121236
858,2024-06-12,49.40999984741211,49.79999923706055,47.720001220703125,48.54999923706055,11420,0.0,0.0,47.64959999084473,48.1681128865207,41.96912498947657,49.48826707390839,48.993518033643426,0.49474904026496347,0.8200038072996132,49.99650001525879,2.5381435726143873,55.072787160487565,44.920212870030014,36031.3,46.34999847412109,54.95000076293945,0.047500038146971235
857,2024-06-11,52.09999847412109,52.09999847412109,50.130001068115234,50.31999969482422,19776,0.0,0.0,47.47459999084472,48.152525688539484,50.7505047702276,49.65886122606254,49.028999537370055,0.6298616886924862,0.9013174990582756,49.94899997711182,2.575256892364422,55.09951376184066,44.798486192382974,35722.75,46.34999847412109,54.95000076293945,0.1159999847412152
856,2024-06-10,48.5,52.7400016784668,48.0,50.959999084472656,69669,0.0,0.0,47.27620002746582,48.06405736175235,54.831104547849115,49.538654231742235,48.925719524773726,0.6129347069685096,0.9691814516497229,49.8329999923706,2.6096869479809315,55.05237388833247,44.61362609640874,35919.9,46.34999847412109,54.95000076293945,0.2604999542236328
855,2024-06-07,49.04999923706055,50.400001525878906,47.70000076293945,47.95000076293945,40017,0.0,0.0,47.08400001525879,47.94585565878417,51.680670181209294,49.28022789488216,48.76297715999781,0.5172507348843496,1.058243137820026,49.57250003814697,2.7476536480563256,55.06780733425962,44.07719274203432,33017.75,45.75,54.95000076293945,0.1524999618530245
854,2024-06-06,46.400001525878906,48.650001525878906,45.0,48.650001525878906,16617,0.0,0.0,46.92300003051758,47.945686470859464,52.56410360911034,49.52208737341719,48.82801527176248,0.6940721016547116,1.1934912385539451,49.420000076293945,2.921580542911501,55.263161162116944,43.57683899047095,31244.9,44.900001525878906,54.95000076293945,0.1425001144409208
853,2024-06-05,49.25,49.25,45.45000076293945,46.34999847412109,8104,0.0,0.0,46.72900001525879,47.91693891759336,48.84792651031216,49.68064843660597,48.842256371433166,0.8383920651728047,1.3183460227787536,49.277499961853025,3.028656182479527,55.33481232681208,43.22018759689397,31133.25,44.900001525878906,54.95000076293945,0.06999988555907777
852,2024-06-04,50.04999923706055,50.95000076293945,47.54999923706055,47.79999923706055,22087,0.0,0.0,46.600000076293945,47.98089567038815,50.476192206211614,50.28622115705777,49.041637003218135,1.2445841538396323,1.4383345121802407,49.20750007629395,3.114832020799135,55.437164117892216,42.97783603469568,30916.5,44.900001525878906,54.95000076293945,0.18500003814697408
851,2024-06-03,51.5,51.95000076293945,48.29999923706055,50.04999923706055,52068,0.0,0.0,46.44900009155273,47.988279198279066,55.35247693304002,50.73826150614817,49.14096802451074,1.5972934816374291,1.4867721017653928,49.02250003814697,3.306790505989826,55.63608105012663,42.40891902616732,30188.85,44.09999847412109,54.95000076293945,0.3399999618530245
850,2024-05-31,56.0,56.0,50.84999847412109,50.84999847412109,46422,0.0,0.0,46.26400009155273,47.90412735996146,62.378633405479206,50.863400100527734,49.068245527506754,1.7951545730209801,1.4591417567973834,48.68250007629395,3.5371443147576254,55.7567887058092,41.6082114467787,28115.6,43.25,54.95000076293945,0.4199998855590863
849,2024-05-30,52.0,53.84999847412109,50.54999923706055,53.5,47767,0.0,0.0,46.09000015258789,47.783887722648814,72.87233265453375,50.8658367598744,48.925705291777604,1.9401314680967943,1.375138552741484,48.26250019073486,3.7580398619353708,55.7785799146056,40.74642046686412,27860.4,42.45000076293945,54.95000076293945,0.5149999618530288
848,2024-05-29,54.34999847412109,54.34999847412109,50.75,51.29999923706055,35841,0.0,0.0,45.87800018310547,47.5505770174508,65.7142857142857,50.386897988942465,48.55976171511981,1.8271362738226529,1.2338903239026564,47.74750022888183,3.7079388902604533,55.16337800940274,40.331622448360925,25840.95,42.45000076293945,54.95000076293945,0.3649999618530231
847,2024-05-28,56.59999847412109,56.59999847412109,51.70000076293945,52.0,21262,0.0,0.0,45.75500022888183,47.39753937583407,69.97167181668874,50.22087958019372,48.340542713364556,1.8803368668291611,1.0855788364226573,47.38250026702881,3.6991209110979213,54.78074208922465,39.98425844483297,24414.05,42.45000076293945,54.95000076293945,0.36000003814697124
846,2024-05-27,56.70000076293945,57.59999847412109,53.95000076293945,54.400001525878906,36233,0.0,0.0,45.64900024414062,47.20968384015383,81.98759014888691,49.89740314022894,48.047786130433714,1.8496170097952245,0.8868893288210312,47.02250022888184,3.5743414705957974,54.171183170073434,39.873817287690244,23577.0,42.45000076293945,54.95000076293945,0.4350000381469741
845,2024-05-24,52.400001525878906,55.0,52.400001525878906,54.95000076293945,68030,0.0,0.0,45.52200019836426,46.91620148563443,85.67073901163504,49.07874888829258,47.5396088987981,1.5391399894944797,0.6462074085774828,46.587500190734865,3.1311625620229147,52.849825314780695,40.325175066689035,22235.75,42.45000076293945,54.95000076293945,0.4175001144409265
