,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
774,2025-01-13,157.39999389648438,157.39999389648438,145.6199951171875,150.8699951171875,21262,0.0,0.0,163.00000061035155,164.62117395860014,43.055838888417256,159.5564099896503,161.49252796362066,-1.9361179739703687,-0.840568223342787,161.84250106811524,5.84200496563367,173.5265109993826,150.15849113684789,32301.25,150.8699951171875,174.02999877929688,-1.1690002441406193
773,2025-01-10,159.0,159.0,149.1300048828125,155.10000610351562,14961,0.0,0.0,163.56800079345703,165.18244656437207,43.02012129176585,161.13575814827988,162.34233059133533,-1.2065724430554496,-0.5666807856858915,163.01150131225586,5.869951716096742,174.75140474444933,151.2715978800624,37351.25,155.10000610351562,174.25,-0.5784996032714957
772,2025-01-09,160.25,160.3800048828125,156.0,156.9600067138672,11302,0.0,0.0,164.0244006347656,165.59397474644786,45.371161784263776,162.2331676109643,162.92171655036088,-0.6885489393965827,-0.406707871343502,163.59000091552736,5.613751615591714,174.81750414671077,152.36249768434394,38392.6,156.9600067138672,174.25,-0.609999847412098
771,2025-01-08,165.42999267578125,165.42999267578125,157.4600067138672,159.25999450683594,17978,0.0,0.0,164.33100036621093,165.94638160492053,47.13049834682325,163.19192413770924,163.39865333728036,-0.20672919957112867,-0.3362476043302318,164.20000076293945,5.5174176264837484,175.23483601590695,153.16516550997196,42537.9,157.10000610351562,174.25,-0.17200012207030113
770,2025-01-07,161.1999969482422,166.52999877929688,161.1999969482422,163.1999969482422,17384,0.0,0.0,164.76920043945313,166.219295364026,43.71145516389091,163.90682043423163,163.72974604371592,0.17707439051571328,-0.36862720552000755,164.37200088500975,5.407843800441789,175.18768848589332,153.5563132841262,42400.6,157.10000610351562,174.25,0.07299957275390057
769,2025-01-06,174.10000610351562,174.10000610351562,155.14999389648438,162.5,50627,0.0,0.0,165.21480041503906,166.342532034058,40.23865447992791,164.03533379532064,163.77212597135383,0.263207823966809,-0.5050526045289377,164.29900131225585,5.434286592368916,175.1675744969937,153.430428127518,43273.8,157.10000610351562,174.25,0.2644996643066406
768,2025-01-03,174.02999877929688,176.5,167.14999389648438,168.5500030517578,32559,0.0,0.0,165.48760040283204,166.49937007626443,43.91545767427163,164.31448539446984,163.87389604906213,0.4405893454077159,-0.6971177116528744,164.0345016479492,5.650878747863871,175.33625914367695,152.73274415222147,41400.15,157.10000610351562,174.25,0.5889999389648324
767,2025-01-02,166.74000549316406,182.8000030517578,165.41000366210938,174.02999877929688,136646,0.0,0.0,165.7408004760742,166.41567077114223,57.51941411722083,163.54439127496292,163.49980748884647,0.044583786116447754,-0.9815444759180219,163.44550170898438,5.768156380037605,174.9818144690596,151.90918894890916,40727.15,156.77000427246094,174.25,0.8775001525878849
766,2025-01-01,159.83999633789062,168.0,158.22000122070312,166.74000549316406,31850,0.0,0.0,165.99480041503907,166.10488187285023,47.258724283633725,161.63791718326584,162.65739218561043,-1.019475002344592,-1.2380765414266393,162.5680015563965,5.396136519756121,173.36027459590875,151.77572851688424,35329.7,156.47999572753906,174.25,0.4389999389648551
765,2024-12-31,163.11000061035156,163.11000061035156,156.33999633789062,157.10000610351562,9682,0.0,0.0,166.50240020751954,166.0789584597762,43.16407479636636,160.71026476328436,162.33078312100616,-1.6205183577218065,-1.292726926197151,162.12900161743164,5.3960076769736895,172.92101697137903,151.33698626348425,34979.5,156.47999572753906,174.25,0.0
764,2024-12-30,164.41000366210938,164.41000366210938,158.33999633789062,159.97000122070312,12574,0.0,0.0,167.24940002441406,166.44544631105214,47.73366948254149,161.36667542869685,162.7492452824054,-1.38256985370856,-1.2107790683159871,162.12900161743164,5.3960076769736895,172.92101697137903,151.33698626348425,35283.9,156.47999572753906,174.25,0.14199981689452557
763,2024-12-27,160.30999755859375,163.63999938964844,158.83999633789062,160.0800018310547,12033,0.0,0.0,167.88140014648437,166.70975019229087,53.30112150516875,161.62061619378662,162.97158480734157,-1.3509686135549543,-1.1678313719678437,161.98700180053712,5.4923223198097135,172.97164644015655,151.00235716091768,35496.5,156.47999572753906,174.25,-0.07249984741210369
762,2024-12-26,161.0,163.85000610351562,155.61000061035156,158.77999877929688,25609,0.0,0.0,168.64779998779298,166.9803521662189,52.358594787660756,161.9007278961015,163.2029114454445,-1.302183549342999,-1.1220470615710658,162.05950164794922,5.475368592011048,173.01023883197132,151.10876446392712,36727.2,156.47999572753906,174.25,0.15449981689454262
761,2024-12-24,158.0399932861328,160.91000366210938,156.99000549316406,159.3699951171875,6007,0.0,0.0,169.5695999145508,167.3150604677259,53.41526650218964,162.468133190066,163.55674445873632,-1.08861126867032,-1.0770129396280825,161.90500183105468,5.614602860574635,173.13420755220395,150.6757961099054,36401.8,155.69000244140625,174.25,0.2514999389648267
760,2024-12-23,165.00999450683594,167.7100067138672,156.0,157.55999755859375,58081,0.0,0.0,169.99579986572266,167.63934884938055,49.5235720519351,163.03143102149846,163.89168440606022,-0.8602533845617586,-1.0741133573675232,161.65350189208985,5.8421767079157405,173.33785530792133,149.96914847625837,37138.05,154.33999633789062,174.25,0.20499954223632244
759,2024-12-20,163.6999969482422,170.8000030517578,160.0,161.8300018310547,29671,0.0,0.0,170.5467999267578,168.05075094288205,56.1316994530655,164.02623710566294,164.39821935385754,-0.37198224819459824,-1.1275783505689643,161.44850234985353,6.061203781361452,173.57090991257644,149.32609478713061,35230.3,153.4600067138672,174.25,0.48750000000001137
758,2024-12-19,160.0,164.8000030517578,160.0,161.3000030517578,15843,0.0,0.0,171.00440002441405,168.30465906989542,55.476747695451266,164.42555261013717,164.60367675568176,-0.17812414554458655,-1.316477376162556,160.96100234985352,6.41091080408687,173.78282395802725,148.13918074167978,34650.5,152.0800018310547,174.25,0.2880004882812557
757,2024-12-18,169.3300018310547,169.9499969482422,161.0,161.85000610351562,42375,0.0,0.0,171.36079986572267,168.59056339716633,50.38168800299934,164.99383434802434,164.86797065199568,0.12586369602865943,-1.601065683817048,160.67300186157226,6.523275338070291,173.71955253771284,147.62645118543168,35618.4,152.0800018310547,174.25,0.3830001831054517
756,2024-12-17,173.4499969482422,179.39999389648438,164.50999450683594,169.32000732421875,65854,0.0,0.0,171.5931997680664,168.86568818466228,66.91486968489414,165.56543948338955,165.10940781587408,0.4560316675154752,-2.032798028778475,160.2900016784668,6.6736696339554085,173.63734094637763,146.94266241055598,35702.4,152.0800018310547,174.25,1.1365005493164233
755,2024-12-16,177.0,180.66000366210935,170.82000732421875,172.47999572753906,33727,0.0,0.0,171.77239959716798,168.84714454631302,73.57066920133697,164.88279078505698,164.77255985520648,0.11023092985050198,-2.655005452851962,159.15350112915038,6.983197637630568,173.11989640441152,145.18710585388925,34917.45,146.58999633789062,174.25,1.2595001220703068
754,2024-12-13,167.5,181.0,161.36000061035156,174.25,122262,0.0,0.0,171.9677996826172,168.69886490626297,77.6536138232652,163.50148079551477,164.15596498541987,-0.654484189905105,-3.346314548527578,157.89400100708008,6.719791994699563,171.3335849964792,144.45441701768095,36440.9,146.58999633789062,174.25,0.9014999389648324
753,2024-12-12,169.67999267578125,174.0,165.61000061035156,166.6699981689453,35788,0.0,0.0,172.29079956054687,168.47228796366144,73.23986863544977,161.54720457651743,163.34844218425346,-1.8012376077360273,-4.019272138183196,156.99250106811525,5.5106882463362705,168.0138775607878,145.9711245754427,33577.35,146.58999633789062,169.16000366210938,-0.06350021362302982
752,2024-12-11,163.6999969482422,177.77999877929688,162.0,169.16000366210938,94208,0.0,0.0,172.83659973144532,168.54585081242536,71.04451501712842,160.61578755971237,163.0827177054781,-2.4669301457657298,-4.573780770794988,157.05600128173828,5.63400953167409,168.32402034508647,145.78798221839008,33922.45,146.58999633789062,169.16000366210938,0.08250045776367188
751,2024-12-10,159.5500030517578,163.7899932861328,159.5500030517578,162.6999969482422,15232,0.0,0.0,173.074599609375,168.52078334917294,65.61467756340801,159.06229372291293,162.59653482894763,-3.534241106034699,-5.100493427052302,156.9735008239746,5.456730170275152,167.8869611645249,146.0600404834243,32176.55,146.58999633789062,167.94000244140625,-0.34150009155274574
750,2024-12-09,161.0,164.24000549316406,156.32000732421875,161.74000549316406,34848,0.0,0.0,173.47359954833985,168.75836646757827,72.35174008279998,158.40089313648943,162.58825785940408,-4.187364722914651,-5.492056507306703,157.31500091552735,6.0187540923646905,169.35250910025673,145.27749273079797,36634.05,146.58999633789062,169.52999877929688,-0.8754997253417969
749,2024-12-06,158.0,159.3000030517578,155.41000366210938,157.2100067138672,13154,0.0,0.0,174.12719940185548,169.04483018081967,66.50035634300704,157.79378179891225,162.65611804870326,-4.862336249791014,-5.818229453404716,158.19050064086915,7.727313619148938,173.64512787916703,142.73587340257126,36156.2,146.58999633789062,179.25,-1.1944999694824219
748,2024-12-05,159.6999969482422,159.6999969482422,155.35000610351562,156.77000427246094,19099,0.0,0.0,174.33679931640626,169.52788419987897,50.71336317537948,157.8999227234659,163.09180695549017,-5.191884232024279,-6.0572027543081415,159.38500061035157,9.261873199944825,177.90874701024123,140.8612542104619,37770.65,146.58999633789062,181.1000061035156,-1.3604995727538949
747,2024-12-04,159.0,163.0,153.61000061035156,156.47999572753906,28697,0.0,0.0,174.54479919433595,170.0486139928348,38.53540646907988,158.10536244183044,163.59755117013253,-5.4921887283020965,-6.273532384879107,160.74550018310546,10.738322924738386,182.22214603258223,139.2688543336287,38386.7,146.58999633789062,183.97999572753903,-1.4749999999999943
746,2024-12-03,159.9499969482422,160.0,157.5,157.9600067138672,24846,0.0,0.0,174.75459930419922,170.60243514652032,40.241171855217054,158.4008836626107,164.16695560554,-5.766071942929301,-6.468868299023359,162.22050018310546,12.065594282929244,186.35168874896394,138.08931161724698,38613.6,146.58999633789062,185.97999572753903,-1.2289993286132983
745,2024-12-02,157.11000061035156,157.97999572753906,154.89999389648438,157.10000610351562,15770,0.0,0.0,174.94299926757813,171.1184526335674,37.592340203089044,158.48104310783683,164.66351151687383,-6.182468409037,-6.644567388046872,163.44949951171876,12.836038803169,189.12157711805676,137.77742190538075,37850.25,146.58999633789062,185.97999572753903,-1.2059997558593807
744,2024-11-29,164.8800048828125,165.33999633789062,156.05999755859375,157.1300048828125,16826,0.0,0.0,175.18459899902345,171.6906341245899,31.49883274600522,158.73214074498614,165.2685919499425,-6.536451204956364,-6.76009213279934,164.65549926757814,13.331600581440595,191.31870043045933,137.99229810469694,38865.3,146.58999633789062,185.97999572753903,-1.1069999694824162
743,2024-11-28,159.0,163.52999877929688,156.5,161.52999877929688,36647,0.0,0.0,175.46039886474608,172.28494552221346,32.902320839241256,159.02343817447226,165.9196789153129,-6.896240740840625,-6.816002364760083,165.76249923706055,13.59051840410146,192.94353604526347,138.58146242885763,38989.35,146.58999633789062,185.97999572753903,-0.8194999694824219
742,2024-11-27,155.3699951171875,157.5399932861328,152.80999755859375,155.69000244140625,19101,0.0,0.0,175.6569989013672,172.7239229402917,23.93588441222178,158.56769988268596,166.27085332619419,-7.703153443508228,-6.795942770739947,166.58199920654297,13.814181758549047,194.21036272364108,138.95363568944487,38051.6,146.58999633789062,185.97999572753903,-0.8299995422363224
741,2024-11-26,155.64999389648438,159.85000610351562,153.0,154.33999633789062,20732,0.0,0.0,176.00459899902344,173.41918500147068,21.194464271177495,159.09091759928225,167.11732139697722,-8.026403797694968,-6.569140102547875,167.4119987487793,13.622675279387325,194.65734930755394,140.16664819000465,40526.45,146.58999633789062,185.97999572753903,-1.3415000915527457
740,2024-11-25,157.0,160.49000549316406,151.83999633789062,153.4600067138672,19926,0.0,0.0,176.3659991455078,174.19792739590252,24.70426146997218,159.95472146498983,168.13950740170412,-8.184785936714292,-6.204824178761101,168.75349884033204,13.588658592810432,195.9308160259529,141.57618165471118,41425.7,146.58999633789062,185.97999572753903,-1.600999450683588
739,2024-11-22,153.9199981689453,156.75,149.80999755859375,152.0800018310547,18075,0.0,0.0,176.72839904785155,175.0443731380264,24.62556572719609,161.13557869246665,169.3138674567311,-8.178288764264437,-5.709833739272804,170.35449829101563,13.578237263629577,197.51097281827478,143.19802376375648,52754.05,146.58999633789062,185.97999572753903,-1.2029998779296704
738,2024-11-21,154.88999938964844,158.0,149.64999389648438,155.5399932861328,35201,0.0,0.0,177.1523989868164,175.981694415862,28.778385412260178,162.78204721272337,170.69257670678522,-7.910529494061848,-5.092719983024894,171.5574981689453,12.924014050824194,197.4055262705937,145.7094700672969,52911.9,146.58999633789062,185.97999572753903,-1.2835006713867188
737,2024-11-19,147.10000610351562,157.6999969482422,147.10000610351562,154.19000244140625,44055,0.0,0.0,177.45679901123046,176.8160495640142,28.77840484984246,164.0987842902853,171.9047833804374,-7.805999090152113,-4.388267605265655,172.84099884033202,12.517851723379888,197.8767022870918,147.80529539357224,52647.9,146.58999633789062,185.97999572753903,-1.626999664306652
736,2024-11-18,149.5,152.8699951171875,145.0,146.58999633789062,50155,0.0,0.0,177.87639892578125,177.7395616914676,26.177244609850064,165.9003809900815,173.3219658555599,-7.421584865478422,-3.5338347340440404,174.46799850463867,12.072887487234352,198.61377347910738,150.32222353016996,52023.6,146.58999633789062,186.72999572753903,-2.2764999389648324
735,2024-11-14,155.1999969482422,160.86000061035156,145.82000732421875,147.2899932861328,64196,0.0,0.0,178.50159912109376,179.01097252222584,22.730206936801792,169.41136001775254,175.46052341697344,-6.049163399220902,-2.5618972011854444,176.7444984436035,10.760792803572745,198.266084050749,155.22291283645802,50794.0,147.2899932861328,192.1199951171875,-2.3580001831054744
734,2024-11-13,168.39999389648438,169.9600067138672,148.75999450683594,156.22000122070312,64991,0.0,0.0,179.08539916992189,180.305706368597,24.556533267733812,173.43342669622888,177.7141658274407,-4.280739131211817,-1.6900806516765794,179.10249862670898,8.987746276320633,197.07799117935025,161.1270060740677,49957.9,156.22000122070312,194.4499969482422,-1.767500305175787
733,2024-11-12,167.0,174.0,165.16000366210938,167.94000244140625,42690,0.0,0.0,179.46019927978514,181.28879637463345,42.56168776791805,176.56314041905173,179.4336989959797,-2.8705585769279764,-1.04241603179277,180.86999893188477,7.623236701840451,196.11647233556567,165.62352552820386,48943.45,167.50999450683594,194.4499969482422,-1.5229995727539176
732,2024-11-11,172.9499969482422,175.77999877929688,163.35000610351562,167.50999450683594,59290,0.0,0.0,179.59939910888673,181.8336451066019,38.53747492615725,178.13098368771455,180.35319472034558,-2.222211032631037,-0.5853803955089683,182.39299850463868,7.94019215820893,198.27338282105654,166.51261418822082,56255.25,167.50999450683594,198.3999938964844,-1.8680000305175781
731,2024-11-08,180.44000244140625,180.44000244140625,166.0,169.52999877929688,104382,0.0,0.0,179.83459930419923,182.41828390659234,36.4053126447999,180.0620726296925,181.38065073742638,-1.3185781077338845,-0.17617273622845098,184.26099853515626,8.620078962631347,201.50115646041894,167.02084060989358,81759.75,169.52999877929688,204.8699951171875,-0.5574996948242017
730,2024-11-07,184.6000061035156,184.6000061035156,178.50999450683594,179.25,25291,0.0,0.0,180.06079925537108,182.94433636076766,39.08026750656906,181.97699514794624,182.32870289407674,-0.3517077461305007,0.10942860664790743,184.81849822998046,7.951876958439802,200.72225214686006,168.91474431310087,77465.55,172.2899932861328,204.8699951171875,-0.2930000305175895
729,2024-11-06,183.6000061035156,185.9900054931641,179.25,181.1000061035156,45443,0.0,0.0,180.00979919433593,183.09512559998265,38.764523269978866,182.4728124475728,182.5749991256029,-0.10218667803007975,0.22471269484250947,185.11149826049805,7.843114368076885,200.79772699665182,169.4252695243443,76655.0,172.2899932861328,204.8699951171875,-0.18050003051757812
