,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5275,2025-02-12,119.93000030517578,126.36000061035156,115.1999969482422,124.12000274658205,397072,0.0,0.0,132.49660064697267,129.27978812096816,52.54199369215838,126.44988199787609,127.54678650943174,-1.0969045115556497,-1.3576230490235492,126.34550056457519,7.2387311272304125,140.822962819036,111.86803831011437,553277.9,114.05999755859376,136.3000030517578,-0.4404994964599638
5274,2025-02-11,130.0,130.0,118.66000366210938,119.93000030517578,517700,0.0,0.0,132.71480056762695,129.49039160563697,43.59623130127889,126.87349640720228,127.82092921045972,-0.947432803257442,-1.422802683390524,126.78600006103515,7.363163071781774,141.5123262045987,112.0596739174716,590662.05,114.05999755859376,136.3000030517578,-0.5079998016357479
5273,2025-02-10,131.6300048828125,132.72999572753906,127.0999984741211,129.82000732421875,231466,0.0,0.0,133.07920043945313,129.88061165871702,49.413608513741856,128.1359502439344,128.45220352288243,-0.31625327894803945,-1.5416451534237945,127.2939998626709,7.214231624793544,141.722463112258,112.86553661308382,602133.4,114.05999755859376,136.3000030517578,-0.21299972534178835
5272,2025-02-07,131.69000244140625,133.97000122070312,130.10000610351562,131.83999633789062,202072,0.0,0.0,133.07820037841796,129.88308530502306,44.73807858164618,127.82975804751905,128.34277921877552,-0.5130211712564687,-1.847993122042733,127.50699958801269,7.354266044979583,142.21553167797185,112.79846749805353,801984.3,114.05999755859376,136.3000030517578,0.172499847412098
5271,2025-02-06,132.6999969482422,135.0,128.10000610351562,130.75999450683594,312865,0.0,0.0,132.9886004638672,129.80321138531417,43.86384425507916,127.10062381290604,128.06300184924632,-0.962378036340283,-2.181736109739299,127.33449974060059,7.287440731959212,141.909381204519,112.75961827668218,812514.75,114.05999755859376,136.3000030517578,-0.18300018310546307
5270,2025-02-05,132.1999969482422,135.89999389648438,129.41000366210938,131.8699951171875,414253,0.0,0.0,132.8274005126953,129.76415901300714,45.770527774398474,126.43528368673695,127.84724243663915,-1.4119587499021975,-2.486575628089053,127.51749992370605,7.422687654321722,142.3628752323495,112.67212461506261,852659.5,114.05999755859376,136.3000030517578,-0.4535003662109318
5269,2025-02-04,131.39999389648438,134.10000610351562,129.49000549316406,130.80999755859375,365157,0.0,0.0,132.55520065307618,129.67820651895897,47.505889888348825,125.44715433574594,127.52542222219529,-2.0782678864493533,-2.7552298476357664,127.97100028991699,7.960215733799982,143.89143175751695,112.05056882231702,975421.7,114.05999755859376,140.94000244140625,0.22150001525878338
5268,2025-02-03,129.0,135.99000549316406,125.0999984741211,130.8800048828125,581256,0.0,0.0,132.31960067749023,129.63201096632082,50.87255158392026,124.47209193159179,127.2626561952834,-2.790564263691607,-2.9244703379323695,127.7495002746582,7.938665525135432,143.62683132492907,111.87216922438733,965488.35,114.05999755859376,140.94000244140625,0.42100028991698935
5267,2025-01-31,115.52999877929688,136.0,115.52999877929688,128.74000549316406,3195202,0.0,0.0,132.05140060424804,129.58107243911707,44.333623267438625,123.30701684955166,126.97326830028106,-3.666251450729405,-2.95794685649256,127.32849998474121,7.9870280848537245,143.30255615444867,111.35444381503376,949374.8,114.05999755859376,140.94000244140625,-0.006999969482421875
5266,2025-01-30,115.75,119.3000030517578,113.0,116.37999725341795,375284,0.0,0.0,131.83840042114258,129.61540170221718,35.15451638244275,122.31920073253121,126.83192932485042,-4.512728592319206,-2.7808707079333486,127.33549995422364,7.988391494088146,143.31228294239992,111.35871696604734,798874.45,114.05999755859376,140.94000244140625,-0.5920001983642607
5265,2025-01-29,116.48999786376952,118.5,112.44000244140624,114.05999755859376,567789,0.0,0.0,131.93020050048827,130.1556222919641,26.947472954188058,123.39905591055181,127.66808389056501,-4.269027980013206,-2.347906236836884,127.9275001525879,7.5610622790276105,143.04962471064312,112.80537559453268,791293.65,114.05999755859376,140.94000244140625,-0.6930000305175668
5264,2025-01-28,119.6999969482422,122.9000015258789,115.0,115.43000030517578,898041,0.0,0.0,132.05020050048827,130.81258656679555,24.133044455168474,125.09706651999872,128.7567307971227,-3.6596642771239942,-1.867625801042803,128.62050018310546,6.822220043816276,142.264940270738,114.97606009547292,774806.7,115.43000030517578,140.94000244140625,-0.6244998931884709
5263,2025-01-27,120.0,122.79000091552734,113.3000030517578,116.0199966430664,454200,0.0,0.0,132.13820053100585,131.4404472305351,41.8141625995872,126.85471492269379,129.82286923647845,-2.968154313784666,-1.419616182022505,129.24500007629393,6.082816409271064,141.41063289483606,117.07936725775181,741109.6,116.0199966430664,140.94000244140625,-0.5110000610351619
5262,2025-01-24,123.6999969482422,126.93000030517578,119.0,121.06999969482422,379040,0.0,0.0,132.21760055541992,132.0698533769624,48.88173866160708,128.82466370080786,130.92709904395142,-2.1024353431435543,-1.0324816490819648,129.7560001373291,5.291101542609476,140.33820322254806,119.17379705211015,727244.8,121.06999969482422,140.94000244140625,-0.3625003814697436
5261,2025-01-23,125.5,125.51000213623048,121.0,121.87999725341795,344377,0.0,0.0,132.33360061645507,132.5188269966415,44.83470760325771,130.2346026109867,131.7156669918816,-1.4810643808948782,-0.7649932255665675,130.11850051879884,4.898478261506999,139.91545704181283,120.32154399578484,716787.15,121.87999725341795,140.94000244140625,-0.4590000152587663
5260,2025-01-22,131.30999755859375,132.17999267578125,124.0999984741211,125.5,399826,0.0,0.0,132.39660064697264,132.95306494534452,47.90123471325618,131.7536217669083,132.50252057095867,-0.7488988040503557,-0.5859754367344896,130.5775005340576,4.49974593804895,139.5769924101555,121.5780086579597,708333.55,122.45999908447266,140.94000244140625,-0.3635002136230696
5259,2025-01-21,137.25,137.52999877929688,129.6999969482422,130.27000427246094,426556,0.0,0.0,132.46580078125,133.25727167780755,51.94762542968275,132.89064390634618,133.06272221663536,-0.17207831028918008,-0.545244594905523,130.94100074768068,4.359442078597283,139.65988490487524,122.22211659048611,698443.8,122.45999908447266,140.94000244140625,-0.07499999999998863
