,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
4635,2025-02-18,620.2000122070312,624.6500244140625,575.0499877929688,584.4500122070312,34991,0.0,0.0,930.4749975585937,891.6262891637758,14.099915751151642,725.8515471110414,809.4147416660742,-83.56319455503274,-62.30075264592726,799.1774993896485,97.14112246322081,993.4597443160901,604.8952544632068,33713.95,584.4500122070312,902.5499877929688,-16.492498779296852
4634,2025-02-17,621.2000122070312,643.5999755859375,604.2000122070312,616.4500122070312,34178,0.0,0.0,940.4219982910156,904.1640963865,25.336895230394262,751.5609170935888,827.4119200227975,-75.85100292920868,-56.98514216865089,815.6699981689453,86.14455386750025,987.9591059039458,643.3808904339448,33222.8,616.4500122070312,914.2999877929688,-16.692498779296898
4633,2025-02-14,659.2999877929688,675.9500122070312,620.0,636.2999877929688,48267,0.0,0.0,950.2499975585938,915.9075283938251,25.068962711027297,776.1265361638721,844.2888726480588,-68.16233648418677,-52.268676978511444,832.3624969482422,77.4123069398167,987.1871108278756,677.5378830686088,32310.05,636.2999877929688,950.2999877929688,-15.65249938964837
4632,2025-02-13,689.9500122070312,710.0,631.0,669.25,172744,0.0,0.0,959.7949987792969,927.3200810714111,24.15817382365003,801.5495449585818,860.927983436466,-59.378438477884174,-48.29526210209261,848.0149963378906,66.57255162524662,981.1600995883838,714.8698930873974,30486.4,669.25,950.2999877929688,-13.882501220703148
4631,2025-02-12,776.0999755859375,776.1500244140625,712.0,744.2999877929688,28457,0.0,0.0,968.3889978027344,937.8535537682034,29.98952426946846,825.6040076783239,876.2622221113833,-50.65821443305936,-45.52446800814471,861.8974975585937,55.33298056556162,972.563458689717,751.2315364274705,22516.5,744.2999877929688,950.2999877929688,-9.93000183105471
4630,2025-02-11,812.5,824.5999755859375,770.9500122070312,776.1500244140625,19755,0.0,0.0,974.6239990234375,945.753699318213,34.58814193325216,840.3865567483884,886.8192008568564,-46.43264410846791,-44.24103140191605,871.8274993896484,50.74869578500781,973.3248909596641,770.3301078196328,23662.1,776.1500244140625,950.2999877929688,-8.049999999999955
4629,2025-02-10,822.0499877929688,831.9500122070312,800.0499877929688,812.5,15861,0.0,0.0,980.1119995117188,952.6762982938925,35.490309102711834,852.0659262637205,895.6727349722798,-43.606808708559356,-43.69312822527808,879.8774993896484,47.434151261216016,974.7458019120804,785.0091968672164,28342.15,812.5,950.2999877929688,-2.375
4628,2025-02-07,839.0,841.4000244140625,819.9500122070312,824.9000244140625,8799,0.0,0.0,984.8139990234375,958.3977798569085,33.2532083807929,859.2597310389424,902.3265537700622,-43.06682273111983,-43.714708104457756,882.2524993896484,45.01026226232929,972.273023914307,792.2319748649898,30016.85,824.9000244140625,950.2999877929688,-4.43499755859375
4627,2025-02-06,860.0999755859375,862.0,830.0,836.7999877929688,21808,0.0,0.0,989.202998046875,963.8466678341675,34.51644187470032,865.5069504252842,908.5206761185422,-43.013725693257925,-43.876679447792235,886.6874969482421,43.4029615050124,973.4934199582669,799.8815739382173,31097.15,828.75,950.2999877929688,-6.36750183105471
4626,2025-02-05,839.0,870.0,839.0,863.0999755859375,10649,0.0,0.0,993.5479992675781,969.0322466113594,37.661947165405664,870.7263981766143,914.258331184588,-43.531933007973635,-44.092417886425814,893.0549987792969,45.01070181576774,983.0764024108323,803.0335951477614,30633.05,828.75,964.1500244140624,-5.977502441406273
4625,2025-02-04,839.9000244140625,854.9000244140625,830.4000244140625,836.0999755859375,11077,0.0,0.0,996.9349987792968,973.3560127756623,33.13328220722886,872.1130204658282,918.35099963248,-46.237979166651826,-44.23253910603886,899.0325012207031,48.617008490233744,996.2665182011706,801.7984842402357,30753.45,828.75,982.6500244140624,-7.6749999999999545
4624,2025-02-03,862.75,881.9500122070312,835.0,837.4500122070312,13867,0.0,0.0,1000.8569982910157,978.9583000078959,34.470400130208375,878.6608468076265,924.9310815562035,-46.27023474857697,-43.73117909088561,906.7075012207031,50.2480734935107,1007.2036482077244,806.2113542336817,31018.85,828.75,989.5999755859376,-6.682498168945358
4623,2025-01-31,843.0,875.0499877929688,834.0999755859375,864.1500244140625,24973,0.0,0.0,1004.3919982910156,984.7341484895638,50.558624977735185,886.1537258259166,931.9295671041373,-45.775841278220696,-43.09641517646277,913.3899993896484,49.43320013769479,1012.256399665038,814.5235991142589,32228.75,828.75,989.5999755859376,-7.567498779296898
4622,2025-01-30,892.9500122070312,910.0,820.0,833.1500244140625,75128,0.0,0.0,1007.4999975585938,989.6559494722372,39.79190887893242,890.15439880989,937.3519305193432,-47.19753170945319,-42.426558651023285,920.9574981689453,52.95763976234607,1026.8727776936375,815.0422186442532,31903.35,828.75,1015.5,-9.012499999999932
4621,2025-01-29,835.0,897.9500122070312,833.9500122070312,879.7999877929688,28340,0.0,0.0,1011.627998046875,996.0439464133872,39.40193064032235,900.5188305182222,945.6880830077656,-45.169252489543396,-41.23381538641581,929.9699981689453,52.56408903280962,1035.0981762345646,824.841820103326,30486.75,828.75,1015.5,-6.657501220703125
4620,2025-01-28,854.0,881.5499877929688,817.0499877929688,828.75,45026,0.0,0.0,1014.7919982910156,1000.7885977856491,28.94088476583316,904.2858928319047,950.9591306249494,-46.67323779304468,-40.24995611063392,936.6274993896484,54.279438774439726,1045.186376938528,828.068621840769,30217.45,828.75,1015.5,-9.189999389648506
4619,2025-01-27,898.0499877929688,902.5499877929688,826.7000122070312,853.2000122070312,25805,0.0,0.0,1019.0389978027343,1007.8105813687368,30.39666890818988,918.0196915286147,960.7358610749453,-42.71616954633066,-38.64413569003123,945.8174987792969,50.48003231859822,1046.7775634164934,844.8574341421005,29125.8,853.2000122070312,1015.5,-8.212499999999977
4618,2025-01-24,910.0,910.0,884.0499877929688,902.5499877929688,17329,0.0,0.0,1022.7309985351562,1014.1212168447248,39.18940381134292,929.8050877689025,969.3387289843783,-39.53364121547588,-37.62612722595637,954.0299987792969,47.914811813235374,1049.8596224057676,858.2003751528262,28878.7,860.0,1017.4500122070312,-6.744998168945358
