,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
1840,2025-01-22,72.08999633789062,72.95999908447266,68.5199966430664,69.68000030517578,8101,0.0,0.0,73.53699966430663,74.75560478592837,44.28282026352378,70.65122039186897,72.0413040777686,-1.3900836858996257,-1.6967862165645202,71.4314998626709,3.329091470144731,78.08968280296037,64.77331692238144,9716.35,65.45999908447266,76.7300033569336,-0.3555000305175753
1839,2025-01-21,76.98999786376953,76.98999786376953,71.98999786376953,72.08999633789062,15860,0.0,0.0,73.73159973144531,74.962772315755,48.178128443334714,70.82780586217683,72.23020837957603,-1.4024025173991959,-1.7734618492307437,71.78699989318848,3.5070780138908257,78.80115592097013,64.77284386540683,9689.4,65.45999908447266,76.79000091552734,-0.3205001831054659
1838,2025-01-20,73.06999969482422,76.69999694824219,72.5,74.76000213623047,23723,0.0,0.0,73.88279983520508,75.0800284781168,52.13062394207132,70.59831668477432,72.24142534291086,-1.6431086581365406,-1.8662266821886304,72.10750007629395,3.815553239570521,79.73860655543498,64.4763935971529,9309.55,65.45999908447266,78.5,-0.1264999389648409
1837,2025-01-17,69.55999755859375,72.87999725341797,67.33999633789062,70.79000091552734,9286,0.0,0.0,74.00959976196289,75.09309077778563,39.964942241289386,69.84164660269138,72.0399391994453,-2.198292596753916,-1.9220061882016528,72.23400001525879,3.947770770257355,80.1295415557735,64.33845847474407,8371.8,65.45999908447266,78.5,-0.30750007629394815
1836,2025-01-16,68.37999725341797,69.19999694824219,66.0,67.83999633789062,2795,0.0,0.0,74.21879974365234,75.26872709869413,29.145010404375967,69.66921854581211,72.13993426215873,-2.470715716346618,-1.852934586063587,72.54150009155273,4.067089910954244,80.67567991346122,64.40732026964425,8188.85,65.45999908447266,78.5,-0.507500076293951
1835,2025-01-15,68.58000183105469,69.0199966430664,66.41999816894531,66.70999908447266,5976,0.0,0.0,74.46859985351563,75.57194059913509,25.074623806436634,70.00180440179784,72.48392929610017,-2.4821248943023306,-1.6984893034928292,73.04900016784669,4.082788330046473,81.21457682793962,64.88342350775375,8994.05,65.45999908447266,78.5,-0.5299999237060433
1834,2025-01-14,67.0199966430664,67.9000015258789,66.0999984741211,66.5999984741211,7658,0.0,0.0,74.76779983520508,75.93365249769273,24.588526457822965,70.60031445949333,72.94584371303037,-2.3455292535370376,-1.5025804057904537,73.57900009155273,3.9005344846819705,81.38006906091667,65.77793112218879,9716.75,65.45999908447266,78.5,-0.5959999084472685
1833,2025-01-13,69.0,69.0199966430664,64.05000305175781,65.45999908447266,9878,0.0,0.0,75.06399993896484,76.3146179680426,18.380215376816935,71.32764463865192,73.45351133214311,-2.12586669349119,-1.2918431938538077,74.175,3.6826183590243358,81.54023671804867,66.80976328195132,10384.05,65.45999908447266,78.5199966430664,-0.5104999542236328
1832,2025-01-10,72.4000015258789,73.55999755859375,67.11000061035156,68.69000244140625,33599,0.0,0.0,75.36619995117188,76.75766363675973,26.881722635389977,72.39448928486632,74.09299231195673,-1.6985030270904105,-1.0833373189444622,74.68549995422363,3.06717301769024,80.8198459896041,68.55115391884316,10407.4,68.69000244140625,78.5199966430664,-0.46949996948242756
1831,2025-01-09,76.0,76.0,68.1500015258789,69.61000061035156,7282,0.0,0.0,75.63799987792969,77.08695593044763,29.67276115550426,73.06803234731362,74.52523150160077,-1.457199154287153,-0.9295458919079749,75.15499992370606,2.8089284736094013,80.77285687092485,69.53714297648726,10773.85,69.61000061035156,78.5199966430664,-0.4239997863769531
1830,2025-01-08,73.43000030517578,74.5,71.01000213623047,72.12999725341797,4202,0.0,0.0,75.91279983520508,77.39213778024747,32.3067588336976,73.69676539039763,74.9184499729007,-1.221684582503073,-0.7976325763131803,75.57899971008301,2.5565516908980004,80.692103091879,70.46589632828702,12102.0,69.63999938964844,78.5199966430664,-0.07900009155272869
1829,2025-01-07,71.7300033569336,74.0,69.98999786376953,73.43000030517578,7701,0.0,0.0,76.11059982299804,77.6069190262405,37.829364754578954,73.98163232439393,75.14152619045932,-1.1598938660653886,-0.6916195747657071,75.65799980163574,2.4672155573223775,80.59243091628049,70.72356868699099,13612.55,69.63999938964844,78.5199966430664,-0.13149986267090696
1828,2025-01-06,74.0,74.0,68.3499984741211,69.63999938964844,14898,0.0,0.0,76.27799987792969,77.7774055046513,16.76645988483949,74.08192905516087,75.278448261282,-1.196519206121124,-0.5745510019407868,75.78949966430665,2.4116785558948743,80.6128567760964,70.9661425525169,13678.3,69.63999938964844,78.5199966430664,-0.3474998474121094
1827,2025-01-03,74.13999938964844,74.19999694824219,72.51000213623047,72.5999984741211,9220,0.0,0.0,76.49639984130859,78.10954452975345,38.41508882059857,74.8895526307086,75.72952417101267,-0.8399715403040773,-0.41905895089570244,76.13699951171876,1.9319610176363842,80.00092154699152,72.27307747644599,13459.8,72.5999984741211,78.5199966430664,-0.18150024414062216
1826,2025-01-02,75.4800033569336,75.4800033569336,72.22000122070312,73.05999755859375,11420,0.0,0.0,76.6431999206543,78.33442396059559,33.486824735706676,75.3058352046336,75.979886226764,-0.6740510221303992,-0.3138308035436087,76.31849975585938,1.7435055537390507,79.80551086333747,72.83148864838128,13769.0,73.05999755859375,78.5199966430664,-0.1850002288818331
1825,2025-01-01,75.13999938964844,75.30999755859375,72.51000213623047,73.08000183105469,7385,0.0,0.0,76.84379989624023,78.54970667088136,33.50889159218919,75.7141693220954,76.21347732021762,-0.4993079981222195,-0.22377574889691104,76.50349998474121,1.5669112558590708,79.63732249645935,73.36967747302307,14580.2,73.08000183105469,78.5199966430664,-0.24799995422362997
1824,2024-12-31,73.80000305175781,76.79000091552734,72.4000015258789,73.69000244140625,6911,0.0,0.0,77.0597998046875,78.7729599296498,49.947266191653284,76.19310886592098,76.46415535935066,-0.27104649342967946,-0.1548926865905839,76.75149993896484,1.37762997757456,79.50675989411396,73.99623998381573,15503.9,73.69000244140625,78.5199966430664,-0.03199996948242756
