,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5601,2025-01-22,485.3500061035156,491.1000061035156,470.0,475.75,42636,0.0,0.0,540.0620007324219,539.4918593822208,27.068294139304243,495.01076942737546,513.2433800964874,-18.23261066911192,-17.308426559383726,506.9049987792969,19.635185244742026,546.175369268781,467.63462828981284,45934.55,475.75,532.8499755859375,-2.5575012207031023
5600,2025-01-21,499.0,502.7999877929688,480.2000122070313,482.25,51103,0.0,0.0,542.6700012207032,542.0935679284339,30.674347925382563,498.51272750508014,516.2428505042063,-17.730122999126195,-17.077380531951675,509.4625,18.671143431327017,546.804786862654,472.12021313734596,45084.65,476.25,532.8499755859375,-2.1625000000000227
5599,2025-01-20,490.3999938964844,499.8999938964844,485.5,495.3500061035156,29959,0.0,0.0,545.3490014648437,544.5361625377577,39.40426066835817,501.46958705145835,518.9622785445429,-17.49269149308452,-16.914194915158046,511.625,17.839597394310466,547.304194788621,475.9458052113791,45604.7,476.25,532.8499755859375,-1.8650009155273892
5598,2025-01-17,492.0,492.0,485.6000061035156,490.3999938964844,25251,0.0,0.0,547.5350018310547,546.5437607595635,38.62069527969486,502.5822381329025,520.8512603398251,-18.269022206922614,-16.769570770676424,513.4900009155274,17.997638917681723,549.4852787508909,477.49472308016396,49888.9,476.25,532.8499755859375,-3.2000015258788608
5597,2025-01-16,489.3999938964844,501.9500122070313,489.3999938964844,491.7999877929688,25277,0.0,0.0,549.3400024414062,548.8353430805055,37.31778433067266,504.7971916304331,523.2873616552923,-18.490170024859253,-16.394707911614873,516.6900024414062,19.31738585454307,555.3247741504924,478.0552307323201,50226.35,476.25,554.4000244140625,-3.189999389648392
5596,2025-01-15,487.25,493.8500061035156,484.0,486.1000061035156,31096,0.0,0.0,550.8720031738281,551.1633167657111,33.8674942843994,507.1603196008811,525.8063515642782,-18.646031963397093,-15.870842383303778,519.8800018310546,20.236779684008013,560.3535611990707,479.4064424630386,53372.5,476.25,555.5999755859375,-3.5724990844727245
5595,2025-01-14,484.5499877929688,493.6000061035156,469.5499877929688,487.25,91525,0.0,0.0,552.8710028076172,553.8189620988619,33.17777193120564,510.989467509493,528.9828592011393,-17.993391691646252,-15.177044988280446,523.4525009155274,20.266257313509097,563.9850155425455,482.91998628850916,56331.9,476.25,557.5499877929688,-4.060000610351494
5594,2025-01-13,507.0,508.9500122070313,473.2999877929688,476.25,92134,0.0,0.0,554.7900030517578,556.5360625926929,27.251757754134317,515.3057343294008,532.3214879372305,-17.01575360782965,-14.472958312438994,527.5125015258789,20.75950685858272,569.0315152430443,485.99348780871344,58815.35,476.25,568.4500122070312,-4.3250000000000455
5593,2025-01-10,516.6500244140625,516.7000122070312,496.1499938964844,498.8999938964844,61139,0.0,0.0,556.8390032958985,559.8130447393335,31.80594339960983,522.4067769347464,536.8072069722089,-14.400430037462456,-13.837259488591329,531.8375015258789,18.393234040985067,568.6239696078491,495.05103344390875,57267.2,498.8999938964844,568.4500122070312,-3.0175003051757585
5592,2025-01-09,521.2000122070312,529.6500244140625,515.4000244140625,516.6500244140625,22266,0.0,0.0,558.3000036621094,562.299291712511,30.49098068704997,526.6807374871578,539.8397840182669,-13.159046531109084,-13.696466851373547,534.8550018310547,17.6402196148839,570.1354410608225,499.57456260128686,57105.05,513.5999755859375,568.4500122070312,-2.672497558593818
