,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA,STD_DEV,Upper_Band,Lower_Band,Volume_MA_20,Support,Resistance,Trend
5474,2024-07-22,463.9500122070313,463.9500122070313,456.5499877929688,458.25,278719,0.0,0.0,488.3219976806641,488.0546842816839,29.54912125600707,471.0185808978398,477.26353637247905,-6.244955474639255,-5.799354707132917,475.7274963378906,7.557784085582552,490.8430645090557,460.61192816672553,463087.9,458.25,485.75,-1.5850006103515852
5473,2024-07-19,474.8999938964844,474.8999938964844,461.0,463.9500122070313,285237,0.0,0.0,490.11199768066405,489.27120200746685,31.747422108881253,473.3401410610834,478.78461928227733,-5.444478221193947,-5.687954515256332,477.3124969482422,7.003211466748554,491.3189198817393,463.3060740147451,548162.05,463.9500122070313,489.9500122070313,-0.404998779296875
5472,2024-07-18,480.0,480.0,470.3999938964844,472.5499877929688,163652,0.0,0.0,491.61899719238284,490.304719958505,38.97128871748866,475.04743721636555,479.971387848297,-4.923950631931461,-5.748823588771929,477.7174957275391,6.397828455760933,490.51315263906093,464.9218388160172,658374.5,465.8999938964844,489.9500122070313,-0.04250030517579262
5471,2024-07-16,477.9500122070313,484.4500122070313,476.75,479.0499877929688,446206,0.0,0.0,493.2139971923828,491.0294029040371,46.008862953086236,475.5015189297104,480.5650998527232,-5.0635809230128075,-5.955041827982045,477.75999603271487,6.364430467453893,490.48885696762267,465.03113509780707,668023.9,465.8999938964844,489.9500122070313,0.22500000000002274
5470,2024-07-15,475.7999877929688,492.0,468.1000061035156,476.7999877929688,1539119,0.0,0.0,494.8189971923828,491.5183586228562,50.558363241592694,474.8563427727544,480.6863088175036,-5.829966044749199,-6.177907054224353,477.53499603271484,6.395891372319808,490.32677877735443,464.74321328807525,659820.75,465.8999938964844,489.9500122070313,0.19749908447266762
5469,2024-07-12,470.7000122070313,474.0,457.9500122070313,465.8999938964844,587609,0.0,0.0,496.3359979248047,492.11910845264754,29.258094491593795,474.502952769079,480.9972144994664,-6.494261730387393,-6.264892306593141,477.3374969482422,6.480212302567726,490.29792155337765,464.3770723431067,604419.45,465.8999938964844,489.9500122070313,-0.4525009155273665
5468,2024-07-11,472.0,475.0,466.7000122070313,468.3500061035156,230735,0.0,0.0,498.00999755859374,493.18927639371543,28.22580297829373,476.0671271095507,482.20499214770496,-6.137865038154246,-6.2075499506445775,477.78999786376954,5.932330437615386,489.6546587390003,465.9253369885388,591369.65,468.3500061035156,489.9500122070313,-0.4425003051757699
5467,2024-07-10,473.8999938964844,474.8999938964844,463.0,468.3999938964844,542641,0.0,0.0,499.6439971923828,494.20312416066236,47.2942983065356,477.47024001973887,483.31339103124014,-5.843151011501277,-6.224971178767159,478.2324981689453,5.505866977191119,489.24423212332755,467.2207642145631,607339.15,468.3999938964844,489.9500122070313,-0.8074996948242301
5466,2024-07-09,479.3999938964844,479.3999938964844,472.5,473.6499938964844,210081,0.0,0.0,501.1939978027344,495.2563131510369,50.19669536421297,479.11937567851237,484.5064628020206,-5.387087123508252,-6.32042622058363,479.03999786376954,5.1614373354040115,489.36287253457755,468.71712319296154,598966.7,472.0499877929688,489.9500122070313,-0.9050003051757471
5465,2024-07-08,481.75,483.2999877929688,475.2999877929688,476.25,252147,0.0,0.0,502.7979974365234,496.13820373285535,51.36876908576069,480.1138087297902,485.37498031446347,-5.261171584673264,-6.553760994852474,479.9449981689453,5.722898476466676,491.3907951218786,468.49920121601195,632524.45,472.0499877929688,491.75,-0.3800003051758267
5464,2024-07-05,478.2999877929688,487.9500122070313,478.0499877929688,481.75,410499,0.0,0.0,504.3149969482422,496.94996715052287,57.63292547274747,480.81631940793386,486.10497873962055,-5.288659331686688,-6.876908347397276,480.3249984741211,5.716954670234447,491.75890781459003,468.8910891336522,643300.25,472.0499877929688,491.75,-0.157499694824196
5463,2024-07-04,479.7000122070313,480.9500122070313,475.5,478.2999877929688,157716,0.0,0.0,505.4739971923828,497.5703739729932,52.941154405515555,480.6465593002855,486.4533770387902,-5.806817738504719,-7.273970601324923,480.4824981689453,5.801051057293867,492.08460028353306,468.88039605435756,646217.0,472.0499877929688,491.75,-0.6450012207031364
5462,2024-07-03,477.7000122070313,479.6000061035156,470.75,477.75,222926,0.0,0.0,506.6499969482422,498.356920347688,50.46887260360357,481.0732086652522,487.1056481784559,-6.0324395132037125,-7.640758817029973,481.12749938964845,6.245726531158743,493.6189524519659,468.636046327331,661858.2,472.0499877929688,491.75,1.092500305175804
5461,2024-07-02,484.0,487.0,475.0,476.5499877929688,421801,0.0,0.0,507.37399719238283,499.1980191373895,43.82715933098677,481.67742842257076,487.8541000327324,-6.176671610161634,-8.042838642986538,480.03499908447264,8.405265552280863,496.8455301890344,463.2244679799109,681899.75,455.8999938964844,491.75,-0.48750000000001137
5460,2024-07-01,485.9500122070313,487.9500122070313,481.75,483.6499938964844,237970,0.0,0.0,508.2669976806641,500.1224285800189,43.75962491118634,482.60969035522567,488.75842901191345,-6.148738656687783,-8.509380401192765,480.52249908447266,8.47495674852639,497.4724125815254,463.5725855874199,674389.5,455.8999938964844,491.75,-0.14499969482420738
5459,2024-06-28,485.5,489.9500122070313,483.1000061035156,485.0499877929688,326820,0.0,0.0,509.22599731445314,500.7947728528162,50.84032338377571,482.42054425681494,489.1671038211478,-6.74655956433287,-9.099540837319008,480.66749877929686,8.555705526293588,497.77890983188405,463.5560877267097,674112.65,455.8999938964844,491.75,-0.4225006103515625
5458,2024-06-27,484.0,491.0,483.0,483.7000122070313,491927,0.0,0.0,509.95899780273436,501.43741714097325,49.15613109251637,481.94246361387786,489.4964731034021,-7.554009489524219,-9.687786155565542,481.0899993896484,8.981555914644348,499.05311121893715,463.1268875603597,664899.05,455.8999938964844,493.5,-0.842498779296875
5457,2024-06-26,476.7000122070313,488.0,475.0499877929688,482.6499938964844,812709,0.0,0.0,510.9559973144531,502.1613928525627,44.40077431103622,481.62290932421354,489.96018997511175,-8.337280650898208,-10.221230322075872,481.9324981689453,9.974656000394305,501.8818101697339,461.9831861681567,648170.4,455.8999938964844,500.5499877929688,-1.2975006103515625
5456,2024-06-25,487.4500122070313,489.9500122070313,474.2999877929688,476.25,610868,0.0,0.0,512.0849969482422,502.957776483423,59.66745852872549,481.43616667470974,490.54500566140194,-9.108838986692206,-10.692217739870289,483.22999877929686,11.624277016209215,506.4785528117153,459.9814447468784,647047.4,455.8999938964844,508.6000061035156,-1.8024993896484602
5455,2024-06-24,494.0,500.5,484.3999938964844,485.75,1032376,0.0,0.0,513.3619964599609,504.04788980927697,49.78201042943774,482.3791060701115,491.6886061143141,-9.309500044202593,-11.088062428164807,485.0324981689453,13.176367010163661,511.38523218927264,458.679764148618,638516.7,455.8999938964844,512.2999877929688,-1.407501220703125
5454,2024-06-21,478.0,504.0,475.0499877929688,489.9500122070313,1980202,0.0,0.0,514.5779962158203,504.79474245455356,51.391171879877625,481.7662162646772,492.16369460345925,-10.397478338782037,-11.532703024155362,486.43999938964845,14.675282429010572,515.7905642476696,457.0894345316273,598715.9,455.8999938964844,513.9000244140625,-1.3850006103515398
5453,2024-06-20,475.0,477.5,469.0,472.0499877929688,2489486,0.0,0.0,515.661996459961,505.40064981159526,40.35954507549162,480.27825336606736,492.3407891951735,-12.062535829106139,-11.816509195498691,487.825,16.246935437808574,520.3188708756171,455.33112912438287,527830.1,455.8999938964844,517.6500244140625,-2.25
5452,2024-06-19,476.8999938964844,477.7999877929688,472.0,473.3999938964844,356640,0.0,0.0,517.1889971923828,506.7619013225596,38.3924762089412,481.7743016520853,493.9640533073499,-12.189751655264615,-11.755002537096829,490.075,17.04374281333199,524.162485626664,455.987514373336,413585.15,455.8999938964844,517.6500244140625,-2.715000915527355
5451,2024-06-18,475.0,478.0,471.4500122070313,474.5499877929688,282143,0.0,0.0,518.4969970703125,508.1236118297463,36.25352578421059,483.29690306219453,495.60917806021916,-12.312274998024634,-11.646315257554882,492.79000091552734,18.50953570496428,529.8090723254559,455.7709295055988,416381.35,455.8999938964844,527.7000122070312,-2.3649993896484602
5450,2024-06-14,477.9500122070313,479.0,470.5,472.8500061035156,431093,0.0,0.0,519.8089978027343,509.49396383124747,34.32658729590993,484.88725129296284,497.29391328159915,-12.406661988636301,-11.479825322437444,495.1550003051758,19.06964374011945,533.2942877854147,457.0157128249369,417692.1,455.8999938964844,527.7000122070312,-1.8624999999999545
5449,2024-06-13,480.0,480.0,474.1000061035156,474.9500122070313,326613,0.0,0.0,521.0019976806641,510.9896355752365,34.46350186367766,487.0758413274078,499.2494258558458,-12.173584528438028,-11.248116155887729,497.01750030517576,18.589523424856736,534.1965471548892,459.8384534554623,404420.8,455.8999938964844,527.7000122070312,-1.4949996948242301
5448,2024-06-12,485.5,488.3999938964844,476.0,477.2000122070313,550125,0.0,0.0,522.0129974365234,512.4606406106734,34.05597141140092,489.2805375311126,501.19337894775094,-11.912841416638344,-11.016749062750154,498.5125,17.91134729492854,534.3351945898571,462.6898054101429,397407.3,455.8999938964844,527.7000122070312,-1.2349990844726904
5447,2024-06-11,498.0,499.0,481.4500122070313,484.5499877929688,375192,0.0,0.0,521.7789971923828,513.8998499332711,36.46961966133396,491.4769966809456,503.11284828700855,-11.635851606062943,-10.792725974278106,499.7474990844727,17.201987952240565,534.1514749889539,465.34352317999156,384642.6,455.8999938964844,527.7000122070312,-1.257501220703091
5446,2024-06-10,483.0,504.4500122070313,482.9500122070313,491.75,881236,0.0,0.0,521.2569976806641,515.0978034900181,35.451242315035984,492.7364528423959,504.5978771265317,-11.861424284135808,-10.581944566331895,501.00500030517577,16.949959450765647,534.9049192067071,467.1050814036445,419752.45,455.8999938964844,527.7000122070312,-1.804998779296909
5445,2024-06-07,485.9500122070313,499.8999938964844,481.8500061035156,483.8500061035156,467663,0.0,0.0,520.6709979248047,516.0507750610393,34.36217211540807,492.91580790464974,505.62570729665424,-12.709899392004502,-10.262074636880916,502.8099990844727,17.812707819773696,538.4354147240201,467.1845834449253,383998.55,455.8999938964844,527.8499755859375,-2.5124984741210596
