,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,0.0,,,,
Ordinary Shares Number,1610969748.0,1610836480.0,1610765867.0,1610599201.0,
Share Issued,1610969748.0,1610836480.0,1610765867.0,1610599201.0,
Net Debt,2009979000.0,99714954000.0,79598164000.0,110018897000.0,
Total Debt,171859791000.0,250185793000.0,205814492000.0,172302098000.0,
Tangible Book Value,216096380000.0,195841525000.0,173811507000.0,174081837000.0,
Invested Capital,387956171000.0,446027318000.0,379625999000.0,346383935000.0,
Net Tangible Assets,216096380000.0,195841525000.0,173811507000.0,174081837000.0,
Common Stock Equity,216096380000.0,195841525000.0,173811507000.0,174081837000.0,
Total Capitalization,387956171000.0,446027318000.0,379625999000.0,346383935000.0,
Total Equity Gross Minority Interest,216096380000.0,195841525000.0,173811507000.0,174081837000.0,
Stockholders Equity,216096380000.0,195841525000.0,173811507000.0,174081837000.0,
Other Equity Interest,441899000.0,119456000.0,52395000.0,,
Retained Earnings,86791311000.0,74537813000.0,60099356000.0,61710030000.0,
Additional Paid In Capital,54210543000.0,54187887000.0,54172016000.0,54143674000.0,
Capital Stock,16109697000.0,16108365000.0,16107659000.0,16105992000.0,
Common Stock,16109697000.0,16108365000.0,16107659000.0,16105992000.0,
Total Liabilities Net Minority Interest,1562320210000.0,1364529401000.0,1216140234000.0,976079912000.0,
Long Term Debt And Capital Lease Obligation,171859791000.0,250185793000.0,205814492000.0,172302098000.0,
Payables,2791124000.0,1195556000.0,1103648000.0,8554151000.0,
Other Payable,,,6602212000.0,4400100000.0,6748300644.0
Accounts Payable,2791124000.0,1195556000.0,1103648000.0,4154051000.0,
Total Assets,1778416590000.0,1560370926000.0,1389951741000.0,1150161749000.0,
Investments And Advances,292875784000.0,323658918000.0,290787101000.0,251553875000.0,
Investmentin Financial Assets,292875784000.0,323658918000.0,290787101000.0,251553875000.0,
Available For Sale Securities,2242112000.0,2181463000.0,4396711000.0,558651000.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Net PPE,11734263000.0,8545906000.0,5878851000.0,4867122000.0,
Accumulated Depreciation,-8872347000.0,-6536270000.0,-5407107000.0,-4430608000.0,
Gross PPE,20606610000.0,15082176000.0,11285958000.0,9297730000.0,
Construction In Progress,2143556000.0,3456755000.0,1733025000.0,547499000.0,
Other Properties,15310764000.0,9948257000.0,8015308000.0,7213038000.0,
Properties,3152290000.0,1677164000.0,1537625000.0,1537193000.0,
Prepaid Assets,7198992000.0,3105803000.0,0.0,2361934000.0,
Receivables,14370151000.0,9672082000.0,10351100000.0,5415025000.0,
Cash And Cash Equivalents,224151361000.0,150470839000.0,126216328000.0,62283201000.0,
Cash Equivalents,0.0,0.0,249993000.0,0.0,
Cash Financial,14452702000.0,12223863000.0,11730810000.0,7643781000.0,
