,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-110554000.0,69462000.0,2979000.0,-1448650.0,
Repayment Of Debt,-210984000.0,-2703000.0,,0.0,0.0
Issuance Of Debt,269500000.0,0.0,,0.0,0.0
Issuance Of Capital Stock,,981325000.0,0.0,0.0,
Capital Expenditure,-14705000.0,-400564000.0,-78000.0,,
End Cash Position,19559000.0,55072000.0,3829000.0,42630.0,
Other Cash Adjustment Outside Changein Cash,,,-1000.0,,
Beginning Cash Position,55072000.0,3872000.0,0.0,61570.0,
Changes In Cash,-35513000.0,51200000.0,3830000.0,-18940.0,
Financing Cash Flow,43862000.0,978559000.0,816000.0,1429710.0,
Net Other Financing Charges,-9025000.0,981326000.0,,,
Interest Paid Cff,-5629000.0,-64000.0,-457000.0,-290.0,
Net Common Stock Issuance,,981325000.0,0.0,0.0,
Common Stock Issuance,,981325000.0,0.0,0.0,
Net Issuance Payments Of Debt,58516000.0,-2703000.0,1273000.0,1430000.0,
Net Short Term Debt Issuance,,-2703000.0,1273000.0,1430000.0,2911000.0
Net Long Term Debt Issuance,58516000.0,-2703000.0,0.0,0.0,
Long Term Debt Payments,-210984000.0,-2703000.0,,0.0,0.0
Long Term Debt Issuance,269500000.0,0.0,,0.0,0.0
Investing Cash Flow,16474000.0,-1397385000.0,-43000.0,0.0,
Net Other Investing Changes,-1000.0,-35000.0,,,
Interest Received Cfi,56761000.0,29396000.0,35000.0,0.0,
Net Investment Purchase And Sale,-158563000.0,-199788000.0,0.0,0.0,
Purchase Of Investment,,,0.0,0.0,
Net PPE Purchase And Sale,-14705000.0,-400564000.0,-78000.0,0.0,
Sale Of PPE,0.0,0.0,0.0,0.0,
Purchase Of PPE,-14705000.0,-400564000.0,-78000.0,0.0,
Operating Cash Flow,-95849000.0,470026000.0,3057000.0,-1448650.0,
Taxes Refund Paid,-5730000.0,0.0,0.0,0.0,
Change In Working Capital,-269502000.0,429552000.0,-8262000.0,84130.0,
Change In Other Current Liabilities,-56160000.0,296072000.0,11054000.0,48130.0,
Change In Other Current Assets,-152458000.0,61425000.0,-85373000.0,-4650.0,
Change In Payable,226009000.0,96564000.0,144049000.0,48000.0,
Change In Inventory,,,0.0,40650.0,0.0
Change In Receivables,-286893000.0,-24509000.0,-77992000.0,-5000.0,
Other Non Cash Items,-51132000.0,-29332000.0,404000.0,2722250.0,
Depreciation And Amortization,37162000.0,260000.0,12000.0,1800000.0,
Amortization Cash Flow,,,3000.0,,
Depreciation,37162000.0,260000.0,9000.0,1800000.0,
Gain Loss On Investment Securities,,19000.0,19000.0,,
Net Foreign Currency Exchange Gain Loss,2274000.0,-2824000.0,0.0,0.0,
Net Income From Continuing Operations,191079000.0,72370000.0,10884000.0,-6055030.0,
