,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-28912000.0,12846000.0,-49927000.0,821427000.0,
Capital Expenditure,,,,,-1882000.0
End Cash Position,28470000.0,29474000.0,12099000.0,763883000.0,
Other Cash Adjustment Outside Changein Cash,,,-1000.0,,1000.0
Beginning Cash Position,29474000.0,12099000.0,763883000.0,46875000.0,
Changes In Cash,-1004000.0,17375000.0,-751783000.0,717008000.0,
Financing Cash Flow,-16022000.0,-15949000.0,-15958000.0,-231000.0,
Cash Dividends Paid,-16022000.0,-15949000.0,-15958000.0,-231000.0,
Common Stock Dividend Paid,,,,-231000.0,-19164000.0
Investing Cash Flow,43930000.0,20478000.0,-685898000.0,-104188000.0,
Net Other Investing Changes,,,,,1000.0
Dividends Received Cfi,290806000.0,0.0,,,
Net Investment Purchase And Sale,56954000.0,966386000.0,-678812000.0,-104188000.0,
Sale Of Investment,1116660000.0,3343190000.0,1173856000.0,786796000.0,
Purchase Of Investment,-1059706000.0,-2376804000.0,-1852668000.0,-890984000.0,
Net Business Purchase And Sale,-303830000.0,-950672000.0,-7086000.0,,
Purchase Of Business,-303830000.0,-950672000.0,-7086000.0,,
Net PPE Purchase And Sale,0.0,4764000.0,0.0,0.0,
Sale Of PPE,0.0,4764000.0,0.0,0.0,
Purchase Of PPE,,,,0.0,-1882000.0
Operating Cash Flow,-28912000.0,12846000.0,-49927000.0,821427000.0,
Taxes Refund Paid,-61324000.0,-27244000.0,-217374000.0,-35711000.0,
Change In Working Capital,13730000.0,12099000.0,113909000.0,788743000.0,
Change In Other Current Liabilities,-4564000.0,-947000.0,4238000.0,,
Change In Other Current Assets,18294000.0,13046000.0,109671000.0,,
Change In Payable,,,-4382000.0,-25943000.0,30579000.0
Change In Receivables,,,132262000.0,814686000.0,-972416000.0
Other Non Cash Items,4623000.0,,,,
Provisionand Write Offof Assets,-462000.0,0.0,,0.0,-14000.0
Depreciation And Amortization,72000.0,72000.0,77000.0,88000.0,
Depreciation,72000.0,72000.0,77000.0,88000.0,
Gain Loss On Investment Securities,-115821000.0,-5977000.0,-265159000.0,-119222000.0,
Net Income From Continuing Operations,1942402000.0,2249210000.0,4594712000.0,1332143000.0,
