Date,Dividends
2008-07-22 00:00:00+05:30,0.5
2009-07-20 00:00:00+05:30,0.4
2010-07-13 00:00:00+05:30,0.6
2011-07-26 00:00:00+05:30,0.6
2012-07-27 00:00:00+05:30,0.8
2013-07-29 00:00:00+05:30,1.0
2014-07-28 00:00:00+05:30,1.6
2015-06-26 00:00:00+05:30,1.6
2016-03-16 00:00:00+05:30,4.0
2017-07-14 00:00:00+05:30,2.0
2018-07-20 00:00:00+05:30,2.8
2019-07-26 00:00:00+05:30,3.2
2020-02-18 00:00:00+05:30,4.0
2020-08-06 00:00:00+05:30,4.0
2021-02-12 00:00:00+05:30,4.0
2021-07-12 00:00:00+05:30,6.0
2022-07-22 00:00:00+05:30,10.0
2023-07-04 00:00:00+05:30,10.0
2024-06-25 00:00:00+05:30,10.0
