Date,Dividends
2005-07-15 00:00:00+05:30,5.5
2006-08-09 00:00:00+05:30,6.0
2007-07-17 00:00:00+05:30,6.5
2008-07-18 00:00:00+05:30,6.5
2009-07-17 00:00:00+05:30,6.5
2010-06-29 00:00:00+05:30,7.0
2011-06-22 00:00:00+05:30,7.5
2012-06-20 00:00:00+05:30,8.0
2013-06-20 00:00:00+05:30,8.5
2014-06-26 00:00:00+05:30,9.0
2015-07-22 00:00:00+05:30,9.5
2015-07-23 00:00:00+05:30,9.5
2016-07-22 00:00:00+05:30,10.0
2017-09-14 00:00:00+05:30,12.5
2018-09-12 00:00:00+05:30,15.0
2019-11-04 00:00:00+05:30,10.0
2020-02-07 00:00:00+05:30,10.0
2020-05-14 00:00:00+05:30,11.0
2021-05-18 00:00:00+05:30,13.0
2021-08-09 00:00:00+05:30,13.0
2021-11-03 00:00:00+05:30,13.0
2022-02-07 00:00:00+05:30,13.0
