Date,Dividends
2004-05-14 00:00:00+05:30,3.5
2005-03-11 00:00:00+05:30,5.0
2006-04-13 00:00:00+05:30,7.0
2007-05-14 00:00:00+05:30,6.9
2008-03-31 00:00:00+05:30,5.8
2009-04-24 00:00:00+05:30,2.5
2011-05-12 00:00:00+05:30,5.0
2012-06-21 00:00:00+05:30,6.0
2013-05-02 00:00:00+05:30,7.0
2014-05-08 00:00:00+05:30,4.0
2015-06-18 00:00:00+05:30,1.5
2016-09-12 00:00:00+05:30,4.0
2017-09-19 00:00:00+05:30,2.0
2018-09-18 00:00:00+05:30,1.0
2021-09-15 00:00:00+05:30,1.0
2022-09-20 00:00:00+05:30,1.0
2023-09-05 00:00:00+05:30,2.0
2024-09-17 00:00:00+05:30,2.0
