Date,Dividends
2002-12-24 00:00:00+05:30,0.15
2003-03-27 00:00:00+05:30,0.15
2004-09-20 00:00:00+05:30,0.25
2005-09-14 00:00:00+05:30,0.275
2006-08-30 00:00:00+05:30,0.06
2007-09-06 00:00:00+05:30,0.09
2008-01-28 00:00:00+05:30,0.1
2008-09-11 00:00:00+05:30,0.1
2009-05-14 00:00:00+05:30,0.1
2010-02-09 00:00:00+05:30,0.1
2011-02-10 00:00:00+05:30,0.15
2012-02-15 00:00:00+05:30,0.15
2012-07-26 00:00:00+05:30,0.05
2013-10-31 00:00:00+05:30,0.175
2014-09-10 00:00:00+05:30,0.21
2016-02-05 00:00:00+05:30,0.2
2017-08-30 00:00:00+05:30,0.2
2018-07-19 00:00:00+05:30,0.225
2019-07-25 00:00:00+05:30,0.25
2020-03-16 00:00:00+05:30,0.25
2021-08-18 00:00:00+05:30,0.3
2022-08-01 00:00:00+05:30,0.325
2023-08-25 00:00:00+05:30,0.35
2024-08-23 00:00:00+05:30,0.35
