Date,Dividends
2007-09-18 00:00:00+05:30,0.15
2008-08-28 00:00:00+05:30,0.15
2009-09-08 00:00:00+05:30,0.03
2010-09-20 00:00:00+05:30,0.3
2011-08-29 00:00:00+05:30,0.1
2012-12-14 00:00:00+05:30,0.15
2013-09-19 00:00:00+05:30,0.15
2014-12-18 00:00:00+05:30,0.2
2015-09-21 00:00:00+05:30,0.2
2016-09-21 00:00:00+05:30,0.25
2017-09-18 00:00:00+05:30,0.25
2018-09-18 00:00:00+05:30,0.25
2019-09-18 00:00:00+05:30,0.3
2020-02-26 00:00:00+05:30,0.2
2020-09-16 00:00:00+05:30,0.1
2021-09-15 00:00:00+05:30,0.35
2021-09-16 00:00:00+05:30,0.35
2022-09-15 00:00:00+05:30,0.4
2023-09-15 00:00:00+05:30,0.45
2024-09-13 00:00:00+05:30,0.5
