Date,Dividends
2003-07-16 00:00:00+05:30,18.0
2004-01-22 00:00:00+05:30,10.0
2004-07-29 00:00:00+05:30,10.0
2005-07-20 00:00:00+05:30,20.0
2006-08-14 00:00:00+05:30,20.0
2007-07-10 00:00:00+05:30,17.0
2008-09-09 00:00:00+05:30,19.0
2009-08-28 00:00:00+05:30,20.0
2010-04-13 00:00:00+05:30,80.0
2010-08-30 00:00:00+05:30,30.0
2011-04-20 00:00:00+05:30,70.0
2011-08-25 00:00:00+05:30,35.0
2012-08-07 00:00:00+05:30,45.0
2013-09-03 00:00:00+05:30,60.0
2014-07-03 00:00:00+05:30,65.0
2014-08-08 00:00:00+05:30,30.0
2015-06-01 00:00:00+05:30,30.0
2016-03-21 00:00:00+05:30,40.0
2016-09-15 00:00:00+05:30,32.0
2017-03-16 00:00:00+05:30,55.0
2017-06-30 00:00:00+05:30,30.0
2018-02-15 00:00:00+05:30,55.0
2018-07-11 00:00:00+05:30,40.0
2018-07-12 00:00:00+05:30,40.0
2019-02-11 00:00:00+05:30,55.0
2019-07-16 00:00:00+05:30,32.0
2019-07-17 00:00:00+05:30,32.0
2020-02-17 00:00:00+05:30,65.0
2020-07-30 00:00:00+05:30,25.0
2021-02-15 00:00:00+05:30,5.0
2021-07-22 00:00:00+05:30,10.0
2022-02-21 00:00:00+05:30,60.0
