Date,Dividends
2001-06-11 00:00:00+05:30,6.0
2002-06-27 00:00:00+05:30,7.0
2003-07-14 00:00:00+05:30,7.0
2004-07-06 00:00:00+05:30,10.0
2005-07-07 00:00:00+05:30,10.0
2006-07-19 00:00:00+05:30,2.5
2007-07-12 00:00:00+05:30,10.0
2008-07-16 00:00:00+05:30,12.0
2009-07-14 00:00:00+05:30,12.0
2010-07-14 00:00:00+05:30,12.0
2011-07-21 00:00:00+05:30,12.0
2012-07-19 00:00:00+05:30,14.0
2013-07-11 00:00:00+05:30,14.0
2014-07-03 00:00:00+05:30,13.0
2015-07-10 00:00:00+05:30,2.20211
2016-03-21 00:00:00+05:30,1.69393
2016-07-12 00:00:00+05:30,0.677571
2017-07-12 00:00:00+05:30,2.20211
2018-07-11 00:00:00+05:30,0.545455
2019-07-10 00:00:00+05:30,0.6
2019-07-11 00:00:00+05:30,0.6
2021-07-23 00:00:00+05:30,0.5
