Date,Dividends
2003-08-13 00:00:00+05:30,7.5
2004-08-05 00:00:00+05:30,7.5
2005-08-11 00:00:00+05:30,7.5
2006-08-10 00:00:00+05:30,10.0
2007-07-19 00:00:00+05:30,2.0
2008-07-17 00:00:00+05:30,2.0
2009-07-16 00:00:00+05:30,2.0
2010-07-22 00:00:00+05:30,2.0
2011-07-21 00:00:00+05:30,2.5
2012-07-19 00:00:00+05:30,3.0
2013-07-18 00:00:00+05:30,3.0
2014-08-07 00:00:00+05:30,3.5
2015-08-06 00:00:00+05:30,4.0
2016-03-16 00:00:00+05:30,4.0
2017-08-10 00:00:00+05:30,4.0
2018-09-12 00:00:00+05:30,4.5
2019-08-14 00:00:00+05:30,4.5
2020-08-27 00:00:00+05:30,4.5
2021-08-12 00:00:00+05:30,4.5
