Date,Dividends
2002-09-13 00:00:00+05:30,0.6
2003-10-13 00:00:00+05:30,0.7
2004-09-13 00:00:00+05:30,0.9
2005-09-20 00:00:00+05:30,0.9
2006-09-25 00:00:00+05:30,1.0
2007-01-25 00:00:00+05:30,0.5
2007-10-01 00:00:00+05:30,1.0
2008-01-24 00:00:00+05:30,0.7
2008-10-03 00:00:00+05:30,0.9
2009-09-01 00:00:00+05:30,2.4
2010-01-18 00:00:00+05:30,1.0
2010-09-03 00:00:00+05:30,2.6
2011-02-04 00:00:00+05:30,1.3
2011-09-05 00:00:00+05:30,3.0
2012-01-31 00:00:00+05:30,1.5
2012-09-06 00:00:00+05:30,4.5
2013-01-28 00:00:00+05:30,2.0
2013-09-05 00:00:00+05:30,5.5
2014-01-27 00:00:00+05:30,2.0
2014-09-08 00:00:00+05:30,6.0
2015-01-28 00:00:00+05:30,2.0
2015-09-08 00:00:00+05:30,7.0
2016-02-02 00:00:00+05:30,2.5
2016-03-22 00:00:00+05:30,5.0
2016-11-07 00:00:00+05:30,3.0
2017-06-21 00:00:00+05:30,5.0
2017-11-06 00:00:00+05:30,3.0
2018-06-19 00:00:00+05:30,9.0
2018-11-05 00:00:00+05:30,4.0
2019-07-02 00:00:00+05:30,9.0
2019-07-03 00:00:00+05:30,9.0
2019-11-04 00:00:00+05:30,4.0
2020-03-06 00:00:00+05:30,10.0
2020-11-05 00:00:00+05:30,5.0
2021-06-21 00:00:00+05:30,17.0
2021-06-22 00:00:00+05:30,17.0
2021-10-29 00:00:00+05:30,6.0
2022-06-21 00:00:00+05:30,18.0
2022-11-07 00:00:00+05:30,6.0
2023-06-21 00:00:00+05:30,20.0
2023-11-07 00:00:00+05:30,8.0
2024-06-21 00:00:00+05:30,22.0
2024-10-30 00:00:00+05:30,10.0
