Date,Dividends
1999-07-20 00:00:00+05:30,1.1
2000-04-11 00:00:00+05:30,1.01
2001-08-17 00:00:00+05:30,0.9
2002-05-28 00:00:00+05:30,0.7
2003-08-14 00:00:00+05:30,0.7
2004-08-17 00:00:00+05:30,0.85
2005-07-21 00:00:00+05:30,1.0
2006-07-21 00:00:00+05:30,1.2
2007-07-23 00:00:00+05:30,1.5
2008-08-01 00:00:00+05:30,3.5
2009-08-13 00:00:00+05:30,1.75
2010-08-05 00:00:00+05:30,2.0
2011-08-10 00:00:00+05:30,2.0
2012-08-09 00:00:00+05:30,2.15
2013-06-27 00:00:00+05:30,2.15
2014-08-05 00:00:00+05:30,2.25
2015-07-30 00:00:00+05:30,2.25
2016-08-08 00:00:00+05:30,2.25
2017-07-07 00:00:00+05:30,2.35
2017-08-04 00:00:00+05:30,2.35
2018-06-20 00:00:00+05:30,2.5
2019-05-24 00:00:00+05:30,2.5
2020-06-18 00:00:00+05:30,2.7
2021-06-10 00:00:00+05:30,4.05
2022-06-09 00:00:00+05:30,6.05
2023-05-19 00:00:00+05:30,8.45
2024-05-24 00:00:00+05:30,7.75
