Date,Dividends
2007-06-20 00:00:00+05:30,0.5
2008-06-19 00:00:00+05:30,0.5
2009-05-22 00:00:00+05:30,0.37
2010-05-04 00:00:00+05:30,0.38
2010-06-04 00:00:00+05:30,0.74
2011-04-26 00:00:00+05:30,0.37
2012-06-06 00:00:00+05:30,0.375
2013-05-28 00:00:00+05:30,0.38
2014-05-21 00:00:00+05:30,0.38
2015-08-17 00:00:00+05:30,0.5
2016-08-24 00:00:00+05:30,0.375
2017-07-24 00:00:00+05:30,0.38
2018-09-18 00:00:00+05:30,0.375
2018-09-19 00:00:00+05:30,0.375
2019-07-31 00:00:00+05:30,0.375
2019-08-01 00:00:00+05:30,0.375
