Date,Dividends
2008-10-01 00:00:00+05:30,0.15
2009-09-07 00:00:00+05:30,0.15
2010-08-17 00:00:00+05:30,0.36
2011-12-16 00:00:00+05:30,0.6
2012-09-21 00:00:00+05:30,0.7
2013-09-06 00:00:00+05:30,0.7
2014-09-01 00:00:00+05:30,0.9
2015-09-14 00:00:00+05:30,1.0
2016-08-30 00:00:00+05:30,1.15
2017-09-14 00:00:00+05:30,1.15
2018-09-07 00:00:00+05:30,2.0
2019-08-13 00:00:00+05:30,2.5
2020-08-18 00:00:00+05:30,2.5
2021-07-01 00:00:00+05:30,0.5
2022-08-02 00:00:00+05:30,10.5
2023-08-03 00:00:00+05:30,7.5
2024-07-25 00:00:00+05:30,10.0
