Date,Dividends
2004-08-17 00:00:00+05:30,0.1
2005-08-17 00:00:00+05:30,4.0
2006-09-07 00:00:00+05:30,1.0
2007-03-21 00:00:00+05:30,1.2
2008-09-04 00:00:00+05:30,2.0
2009-09-03 00:00:00+05:30,1.5
2010-08-26 00:00:00+05:30,2.0
2011-07-14 00:00:00+05:30,2.0
2012-04-03 00:00:00+05:30,2.0
2012-07-12 00:00:00+05:30,0.5
2013-07-04 00:00:00+05:30,2.5
2014-08-07 00:00:00+05:30,4.0
2015-07-16 00:00:00+05:30,3.33333
2016-06-16 00:00:00+05:30,3.33333
2017-06-22 00:00:00+05:30,4.66667
2018-08-09 00:00:00+05:30,5.33333
2019-05-28 00:00:00+05:30,5.33333
2020-08-19 00:00:00+05:30,6.0
2021-07-14 00:00:00+05:30,10.0
