Date,Dividends
2007-07-06 00:00:00+05:30,17.5
2008-07-08 00:00:00+05:30,20.0
2009-03-25 00:00:00+05:30,10.0
2009-07-14 00:00:00+05:30,10.0
2010-07-20 00:00:00+05:30,25.0
2011-07-20 00:00:00+05:30,25.0
2012-07-05 00:00:00+05:30,25.0
2013-07-18 00:00:00+05:30,15.0
2014-02-03 00:00:00+05:30,10.0
2014-07-17 00:00:00+05:30,15.0
2015-02-11 00:00:00+05:30,10.0
2015-07-09 00:00:00+05:30,15.0
2016-02-09 00:00:00+05:30,10.0
2016-07-14 00:00:00+05:30,15.0
2017-02-07 00:00:00+05:30,10.0
2017-07-12 00:00:00+05:30,15.0
2017-07-13 00:00:00+05:30,15.0
2018-02-07 00:00:00+05:30,10.0
2018-07-12 00:00:00+05:30,15.0
2019-01-31 00:00:00+05:30,15.0
2019-07-11 00:00:00+05:30,15.0
2019-07-12 00:00:00+05:30,15.0
2020-07-15 00:00:00+05:30,25.0
2020-07-16 00:00:00+05:30,25.0
2021-02-03 00:00:00+05:30,10.0
2021-07-14 00:00:00+05:30,20.0
2021-07-15 00:00:00+05:30,20.0
2022-02-02 00:00:00+05:30,20.0
