,Unnamed: 0,stock,price_xy_years_ago,price_x_years_ago,price_current,past_performance_cagr_y,future_performance_cagr_x
19,19,PRAKASHSTL,10.72490692138672,0.2000000029802322,0.75,-79.7382094983976,69.82067829289316
110,110,ORCHPHARMA,54.29999923706055,14.199999809265137,5.449999809265137,-40.897130999790456,-31.865143433086608
65,65,INOXWIND,94.0,29.21249961853028,10.899999618530272,-36.36983074225319,-32.63084137227331
229,229,FEL,110.2428207397461,38.900001525878906,15.050000190734863,-35.15195052858617,-31.64612614805076
179,179,MARKSANS,84.5384521484375,33.967166900634766,49.401954650878906,-30.88602537636328,16.19329564031464
18,18,PARASPETRO,0.2000000029802322,0.1000000014901161,0.1000000014901161,-30.75527379222089,0.0
0,0,LUPIN,1754.7667236328125,736.8743896484375,980.5946044921876,-30.36425980352152,12.129567336159733
99,99,NIBL,58.54999923706055,22.5,6.199999809265137,-30.338148860395275,-40.33564150456128
169,169,RSSOFTWARE,134.54554748535156,58.736778259277344,23.374839782714844,-27.633998622863288,-30.869156593892036
50,50,KITEX,150.39096069335938,67.76317596435547,33.36458206176758,-27.34118912888229,-24.7140191558223
106,106,SITINET,31.049999237060547,14.949999809265137,1.7000000476837158,-26.929038869497923,-58.14944347311916
151,151,RUCHINFRA,7.550000190734863,3.900000095367432,7.349999904632568,-25.833793046647934,28.90517495728016
255,255,SNOWMAN,91.50582885742188,44.522743225097656,30.18651580810547,-24.753349044022062,-14.418227819181862
22,22,TGBHOTELS,73.44999694824219,36.75,5.900000095367432,-22.22650803103944,-51.947646721947216
137,137,SANGAMIND,237.6713104248047,125.91970825195312,48.36988067626953,-21.439840341750404,-31.84168344052097
188,188,VARDMNPOLY,4.139999866485596,2.184999942779541,0.8050000071525574,-20.656912610409677,-32.97263156900285
160,160,BLUEDART,6576.30419921875,3928.209228515625,2843.124755859375,-19.65392123645884,-12.148728176359802
257,257,WANBURY,61.09999847412109,35.150001525878906,36.09999847412109,-18.767254132027865,1.0742115295933274
127,127,STAR,1001.2557373046876,612.5233154296875,677.3751220703125,-18.19107616950848,4.114551589157589
83,83,DISHTV,107.09449005126952,66.47074127197266,15.449999809265137,-16.87230025896672,-44.26836095291997
168,168,PREMIER,41.150001525878906,24.549999237060547,3.75,-16.592240211410658,-52.89635999396626
171,171,BHEL,126.05811309814452,76.98365020751953,35.54914474487305,-16.580043632254903,-26.62446999195024
263,263,ROLTA,96.74885559082033,60.95000076293945,6.300000190734863,-16.314717983655846,-59.71924666048969
105,105,ZODIACLOTH,256.1952819824219,160.90695190429688,108.8499984741211,-16.174639704768843,-14.495366483437111
120,120,MPSLTD,561.7222290039062,388.6333618164063,350.89044189453125,-13.519894177179504,-4.010581285036352
235,235,SELMC,3300.0,2300.0,1550.0,-13.480646412196815,-14.625404217799998
237,237,OMKARCHEM,44.9824333190918,34.45000076293945,6.699999809265137,-13.050564451738722,-48.109737248298266
203,203,ZENITHEXPO,62.900001525878906,45.150001525878906,41.45000076293945,-12.258210844563155,-3.3677141735610205
215,215,WABAG,648.658935546875,482.2164001464844,207.3000030517578,-11.84320398485469,-28.69804205701584
219,219,PATINTLOG,35.37255859375,26.245210647583008,10.118680953979492,-10.882222296537837,-31.74147220261283
