,x,y,z,num_stocks,past_start_date,past_end_date,future_start_date,future_end_date,past_cagr,future_cagr,absolute_return_past,absolute_return_future,sum_past_xy_price,sum_past_x_price,sum_current_price
25,1.0,1.5,5.0,30,2017-09-03,2019-03-04,2019-03-04,2020-03-03,-58.78030365466277,-45.707353219609594,-71.68414090568437,-45.61642527745355,3287.42782831192,930.8634316921234,506.23680993914604
111,1.5,1.0,5.0,30,2017-09-03,2018-09-03,2018-09-03,2020-03-03,-57.45448217021028,-40.239076407217276,-57.26256541989563,-53.76911269859155,2723.950922101736,1164.1467433273792,538.1953689306974
201,1.5,5.0,5.0,30,2013-09-04,2018-09-03,2018-09-03,2020-03-03,-10.694512057216976,-39.49177470302415,-43.19445400882837,-52.90004336316391,6578.09587597847,3736.723278172314,1759.99504365772
304,2.0,5.0,5.0,30,2013-03-05,2018-03-04,2018-03-04,2020-03-03,-5.360640360933688,-39.2010199860676,-25.80055101383586,-62.9844120663543,7391.479069054127,5484.436741165817,2030.0965045914054
177,1.5,4.0,5.0,30,2014-09-04,2018-09-03,2018-09-03,2020-03-03,-18.701611362529245,-38.630808222879686,-56.31546157825947,-51.89213489940489,9807.475802809,4284.3505352810025,2061.1095759496093
133,1.5,2.0,5.0,30,2016-09-03,2018-09-03,2018-09-03,2020-03-03,-31.916605078098947,-38.374403426162985,-52.45611745635669,-51.590599625916944,7730.685744673014,3675.468150265515,1779.2720924839377
192,1.5,4.5,5.0,30,2014-03-05,2018-09-03,2018-09-03,2020-03-03,-9.755825562303567,-37.5431994385614,-37.00222313736191,-50.60879435958452,6358.017534211278,4005.409699089825,1978.3201412186027
495,3.0,5.0,5.0,30,2012-03-05,2017-03-04,2017-03-04,2020-03-03,-21.624002965393785,-36.10707533684364,-67.6588760584687,-73.85285250342649,22096.248203456402,7146.1750179082155,1868.5209222957492
118,1.5,1.5,5.0,30,2017-03-04,2018-09-03,2018-09-03,2020-03-03,-44.337522082715644,-35.96963315503178,-55.27004393136162,-48.732255689046674,8306.313109755516,3715.4102049171925,1904.8070039600134
293,2.0,4.5,5.0,30,2013-09-04,2018-03-04,2018-03-04,2020-03-03,-4.057743476638153,-35.83863980294867,-18.83240546305012,-58.78311731298429,7492.638329744339,6081.594299606979,2506.6435879692435
83,1.0,4.0,5.0,30,2015-03-05,2019-03-04,2019-03-04,2020-03-03,-26.41619006741266,-35.47716164783643,-69.28579684598893,-35.39966105200242,7909.0919370651245,2429.2145651876926,1569.280842885375
208,2.0,1.0,5.0,30,2017-03-04,2018-03-04,2018-03-04,2020-03-03,-38.470410105536565,-35.171378643964516,-35.41366633955158,-57.92256290078611,9606.661425188184,6204.590401701629,2610.732623539865
483,3.0,4.5,5.0,30,2012-09-04,2017-03-04,2017-03-04,2020-03-03,-10.016247646977462,-34.53396603570758,-32.18118403704777,-71.87735104461278,10753.88466244936,7293.157248094678,2051.029010646045
10,1.0,1.0,5.0,30,2018-03-04,2019-03-04,2019-03-04,2020-03-03,-69.52265434444705,-34.51941850675936,-68.02477913767629,-34.44341398680666,4657.161728858948,1489.1377487182617,976.2278690934181
34,1.0,2.0,5.0,30,2017-03-04,2019-03-04,2019-03-04,2020-03-03,-49.215006753061296,-33.939237598376046,-70.8889279623801,-33.864158043525286,7776.426885962486,2263.801232725382,1497.184005483985
141,1.5,2.5,5.0,30,2016-03-04,2018-09-03,2018-09-03,2020-03-03,-23.918135572155343,-33.34485703107673,-49.52919425167163,-45.55076026373307,9193.515693858266,4640.041447289288,2526.467291496694
397,2.5,5.0,5.0,30,2012-09-04,2017-09-03,2017-09-03,2020-03-03,-13.690966894439939,-33.33537184109202,-52.22188654150255,-63.65351897651285,10572.651332199574,5051.413349069655,1836.0109943374991
264,2.0,3.5,5.0,30,2014-09-04,2018-03-04,2018-03-04,2020-03-03,-13.177848291274408,-33.07795915352308,-40.22110453274063,-55.165095809429,11290.620929151773,6749.408482842147,3026.0908267125487
595,3.5,5.0,5.0,30,2011-09-05,2016-09-03,2016-09-03,2020-03-03,-23.771989881894097,-31.0521079800004,-73.7027459702396,-72.6868428404923,24691.443470954895,6493.171613171697,1773.4901673421264
278,2.0,4.0,5.0,30,2014-03-05,2018-03-04,2018-03-04,2020-03-03,-5.184451084121433,-28.914717104395116,-21.342671921334404,-49.421554754245015,6943.7598800212145,5461.775989823043,2762.4813784584403
102,1.0,5.0,5.0,30,2014-03-05,2019-03-04,2019-03-04,2020-03-03,-17.172055054261016,-28.68536258281218,-59.62275558530757,-28.619279275215625,6042.425626710057,2439.7649638727307,1741.5218152031302
42,1.0,2.5,5.0,30,2016-09-03,2019-03-04,2019-03-04,2020-03-03,-39.21481843562382,-28.34357168307372,-69.28790370609876,-28.278111174337344,8418.733422279358,2585.569515377283,1854.4192933291197
220,2.0,1.5,5.0,30,2016-09-03,2018-03-04,2018-03-04,2020-03-03,-20.3980496410757,-27.35295027883956,-28.74561386417323,-47.177836115377154,16180.168330579996,11529.079619698226,6089.9093311056495
57,1.0,3.0,5.0,30,2016-03-04,2019-03-04,2019-03-04,2020-03-03,-31.891829044888766,-27.178768035800104,-67.0841269746149,-27.115463349212583,7616.8725962638855,2507.1601122915745,1827.3320309370756
583,3.5,4.5,5.0,30,2012-03-05,2016-09-03,2016-09-03,2020-03-03,-23.93726617183034,-26.682603533779524,-70.19580766960785,-66.15323576381238,22170.38935536146,6607.705483868718,2236.4944965466857
393,2.5,4.5,5.0,30,2013-03-05,2017-09-03,2017-09-03,2020-03-03,-7.296955424587514,-26.498183173504064,-29.060386685258937,-53.623854985845256,7555.947639763355,5360.160037912428,2485.83559217304
205,2.0,1.0,4.5,30,2017-09-03,2018-09-03,2018-09-03,2020-09-02,-57.45448217021028,-26.418413949374653,-57.26256541989563,-45.857501942744186,2723.950922101736,1164.1467433273792,630.2981278896332
359,2.5,3.0,5.0,30,2014-09-04,2017-09-03,2017-09-03,2020-03-03,-15.317526853046637,-25.446218291810276,-39.523068965021714,-51.94945791160972,11884.930801779032,7187.641404546797,3453.7006582543254
245,2.0,2.5,5.0,30,2015-09-04,2018-03-04,2018-03-04,2020-03-03,-16.335729826773072,-25.41595936901094,-36.703225117776825,-44.32749910500247,16665.102833032608,10548.472624115646,5872.598516069353
256,2.0,3.0,5.0,30,2015-03-05,2018-03-04,2018-03-04,2020-03-03,-15.836659595325441,-24.68793117143231,-41.100073036825016,-43.236846735506056,17715.606477737427,10434.47927647084,5922.939464055002
697,4.0,5.0,5.0,30,2011-03-06,2016-03-04,2016-03-04,2020-03-03,-29.8945531089003,-24.309567404636546,-83.05972506602417,-67.17808250045996,35495.441861748695,6013.02544040978,1973.5902492776513
172,1.5,3.5,5.0,30,2015-03-05,2018-09-03,2018-09-03,2020-03-03,-19.028029837942917,-23.8264828868903,-52.24202503901849,-33.49291318367509,15890.808277130127,7589.128238089383,5047.308105908334
683,4.0,4.5,5.0,30,2011-09-05,2016-03-04,2016-03-04,2020-03-03,-26.5984730265844,-23.0429913750007,-75.11962673429431,-64.92540120014115,25169.83420753479,6262.348701193929,2196.4936823919415
318,2.5,1.0,5.0,30,2016-09-03,2017-09-03,2017-09-03,2020-03-03,-28.939520774610894,-22.892857858276017,-27.303654248941108,-47.736256690659786,15586.329869180918,11330.692251600325,5921.843913547695
480,3.0,4.0,5.0,30,2013-03-05,2017-03-04,2017-03-04,2020-03-03,-6.185160190343497,-22.883212095550654,-12.53796007052103,-54.07330880185732,6170.489375889301,5396.835881784558,2478.588149897754
231,2.0,2.0,5.0,30,2016-03-04,2018-03-04,2018-03-04,2020-03-03,-15.381695880732638,-22.87942969360105,-29.475899539834234,-40.48182751283245,14399.518219187856,10155.130694679916,6044.1482031568885
91,1.0,5.0,1.5,30,2017-09-03,2022-09-02,2022-09-02,2023-09-02,-25.147165015167396,-22.828668129285724,-76.51698455959128,-22.773858689597855,8130.614673137665,1909.3134990930557,1474.489140868187
90,1.0,4.5,5.0,30,2014-09-04,2019-03-04,2019-03-04,2020-03-03,-24.572559777346502,-22.354551095075536,-70.85783087546426,-22.30070877022531,9612.69546070695,2801.347968585789,2176.6275164708495
157,1.5,3.0,5.0,30,2015-09-04,2018-09-03,2018-09-03,2020-03-03,-20.619408234184533,-22.036897629577922,-49.98007957680317,-31.137661637456542,15296.116797685623,7651.105450041592,5268.730123482645
325,2.5,1.5,5.0,30,2016-03-04,2017-09-03,2017-09-03,2020-03-03,-19.130453729192244,-21.969590801545625,-26.740280306516418,-46.16032096715834,14805.23891325295,10846.276527799666,5839.600469581783
594,3.5,5.0,4.5,30,2012-03-06,2017-03-05,2017-03-05,2020-09-02,-21.138330736316334,-21.525466928599347,-66.6685935888262,-57.14680445139504,21711.711919784546,7236.818938806653,3101.2081713452935
