,stock,current_date,last_evaluation_date,future_start_date,future_end_date,past_start_date,past_end_date,price_xy_years_ago,price_x_years_ago,price_current,past_performance_cagr_y,future_performance_cagr_x
0,ALKYLAMINE,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,114.11354064941406,598.5614624023438,2485.1787109375,51.33622371044899,60.72482351860249
1,RPPINFRA,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,84.63459014892578,33.16175079345703,41.20000076293945,-20.882530378035124,7.502836708228133
2,SHRIRAMFIN,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,125.6370620727539,193.1317596435547,217.04124450683597,11.34840010310738,3.9671624858908627
3,TIIL,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,195.4565277099609,289.75,1101.050048828125,10.342626254318033,56.04907737755131
4,SUPERHOUSE,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,130.42831420898438,78.00762939453125,258.7402648925781,-12.059020251234509,49.13364961624398
5,SUNTECK,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,96.38634490966795,343.80010986328125,307.7367248535156,37.42717683616197,-3.6264688143076818
6,HMVL,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,258.2747802734375,61.34999847412109,51.5,-30.18750829143294,-5.6668744380143465
7,DWARKESH,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,9.587647438049316,24.90887451171875,82.97499084472656,26.958128636629496,49.34741254262467
8,MARALOVER,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,24.763845443725582,12.503076553344728,52.04999923706055,-15.705410247938744,60.867364105973465
9,SUVEN,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,5.481891632080078,51.59259033203125,56.54999923706055,75.15164552474157,3.1054819729565475
10,STAR,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,901.1519775390624,459.7326354980469,291.97021484375,-15.48635679771958,-14.043694985105448
11,MANGCHEFER,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,36.06438064575195,28.712251663208008,74.70270538330078,-5.540162649480518,37.53810175575889
12,NH,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,291.7648010253906,316.186279296875,770.7552490234375,2.029916406768706,34.583295023311436
13,ARCHIDPLY,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,36.2055892944336,20.799999237060547,58.900001525878906,-12.939346129685747,41.47639850684968
14,REPCOHOME,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,549.8650512695312,262.7582397460937,196.9600372314453,-16.857121419514087,-9.160669524339903
15,BANKBARODA,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,135.5701446533203,66.85423278808594,163.3354034423828,-16.200541468816166,34.68435168605646
16,SITINET,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,35.29999923706055,0.75,1.100000023841858,-61.82125556698785,13.617128878110641
17,SANCO,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,21.66666603088379,11.600000381469728,8.0,-14.460545061896667,-11.649164430360347
18,BHAGERIA,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,23.833520889282227,116.35124206542967,127.45938110351562,48.64342537956301,3.0861358454273624
19,TIMKEN,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,412.9085388183594,923.470947265625,2866.17919921875,22.29039371709525,45.8680019949461
20,ALPHAGEO,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,451.4183654785156,169.79302978515625,228.59767150878903,-21.686766058630646,10.420738688430852
21,SHANTIGEAR,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,74.1804428100586,81.30623626708984,339.624755859375,2.319547078735673,61.049171081067065
22,AKSHOPTFBR,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,13.757190704345703,5.550000190734863,9.050000190734863,-20.303213535647124,17.70236704252397
23,HAVELLS,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,261.9372253417969,617.6286010742188,1191.301025390625,23.917471750000384,24.479558368302644
24,BBL,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,354.3269958496094,367.2145080566406,1318.665283203125,0.8971495794218409,53.1339836519297
25,GSPL,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,119.89300537109376,223.49774169921875,269.3707580566406,16.84760712983444,6.420616318726191
26,SARLAPOLY,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,52.91226196289063,19.5,37.5,-22.08526984278334,24.355658659858115
27,VISAKAIND,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,17.08736801147461,36.69283676147461,74.57284545898438,21.053270968567638,26.66787222085347
28,BAJFINANCE,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,616.9263305664062,4389.99560546875,6043.89794921875,63.326890853504935,11.245985000468295
29,SHEMAROO,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,254.3350830078125,56.20000076293945,117.8499984741211,-31.43815236498866,27.996399503006696
30,MARKSANS,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,46.65939331054688,16.598268508911133,67.97837829589844,-22.77090874664942,59.99362238897894
31,CELEBRITY,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,10.100000381469728,5.25,15.050000190734863,-15.089875375499439,42.055831761258155
32,BLUEDART,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,5371.29296875,2898.041015625,6289.650390625,-14.294948209481706,29.471444300522997
33,PNCINFRA,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,98.37163543701172,178.77378845214844,281.876708984375,16.107022502189427,16.390745413904817
34,TARMAT,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,23.200000762939453,35.04999923706055,70.3499984741211,10.866414770827681,26.141703928074023
35,NCC,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,61.96609878540039,34.42923355102539,87.09123229980469,-13.663726402527587,36.25392667456817
36,CHENNPETRO,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,157.89730834960938,90.5863800048828,212.3841552734375,-12.96938659174237,32.847403194541094
37,A2ZINFRA,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,20.25,4.0,7.150000095367432,-33.333333333333336,21.361802685425936
38,NEXTMEDIA,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,17.200000762939453,6.150000095367432,5.449999809265137,-22.672020246586012,-3.9478431194634456
39,TVSHLTD,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,1544.4761962890625,1537.6512451171875,3896.89404296875,-0.1106570965568876,36.3390460820965
40,PREMIER,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,33.900001525878906,1.75,2.3499999046325684,-52.33390406528389,10.325676372882064
41,JINDALPHOT,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,80.19638061523438,11.75,310.5,-38.131330778411055,197.85706970491432
42,BANARBEADS,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,35.73581314086914,29.11013603210449,77.5695571899414,-4.997476453598737,38.63802378975738
43,GABRIEL,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,74.59867095947266,86.37303161621094,149.30198669433594,3.731765180583513,20.013234641254442
44,LUXIND,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,545.05322265625,1341.8472900390625,1316.348388671875,25.261049296688242,-0.6374830119841857
45,DUCON,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,13.909090042114258,4.363636016845703,8.350000381469727,-25.159367399072185,24.149790932107805
46,GREAVESCOT,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,108.83330535888672,127.38201141357422,125.57852935791016,4.0127480573728835,-0.4741802207825163
47,PARACABLES,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,2.799999952316284,6.199999809265137,36.0,21.985556852744814,79.73677360263349
48,AUROPHARMA,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,668.0634765625,495.9616394042969,457.9194030761719,-7.176574908803735,-2.6251085931694007
49,DISHTV,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,74.37804412841797,7.949999809265137,15.550000190734863,-42.821785295203476,25.060768611264493
50,VIPCLOTHNG,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,34.279056549072266,6.75,42.04999923706055,-33.38550680927263,84.00123578054675
51,NESCO,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,288.8520202636719,651.9712524414062,511.7692260742188,22.57114958275297,-7.7537811669328605
52,UBL,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,785.3906860351562,1210.07275390625,1450.58935546875,11.411862357741875,6.229303646673001
53,KOTHARIPET,2025-08-31,2023-03-03,2020-03-03,2023-03-03,2016-03-04,2020-03-03,17.422637939453125,14.799495697021484,68.09861755371094,-3.997343352147764,66.3273977655074
